gi|493613085|ref|WP_006565388.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Anaerostipes] 
gi|493615386|ref|WP_006567641.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615387|ref|WP_006567642.1|	multidrug transporter MatE [Anaerostipes caccae] 
gi|493615388|ref|WP_006567643.1|	MULTISPECIES: sodium:proton antiporter [Anaerostipes] 
gi|493615389|ref|WP_006567644.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615390|ref|WP_006567645.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615391|ref|WP_006567646.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615392|ref|WP_006567647.1|	haloacid dehalogenase [Anaerostipes caccae] 
gi|493615393|ref|WP_006567648.1|	ferredoxin [Anaerostipes caccae] 
gi|493615394|ref|WP_006567649.1|	isopentenyl-diphosphate delta-isomerase [Anaerostipes caccae] 
gi|493615395|ref|WP_006567650.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615396|ref|WP_006567651.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Anaerostipes] 
gi|493615397|ref|WP_006567652.1|	thiamine ABC transporter permease [Anaerostipes caccae] 
gi|493615398|ref|WP_006567653.1|	MULTISPECIES: 2-dehydro-3-deoxygluconokinase [Anaerostipes] 
gi|493615399|ref|WP_006567654.1|	2-dehydro-3-deoxyphosphogluconate aldolase [Anaerostipes caccae] 
gi|493615400|ref|WP_006567655.1|	dehydrogenase [Anaerostipes caccae] 
gi|493615401|ref|WP_006567656.1|	2-deoxy-D-gluconate 3-dehydrogenase [Anaerostipes caccae] 
gi|493615402|ref|WP_006567657.1|	MULTISPECIES: transcriptional regulator [Anaerostipes] 
gi|493615403|ref|WP_006567658.1|	MULTISPECIES: amino acid permease [Anaerostipes] 
gi|493615404|ref|WP_006567659.1|	aspartate aminotransferase [Anaerostipes caccae] 
gi|493615405|ref|WP_006567660.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615406|ref|WP_006567661.1|	dihydroxy-acid dehydratase [Anaerostipes caccae] 
gi|493615407|ref|WP_006567662.1|	transcriptional regulator [Anaerostipes caccae] 
gi|493615408|ref|WP_006567663.1|	lipase [Anaerostipes caccae] 
gi|493615409|ref|WP_006567664.1|	peptide deformylase [Anaerostipes caccae] 
gi|493615410|ref|WP_006567665.1|	ATP-dependent DNA helicase RecQ [Anaerostipes caccae] 
gi|493615411|ref|WP_006567666.1|	MULTISPECIES: nucleotide pyrophosphohydrolase [Clostridiales] 
gi|493615412|ref|WP_006567667.1|	MULTISPECIES: MFS transporter [Clostridiales] 
gi|493615413|ref|WP_006567668.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615414|ref|WP_006567669.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615415|ref|WP_006567670.1|	MULTISPECIES: TetR family transcriptional regulator [Anaerostipes] 
gi|493615416|ref|WP_006567671.1|	radical SAM protein [Anaerostipes caccae] 
gi|493615417|ref|WP_006567672.1|	MULTISPECIES: peptidase S66 [Anaerostipes] 
gi|493615418|ref|WP_006567673.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615419|ref|WP_006567674.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615420|ref|WP_006567675.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615422|ref|WP_006567676.1|	MULTISPECIES: chemotaxis protein CheR [Anaerostipes] 
gi|493615423|ref|WP_006567677.1|	MULTISPECIES: glycerol dehydrogenase [Anaerostipes] 
gi|493615424|ref|WP_006567678.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615425|ref|WP_006567679.1|	MULTISPECIES: GntR family transcriptional regulator [Anaerostipes] 
gi|493615426|ref|WP_006567680.1|	MULTISPECIES: glycerol transporter [Anaerostipes] 
gi|493615427|ref|WP_006567681.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615428|ref|WP_006567682.1|	tartronate semialdehyde reductase [Anaerostipes caccae] 
gi|493615429|ref|WP_006567683.1|	MULTISPECIES: cyclase [Anaerostipes] 
gi|493615430|ref|WP_006567684.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615431|ref|WP_006567685.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615432|ref|WP_006567686.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615433|ref|WP_006567687.1|	MULTISPECIES: short-chain dehydrogenase [Anaerostipes] 
gi|493615434|ref|WP_006567688.1|	MULTISPECIES: PTS mannose transporter subunit IIB [Anaerostipes] 
gi|493615435|ref|WP_006567689.1|	PTS mannose transporter subunit IIB [Anaerostipes caccae] 
gi|493615436|ref|WP_006567690.1|	MULTISPECIES: PTS mannose transporter subunit IICD [Anaerostipes] 
gi|493615437|ref|WP_006567691.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615438|ref|WP_006567692.1|	MULTISPECIES: iron ABC transporter substrate-binding protein [Anaerostipes] 
gi|493615439|ref|WP_006567693.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615440|ref|WP_006567694.1|	MULTISPECIES: transcriptional regulator [Anaerostipes] 
gi|493615441|ref|WP_006567695.1|	multidrug transporter MatE [Anaerostipes caccae] 
gi|493615442|ref|WP_006567696.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615443|ref|WP_006567697.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615444|ref|WP_006567698.1|	MULTISPECIES: fuculose phosphate aldolase [Anaerostipes] 
gi|493615445|ref|WP_006567699.1|	phosphoglycerate dehydrogenase [Anaerostipes caccae] 
gi|493615446|ref|WP_006567700.1|	PTS galactitol transporter subunit IIC [Anaerostipes caccae] 
gi|493615447|ref|WP_006567701.1|	PTS fructose transporter subunit IIB [Anaerostipes caccae] 
gi|493615448|ref|WP_006567702.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493615449|ref|WP_006567703.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615450|ref|WP_006567704.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615451|ref|WP_006567705.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615452|ref|WP_006567706.1|	PTS sugar transporter subunit IIA [Anaerostipes caccae] 
gi|493615453|ref|WP_006567707.1|	nitrate ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493615454|ref|WP_006567708.1|	nitrate ABC transporter substrate-binding protein [Anaerostipes caccae] 
gi|493615455|ref|WP_006567709.1|	nitrate ABC transporter permease [Anaerostipes caccae] 
gi|493615456|ref|WP_006567710.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493615457|ref|WP_006567711.1|	MULTISPECIES: amidophosphoribosyltransferase [Anaerostipes] 
gi|493615458|ref|WP_006567712.1|	toxin RelE [Anaerostipes caccae] 
gi|493615459|ref|WP_006567713.1|	plasmid stabilization protein [Anaerostipes caccae] 
gi|493615460|ref|WP_006567714.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615461|ref|WP_006567715.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615462|ref|WP_006567716.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615463|ref|WP_006567717.1|	CRISPR-associated protein Cas2 [Anaerostipes caccae] 
gi|493615464|ref|WP_006567718.1|	CRISPR-associated protein Cas1 [Anaerostipes caccae] 
gi|493615465|ref|WP_006567719.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615466|ref|WP_006567720.1|	CRISPR-associated protein Cas3 [Anaerostipes caccae] 
gi|493615467|ref|WP_006567721.1|	CRISPR-associated protein Cas5 [Anaerostipes caccae] 
gi|493615468|ref|WP_006567722.1|	CRISPR-associated protein DevR [Anaerostipes caccae] 
gi|493615469|ref|WP_006567723.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615470|ref|WP_006567724.1|	CRISPR-associated protein Cas6 [Anaerostipes caccae] 
gi|493615471|ref|WP_006567725.1|	tellurite resistance protein [Anaerostipes caccae] 
gi|493615472|ref|WP_006567726.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615473|ref|WP_006567727.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615474|ref|WP_006567728.1|	ABC transporter [Anaerostipes caccae] 
gi|493615475|ref|WP_006567729.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615476|ref|WP_006567730.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615477|ref|WP_006567731.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615478|ref|WP_006567732.1|	MULTISPECIES: multidrug transporter MatE [Bacteria] 
gi|493615479|ref|WP_006567733.1|	MULTISPECIES: ABC transporter [Bacteria] 
gi|493615480|ref|WP_006567734.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|493615481|ref|WP_006567735.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteria] 
gi|493615482|ref|WP_006567736.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|493615483|ref|WP_006567737.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615484|ref|WP_006567738.1|	saccharopine dehydrogenase [Anaerostipes caccae] 
gi|493615485|ref|WP_006567739.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615486|ref|WP_006567740.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615487|ref|WP_006567741.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615488|ref|WP_006567742.1|	MULTISPECIES: 2,3-dihydroxybenzoate--AMP ligase [Bacteria] 
gi|493615489|ref|WP_006567743.1|	MULTISPECIES: 4'-phosphopantetheinyl transferase [Clostridiales] 
gi|493615490|ref|WP_006567744.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615491|ref|WP_006567745.1|	MULTISPECIES: cobalt ABC transporter [Bacteria] 
gi|493615492|ref|WP_006567746.1|	MULTISPECIES: membrane protein [Bacteria] 
gi|493615493|ref|WP_006567747.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|493615494|ref|WP_006567748.1|	MULTISPECIES: transporter [Bacteria] 
gi|493615495|ref|WP_006567749.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615496|ref|WP_006567750.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|493615497|ref|WP_006567751.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteria] 
gi|493615498|ref|WP_006567752.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|493615499|ref|WP_006567753.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615500|ref|WP_006567754.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615501|ref|WP_006567755.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615502|ref|WP_006567756.1|	recombinase [Anaerostipes caccae] 
gi|488632478|ref|WP_002569163.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488632479|ref|WP_002569164.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488632480|ref|WP_002569165.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488632481|ref|WP_002569166.1|	MULTISPECIES: conjugal transfer protein TraG [Firmicutes] 
gi|488632482|ref|WP_002569167.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488632483|ref|WP_002569168.1|	MULTISPECIES: conjugative transfer protein [Firmicutes] 
gi|488666344|ref|WP_002595174.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|488632486|ref|WP_002569171.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488632487|ref|WP_002569172.1|	MULTISPECIES: conjugal transfer protein TraE [Clostridiales] 
gi|488632488|ref|WP_002569173.1|	MULTISPECIES: DNA methylase N-4 [Clostridiales] 
gi|488632489|ref|WP_002569174.1|	MULTISPECIES: conjugal transfer protein [Firmicutes] 
gi|488632490|ref|WP_002569175.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488632491|ref|WP_002569176.1|	MULTISPECIES: cell surface protein [Firmicutes] 
gi|488632493|ref|WP_002569178.1|	MULTISPECIES: DNA topoisomerase III [Firmicutes] 
gi|488632494|ref|WP_002569179.1|	MULTISPECIES: antirestriction protein ArdA [Firmicutes] 
gi|488632495|ref|WP_002569180.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490745657|ref|WP_004607965.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488632497|ref|WP_002569182.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490751357|ref|WP_004613665.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488632499|ref|WP_002569184.1|	MULTISPECIES: endonuclease [Firmicutes] 
gi|488632500|ref|WP_002569185.1|	MULTISPECIES: mobilization protein [Bacteria] 
gi|488632501|ref|WP_002569186.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|488632502|ref|WP_002569187.1|	MULTISPECIES: 23S rRNA methyltransferase [Firmicutes] 
gi|490751355|ref|WP_004613663.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493615505|ref|WP_006567757.1|	hypothetical protein [Anaerostipes caccae] 
gi|488632504|ref|WP_002569189.1|	MULTISPECIES: transcriptional regulator [Firmicutes] 
gi|490751353|ref|WP_004613661.1|	MULTISPECIES: transposase [Firmicutes] 
gi|488632505|ref|WP_002569190.1|	MULTISPECIES: recombinase [Clostridiales] 
gi|493615506|ref|WP_006567758.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615507|ref|WP_006567759.1|	MULTISPECIES: recombinase TnpX [Clostridiales] 
gi|493615508|ref|WP_006567760.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615509|ref|WP_006567761.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615510|ref|WP_006567762.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615511|ref|WP_006567763.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615512|ref|WP_006567764.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615513|ref|WP_006567765.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615514|ref|WP_006567766.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615515|ref|WP_006567767.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615516|ref|WP_006567768.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615517|ref|WP_006567769.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615518|ref|WP_006567770.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615519|ref|WP_006567771.1|	MULTISPECIES: stage V sporulation protein G [Clostridiales] 
gi|493615520|ref|WP_006567772.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615521|ref|WP_006567773.1|	MULTISPECIES: recombinase [Clostridiales] 
gi|488667447|ref|WP_002596259.1|	MULTISPECIES: stage II sporulation protein R [Bacteria] 
gi|488667446|ref|WP_002596258.1|	MULTISPECIES: seryl-tRNA synthetase [Bacteria] 
gi|488667445|ref|WP_002596257.1|	MULTISPECIES: plasmid stablization protein ParB [Bacteria] 
gi|488667444|ref|WP_002596256.1|	MULTISPECIES: recombinase [Bacteria] 
gi|490751015|ref|WP_004613323.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|488667443|ref|WP_002596255.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|490751014|ref|WP_004613322.1|	MULTISPECIES: RNA polymerase [Lachnospiraceae] 
gi|493615523|ref|WP_006567774.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615524|ref|WP_006567775.1|	hypothetical protein [Anaerostipes caccae] 
gi|488667439|ref|WP_002596251.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500223|ref|WP_005357917.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488667438|ref|WP_002596250.1|	MULTISPECIES: tetracycline resistance protein tetM [Firmicutes] 
gi|447052666|ref|WP_001129922.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615525|ref|WP_006567776.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615526|ref|WP_006567777.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615527|ref|WP_006567778.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615528|ref|WP_006567779.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615529|ref|WP_006567780.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615530|ref|WP_006567781.1|	MULTISPECIES: antitoxin [Bacteria] 
gi|493615531|ref|WP_006567782.1|	MULTISPECIES: toxin [Bacteria] 
gi|493615532|ref|WP_006567783.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615533|ref|WP_006567784.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615534|ref|WP_006567785.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615535|ref|WP_006567786.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615536|ref|WP_006567787.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615537|ref|WP_006567788.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615538|ref|WP_006567789.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615539|ref|WP_006567790.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615540|ref|WP_006567791.1|	MULTISPECIES: DNA methyltransferase [Bacteria] 
gi|493615541|ref|WP_006567792.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615542|ref|WP_006567793.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615543|ref|WP_006567794.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615544|ref|WP_006567795.1|	MULTISPECIES: conjugal transfer protein TraG [Bacteria] 
gi|493615545|ref|WP_006567796.1|	MULTISPECIES: conjugal transfer protein TraG [Clostridiales] 
gi|493615546|ref|WP_006567797.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615547|ref|WP_006567798.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615548|ref|WP_006567799.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615549|ref|WP_006567800.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615550|ref|WP_006567801.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615551|ref|WP_006567802.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615552|ref|WP_006567803.1|	mobilization protein [Anaerostipes caccae] 
gi|493615553|ref|WP_006567804.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615554|ref|WP_006567805.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615555|ref|WP_006567806.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615556|ref|WP_006567807.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615557|ref|WP_006567808.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615558|ref|WP_006567809.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615559|ref|WP_006567810.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615560|ref|WP_006567811.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615561|ref|WP_006567812.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615562|ref|WP_006567813.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615563|ref|WP_006567814.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615564|ref|WP_006567815.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615565|ref|WP_006567816.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615566|ref|WP_006567817.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615567|ref|WP_006567818.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615568|ref|WP_006567819.1|	MULTISPECIES: topoisomerase [Clostridiales] 
gi|493615569|ref|WP_006567820.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615570|ref|WP_006567821.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615571|ref|WP_006567822.1|	MULTISPECIES: adenylylsulfate reductase [Bacteria] 
gi|493615572|ref|WP_006567823.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615573|ref|WP_006567824.1|	MULTISPECIES: phage-shock protein [Bacteria] 
gi|493615574|ref|WP_006567825.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615575|ref|WP_006567826.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615576|ref|WP_006567827.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615577|ref|WP_006567828.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615578|ref|WP_006567829.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615579|ref|WP_006567830.1|	MULTISPECIES: secretion protein F [Clostridiales] 
gi|493615580|ref|WP_006567831.1|	membrane protein [Anaerostipes caccae] 
gi|493615581|ref|WP_006567832.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615582|ref|WP_006567833.1|	MULTISPECIES: ATPase AAA [Bacteria] 
gi|493615583|ref|WP_006567834.1|	MULTISPECIES: pilus assembly protein CpaB [Clostridiales] 
gi|493615584|ref|WP_006567835.1|	MULTISPECIES: peptidase A24 [Bacteria] 
gi|493615585|ref|WP_006567836.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615586|ref|WP_006567837.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493615587|ref|WP_006567838.1|	hypothetical protein [Anaerostipes caccae] 
gi|493615588|ref|WP_006567839.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493615589|ref|WP_006567840.1|	MULTISPECIES: hypothetical protein [Bacteria] 
