gi|491802668|ref|WP_005608258.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491807523|ref|WP_005610942.1|	glyoxalase [Ruminococcus lactaris] 
gi|491807526|ref|WP_005610945.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807527|ref|WP_005610946.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807529|ref|WP_005610948.1|	peptidyl-tRNA hydrolase [Ruminococcus lactaris] 
gi|491807532|ref|WP_005610951.1|	transcription-repair coupling factor [Ruminococcus lactaris] 
gi|491807533|ref|WP_005610952.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807535|ref|WP_005610954.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807537|ref|WP_005610956.1|	magnesium chelatase [Ruminococcus lactaris] 
gi|491807539|ref|WP_005610958.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807541|ref|WP_005610960.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807543|ref|WP_005610962.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807545|ref|WP_005610964.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807547|ref|WP_005610966.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807549|ref|WP_005610968.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807552|ref|WP_005610971.1|	amino acid ABC transporter substrate-binding protein [Ruminococcus lactaris] 
gi|491807555|ref|WP_005610974.1|	polar amino acid ABC transporter permease [Ruminococcus lactaris] 
gi|491807560|ref|WP_005610979.1|	arginine ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491807567|ref|WP_005610985.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491807568|ref|WP_005610986.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807570|ref|WP_005610988.1|	adenosine deaminase [Ruminococcus lactaris] 
gi|491807571|ref|WP_005610989.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807572|ref|WP_005610990.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807573|ref|WP_005610991.1|	deoxyguanosinetriphosphate triphosphohydrolase [Ruminococcus lactaris] 
gi|491807574|ref|WP_005610992.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807575|ref|WP_005610993.1|	D-Ala-D-Ala carboxypeptidase [Ruminococcus lactaris] 
gi|491807577|ref|WP_005610995.1|	diguanylate phosphodiesterase [Ruminococcus lactaris] 
gi|491807578|ref|WP_005610996.1|	ATP synthase F1 subunit epsilon [Ruminococcus lactaris] 
gi|491807579|ref|WP_005610997.1|	F0F1 ATP synthase subunit beta [Ruminococcus lactaris] 
gi|491807581|ref|WP_005610999.1|	F0F1 ATP synthase subunit gamma [Ruminococcus lactaris] 
gi|491807582|ref|WP_005611000.1|	ATP synthase F1 subunit alpha [Ruminococcus lactaris] 
gi|491807583|ref|WP_005611001.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807584|ref|WP_005611002.1|	ATP synthase F0 subunit B [Ruminococcus lactaris] 
gi|491807585|ref|WP_005611003.1|	F0F1 ATP synthase subunit C [Ruminococcus lactaris] 
gi|491807586|ref|WP_005611004.1|	F0F1 ATP synthase subunit A [Ruminococcus lactaris] 
gi|491807587|ref|WP_005611005.1|	metal-dependent hydrolase [Ruminococcus lactaris] 
gi|491807588|ref|WP_005611006.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807589|ref|WP_005611007.1|	septum formation inhibitor Maf [Ruminococcus lactaris] 
gi|491807590|ref|WP_005611008.1|	isopentenyl-diphosphate delta-isomerase [Ruminococcus lactaris] 
gi|491807591|ref|WP_005611009.1|	glutamine synthetase [Ruminococcus lactaris] 
gi|491807593|ref|WP_005611011.1|	fructose-bisphosphate aldolase [Ruminococcus lactaris] 
gi|491807594|ref|WP_005611012.1|	diacylglycerol kinase [Ruminococcus lactaris] 
gi|491807595|ref|WP_005611013.1|	HPr kinase [Ruminococcus lactaris] 
gi|491807596|ref|WP_005611014.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807597|ref|WP_005611015.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807598|ref|WP_005611016.1|	glmZ(sRNA)-inactivating NTPase [Ruminococcus lactaris] 
gi|491807599|ref|WP_005611017.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Ruminococcus lactaris] 
gi|491807601|ref|WP_005611019.1|	hemolysin [Ruminococcus lactaris] 
gi|491807602|ref|WP_005611020.1|	cysteine desulfurase [Ruminococcus lactaris] 
gi|491807603|ref|WP_005611021.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807604|ref|WP_005611022.1|	N-acetylmuramoyl-L-alanine amidase [Ruminococcus lactaris] 
gi|491807605|ref|WP_005611023.1|	branched-chain amino acid aminotransferase [Ruminococcus lactaris] 
gi|491807606|ref|WP_005611024.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807607|ref|WP_005611025.1|	phosphoglucosamine mutase [Ruminococcus lactaris] 
gi|491807608|ref|WP_005611026.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807609|ref|WP_005611027.1|	haloacid dehalogenase [Ruminococcus lactaris] 
gi|491807611|ref|WP_005611029.1|	glycerol kinase [Ruminococcus lactaris] 
gi|491807613|ref|WP_005611031.1|	glycerol kinase [Ruminococcus lactaris] 
gi|491807615|ref|WP_005611033.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807617|ref|WP_005611035.1|	sulfate permease [Ruminococcus lactaris] 
gi|491807619|ref|WP_005611037.1|	citrate synthase [Ruminococcus lactaris] 
gi|491807621|ref|WP_005611039.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807623|ref|WP_005611041.1|	rRNA methyltransferase [Ruminococcus lactaris] 
gi|491807624|ref|WP_005611042.1|	multidrug transporter MatE [Ruminococcus lactaris] 
gi|491807626|ref|WP_005611044.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807628|ref|WP_005611045.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807629|ref|WP_005611046.1|	sulfate transporter [Ruminococcus lactaris] 
gi|491807630|ref|WP_005611047.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807631|ref|WP_005611048.1|	transposase IS116/IS110/IS902 family [Ruminococcus lactaris] 
gi|491807633|ref|WP_005611050.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807634|ref|WP_005611051.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807635|ref|WP_005611052.1|	carboxynorspermidine decarboxylase [Ruminococcus lactaris] 
gi|491807636|ref|WP_005611053.1|	saccharopine dehydrogenase [Ruminococcus lactaris] 
gi|491807637|ref|WP_005611054.1|	agmatinase [Ruminococcus lactaris] 
gi|491807638|ref|WP_005611055.1|	spermidine synthase [Ruminococcus lactaris] 
gi|491807639|ref|WP_005611056.1|	arginine decarboxylase [Ruminococcus lactaris] 
gi|491807640|ref|WP_005611057.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807642|ref|WP_005611059.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807643|ref|WP_005611060.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807644|ref|WP_005611061.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807645|ref|WP_005611062.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804019|ref|WP_005609355.1|	integrase [Ruminococcus lactaris] 
gi|491804018|ref|WP_005609354.1|	transposase [Ruminococcus lactaris] 
gi|491807646|ref|WP_005611063.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807647|ref|WP_005611064.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807649|ref|WP_005611065.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807651|ref|WP_005611066.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807654|ref|WP_005611068.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807658|ref|WP_005611070.1|	integrase [Ruminococcus lactaris] 
gi|491807661|ref|WP_005611072.1|	MULTISPECIES: transcriptional regulator [Firmicutes] 
gi|491807664|ref|WP_005611074.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491807667|ref|WP_005611076.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803811|ref|WP_005609147.1|	integrase [Ruminococcus lactaris] 
gi|491807670|ref|WP_005611078.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807674|ref|WP_005611080.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807677|ref|WP_005611082.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807679|ref|WP_005611083.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807682|ref|WP_005611085.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491807684|ref|WP_005611086.1|	cell division protein FtsK [Ruminococcus lactaris] 
gi|491477143|ref|WP_005334884.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491807688|ref|WP_005611089.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807690|ref|WP_005611090.1|	Cro/Cl family transcriptional regulator [Ruminococcus lactaris] 
gi|491807693|ref|WP_005611092.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490982459|ref|WP_004844214.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|491477148|ref|WP_005334889.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491807697|ref|WP_005611094.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807700|ref|WP_005611096.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491477158|ref|WP_005334899.1|	MULTISPECIES: antirestriction protein [Clostridiales] 
gi|491807704|ref|WP_005611098.1|	MULTISPECIES: membrane protein [Ruminococcus] 
gi|491807707|ref|WP_005611100.1|	ATP/GTP-binding protein [Ruminococcus lactaris] 
gi|491807710|ref|WP_005611102.1|	membrane protein [Ruminococcus lactaris] 
gi|491807713|ref|WP_005611104.1|	peptidase P60 [Ruminococcus lactaris] 
gi|491807716|ref|WP_005611106.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491485190|ref|WP_005342931.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491807719|ref|WP_005611108.1|	bacitracin ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491803157|ref|WP_005608692.1|	transposase IS116/IS110/IS902 family [Ruminococcus lactaris] 
gi|491807723|ref|WP_005611110.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807727|ref|WP_005611112.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807732|ref|WP_005611115.1|	histidine kinase [Ruminococcus lactaris] 
gi|491807734|ref|WP_005611117.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807737|ref|WP_005611119.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807739|ref|WP_005611120.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491565631|ref|WP_005423216.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|491565633|ref|WP_005423218.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491807743|ref|WP_005611122.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807745|ref|WP_005611123.1|	integrase [Ruminococcus lactaris] 
gi|491807748|ref|WP_005611125.1|	GMP synthase [Ruminococcus lactaris] 
gi|491807751|ref|WP_005611127.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807753|ref|WP_005611128.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807755|ref|WP_005611129.1|	stage III sporulation protein D [Ruminococcus lactaris] 
gi|491807757|ref|WP_005611131.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807760|ref|WP_005611133.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807763|ref|WP_005611135.1|	glycogen branching protein [Ruminococcus lactaris] 
gi|491807765|ref|WP_005611136.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807768|ref|WP_005611138.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807770|ref|WP_005611139.1|	glycosyl hydrolase [Ruminococcus lactaris] 
gi|491807773|ref|WP_005611141.1|	methionyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491807778|ref|WP_005611144.1|	histidine kinase [Ruminococcus lactaris] 
gi|491807780|ref|WP_005611145.1|	PhoB family transcriptional regulator [Ruminococcus lactaris] 
gi|491807782|ref|WP_005611146.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807804|ref|WP_005611155.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807809|ref|WP_005611158.1|	GTP-binding protein YchF [Ruminococcus lactaris] 
gi|491807813|ref|WP_005611161.1|	diacylglyceryl transferase [Ruminococcus lactaris] 
gi|491807816|ref|WP_005611163.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807819|ref|WP_005611165.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807822|ref|WP_005611167.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807825|ref|WP_005611169.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807827|ref|WP_005611171.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807830|ref|WP_005611173.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491806702|ref|WP_005610321.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807835|ref|WP_005611176.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807840|ref|WP_005611179.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807844|ref|WP_005611182.1|	N-acetylmuramoyl-L-alanine amidase [Ruminococcus lactaris] 
gi|491807847|ref|WP_005611184.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807852|ref|WP_005611187.1|	lysozyme [Ruminococcus lactaris] 
gi|491807855|ref|WP_005611189.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807858|ref|WP_005611191.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807863|ref|WP_005611194.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807866|ref|WP_005611196.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807870|ref|WP_005611199.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807875|ref|WP_005611202.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807879|ref|WP_005611204.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807885|ref|WP_005611208.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807891|ref|WP_005611212.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807895|ref|WP_005611215.1|	preprotein translocase subunit SecG [Ruminococcus lactaris] 
gi|491807899|ref|WP_005611218.1|	ribonuclease R [Ruminococcus lactaris] 
gi|491807904|ref|WP_005611220.1|	single-stranded DNA-binding protein [Ruminococcus lactaris] 
gi|491807907|ref|WP_005611222.1|	haloacid dehalogenase [Ruminococcus lactaris] 
gi|491807910|ref|WP_005611224.1|	methionine ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491807912|ref|WP_005611225.1|	methionine ABC transporter permease [Ruminococcus lactaris] 
gi|491807915|ref|WP_005611227.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807918|ref|WP_005611229.1|	amidohydrolase [Ruminococcus lactaris] 
gi|491807920|ref|WP_005611230.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807922|ref|WP_005611231.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807926|ref|WP_005611233.1|	galactoside O-acetyltransferase [Ruminococcus lactaris] 
gi|491807928|ref|WP_005611234.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807932|ref|WP_005611236.1|	PadR family transcriptional regulator [Ruminococcus lactaris] 
gi|491807934|ref|WP_005611237.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807937|ref|WP_005611239.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802766|ref|WP_005608356.1|	ABC transporter [Ruminococcus lactaris] 
gi|491807942|ref|WP_005611242.1|	acetyltransferase [Ruminococcus lactaris] 
gi|491807945|ref|WP_005611244.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|491802748|ref|WP_005608338.1|	amidohydrolase [Ruminococcus lactaris] 
gi|491802746|ref|WP_005608336.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802745|ref|WP_005608335.1|	GNAT family acetyltransferase [Ruminococcus lactaris] 
gi|491802743|ref|WP_005608333.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807949|ref|WP_005611246.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807952|ref|WP_005611248.1|	macrolide ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491807955|ref|WP_005611250.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807958|ref|WP_005611252.1|	UDP-galactopyranose mutase [Ruminococcus lactaris] 
gi|491807961|ref|WP_005611254.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807964|ref|WP_005611256.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807968|ref|WP_005611258.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491807971|ref|WP_005611260.1|	heat shock protein Hsp20 [Ruminococcus lactaris] 
gi|491807974|ref|WP_005611262.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808432|ref|WP_005611265.1|	iron transporter FeoB [Ruminococcus lactaris] 
gi|491808438|ref|WP_005611269.1|	multidrug transporter MatE [Ruminococcus lactaris] 
gi|491808452|ref|WP_005611275.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808460|ref|WP_005611278.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491808482|ref|WP_005611290.1|	hydratase [Ruminococcus lactaris] 
gi|491808486|ref|WP_005611292.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808511|ref|WP_005611310.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808523|ref|WP_005611322.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808524|ref|WP_005611323.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808525|ref|WP_005611324.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808526|ref|WP_005611325.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808528|ref|WP_005611326.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808532|ref|WP_005611328.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808535|ref|WP_005611329.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Ruminococcus lactaris] 
gi|491808539|ref|WP_005611332.1|	DNA mistmatch repair protein MutT [Ruminococcus lactaris] 
gi|491808543|ref|WP_005611334.1|	sodium-dependent tryptophan transporter [Ruminococcus lactaris] 
gi|491808545|ref|WP_005611335.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808548|ref|WP_005611337.1|	modification methylase [Ruminococcus lactaris] 
gi|491808550|ref|WP_005611338.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808552|ref|WP_005611339.1|	toxin Fic [Ruminococcus lactaris] 
gi|491808554|ref|WP_005611340.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808557|ref|WP_005611341.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808566|ref|WP_005611345.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808567|ref|WP_005611346.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808569|ref|WP_005611348.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808571|ref|WP_005611350.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808573|ref|WP_005611352.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808574|ref|WP_005611353.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808590|ref|WP_005611358.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808605|ref|WP_005611367.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808607|ref|WP_005611368.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808613|ref|WP_005611372.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808610|ref|WP_005611370.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808617|ref|WP_005611374.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808624|ref|WP_005611381.1|	twitching motility protein PilT [Ruminococcus lactaris] 
gi|491808626|ref|WP_005611383.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808627|ref|WP_005611384.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491808628|ref|WP_005611385.1|	ABC transporter [Ruminococcus lactaris] 
gi|491808636|ref|WP_005611387.1|	histidine kinase [Ruminococcus lactaris] 
gi|491808639|ref|WP_005611389.1|	membrane protein [Ruminococcus lactaris] 
gi|491808640|ref|WP_005611390.1|	glycosyltransferase [Ruminococcus lactaris] 
