gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690788|ref|WP_005924042.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677635|ref|WP_005920081.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690791|ref|WP_005924044.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677641|ref|WP_005920087.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492690823|ref|WP_005924062.1|	resolvase [Faecalibacterium prausnitzii] 
gi|492690829|ref|WP_005924065.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690833|ref|WP_005924068.1|	protein kinase [Faecalibacterium prausnitzii] 
gi|492690837|ref|WP_005924070.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690840|ref|WP_005924072.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492690844|ref|WP_005924075.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492690849|ref|WP_005924078.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690853|ref|WP_005924080.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690856|ref|WP_005924082.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690859|ref|WP_005924084.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690863|ref|WP_005924086.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690870|ref|WP_005924090.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492690873|ref|WP_005924092.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690876|ref|WP_005924094.1|	antitoxin [Faecalibacterium prausnitzii] 
gi|492690879|ref|WP_005924096.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690883|ref|WP_005924099.1|	ATPase [Faecalibacterium prausnitzii] 
gi|492690889|ref|WP_005924103.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492690893|ref|WP_005924106.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690897|ref|WP_005924108.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690900|ref|WP_005924110.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690903|ref|WP_005924112.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690906|ref|WP_005924114.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690909|ref|WP_005924116.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690914|ref|WP_005924119.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690918|ref|WP_005924122.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690923|ref|WP_005924125.1|	resolvase [Faecalibacterium prausnitzii] 
gi|492690926|ref|WP_005924127.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690929|ref|WP_005924129.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690933|ref|WP_005924131.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690936|ref|WP_005924133.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690942|ref|WP_005924136.1|	endonuclease [Faecalibacterium prausnitzii] 
gi|492690946|ref|WP_005924138.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690949|ref|WP_005924140.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690953|ref|WP_005924142.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690956|ref|WP_005924144.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690959|ref|WP_005924146.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492690963|ref|WP_005924148.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690967|ref|WP_005924150.1|	ATPase [Faecalibacterium prausnitzii] 
gi|492690970|ref|WP_005924152.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690973|ref|WP_005924154.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690976|ref|WP_005924156.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690981|ref|WP_005924159.1|	type II deoxyribonuclease [Faecalibacterium prausnitzii] 
gi|492690985|ref|WP_005924161.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690987|ref|WP_005924162.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690989|ref|WP_005924163.1|	ATP-dependent Lon protease [Faecalibacterium prausnitzii] 
gi|492690991|ref|WP_005924164.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690993|ref|WP_005924165.1|	sodium transporter [Faecalibacterium prausnitzii] 
gi|492690995|ref|WP_005924166.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684785|ref|WP_005922204.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492690998|ref|WP_005924168.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492691002|ref|WP_005924170.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492691003|ref|WP_005924171.1|	D-Ala-D-Ala carboxypeptidase [Faecalibacterium prausnitzii] 
gi|492691009|ref|WP_005924174.1|	acetyltransferase [Faecalibacterium prausnitzii] 
gi|492691012|ref|WP_005924176.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492691030|ref|WP_005924186.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492691033|ref|WP_005924188.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492692038|ref|WP_005924191.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492692043|ref|WP_005924194.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492692047|ref|WP_005924197.1|	magnesium transporter [Faecalibacterium prausnitzii] 
gi|492693052|ref|WP_005924200.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693056|ref|WP_005924202.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693059|ref|WP_005924204.1|	toxin RelE [Faecalibacterium prausnitzii] 
gi|492693062|ref|WP_005924206.1|	XRE family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492693065|ref|WP_005924208.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693068|ref|WP_005924210.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693072|ref|WP_005924213.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693078|ref|WP_005924217.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693082|ref|WP_005924220.1|	ADP-ribose pyrophosphatase [Faecalibacterium prausnitzii] 
gi|492693084|ref|WP_005924221.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693089|ref|WP_005924224.1|	GntR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492693094|ref|WP_005924227.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693099|ref|WP_005924230.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492693105|ref|WP_005924234.1|	DNA gyrase subunit A [Faecalibacterium prausnitzii] 
gi|492693108|ref|WP_005924236.1|	DNA gyrase subunit B [Faecalibacterium prausnitzii] 
gi|492693114|ref|WP_005924239.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693119|ref|WP_005924242.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693122|ref|WP_005924244.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693126|ref|WP_005924246.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693131|ref|WP_005924249.1|	DNA polymerase III subunit beta [Faecalibacterium prausnitzii] 
gi|492693136|ref|WP_005924252.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693141|ref|WP_005924255.1|	chromosome replication protein DnaA [Faecalibacterium prausnitzii] 
gi|492693146|ref|WP_005924258.1|	MULTISPECIES: 50S ribosomal protein L34 [Faecalibacterium] 
gi|492693151|ref|WP_005924261.1|	ribonuclease P [Faecalibacterium prausnitzii] 
gi|492693156|ref|WP_005924264.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693160|ref|WP_005924267.1|	stage IV sporulation protein A [Faecalibacterium prausnitzii] 
gi|492693165|ref|WP_005924270.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693171|ref|WP_005924273.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693176|ref|WP_005924276.1|	5'-nucleotidase [Faecalibacterium prausnitzii] 
gi|492693183|ref|WP_005924280.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693186|ref|WP_005924282.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Faecalibacterium prausnitzii] 
gi|492693193|ref|WP_005924286.1|	16S rRNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492693197|ref|WP_005924288.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693202|ref|WP_005924291.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693207|ref|WP_005924294.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693212|ref|WP_005924297.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693219|ref|WP_005924301.1|	chromosome partitioning protein ParA [Faecalibacterium prausnitzii] 
gi|492693224|ref|WP_005924304.1|	plasmid partitioning protein ParB [Faecalibacterium prausnitzii] 
gi|492693227|ref|WP_005924306.1|	seryl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492693232|ref|WP_005924309.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693238|ref|WP_005924312.1|	phosphoglycolate phosphatase [Faecalibacterium prausnitzii] 
gi|492693244|ref|WP_005924315.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693250|ref|WP_005924318.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492693255|ref|WP_005924321.1|	potassium transporter TrkA [Faecalibacterium prausnitzii] 
gi|492693260|ref|WP_005924324.1|	potassium transporter TrkA [Faecalibacterium prausnitzii] 
gi|492693266|ref|WP_005924327.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693271|ref|WP_005924330.1|	UDP pyrophosphate phosphatase [Faecalibacterium prausnitzii] 
gi|492693278|ref|WP_005924334.1|	chloride channel protein [Faecalibacterium prausnitzii] 
gi|492693284|ref|WP_005924337.1|	4Fe-4S ferredoxin [Faecalibacterium prausnitzii] 
gi|492693289|ref|WP_005924340.1|	Src kinase-associated phosphoprotein 2-B [Faecalibacterium prausnitzii] 
gi|492693294|ref|WP_005924343.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693299|ref|WP_005924346.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693304|ref|WP_005924349.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693306|ref|WP_005924351.1|	PTS glucose transporter subunit IIBC [Faecalibacterium prausnitzii] 
gi|492693311|ref|WP_005924354.1|	6-phospho-alpha-glucosidase [Faecalibacterium prausnitzii] 
gi|492693317|ref|WP_005924357.1|	glutamyl-Q tRNA(Asp) ligase [Faecalibacterium prausnitzii] 
gi|492693323|ref|WP_005924360.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693327|ref|WP_005924363.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693330|ref|WP_005924365.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492693335|ref|WP_005924368.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693349|ref|WP_005924376.1|	inorganic pyrophosphatase [Faecalibacterium prausnitzii] 
gi|492693355|ref|WP_005924379.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693360|ref|WP_005924382.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693365|ref|WP_005924385.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693370|ref|WP_005924388.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693375|ref|WP_005924391.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693381|ref|WP_005924394.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693386|ref|WP_005924397.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693392|ref|WP_005924401.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693397|ref|WP_005924404.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693402|ref|WP_005924407.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693408|ref|WP_005924410.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693413|ref|WP_005924413.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492693416|ref|WP_005924415.1|	phosphoglycerate mutase [Faecalibacterium prausnitzii] 
gi|492693421|ref|WP_005924418.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693426|ref|WP_005924421.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492693432|ref|WP_005924425.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693439|ref|WP_005924429.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693444|ref|WP_005924433.1|	copper-translocating P-type ATPase [Faecalibacterium prausnitzii] 
gi|492693448|ref|WP_005924436.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693451|ref|WP_005924438.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693472|ref|WP_005924459.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693475|ref|WP_005924462.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492693489|ref|WP_005924475.1|	resolvase [Faecalibacterium prausnitzii] 
gi|492693496|ref|WP_005924478.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693499|ref|WP_005924480.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693503|ref|WP_005924482.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693506|ref|WP_005924484.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693510|ref|WP_005924486.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693513|ref|WP_005924488.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693517|ref|WP_005924490.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693520|ref|WP_005924492.1|	hisitidine kinase [Faecalibacterium prausnitzii] 
gi|492693524|ref|WP_005924494.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693529|ref|WP_005924497.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693534|ref|WP_005924500.1|	mobilization protein [Faecalibacterium prausnitzii] 
gi|492693540|ref|WP_005924504.1|	relaxase [Faecalibacterium prausnitzii] 
gi|492693545|ref|WP_005924507.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693549|ref|WP_005924510.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693554|ref|WP_005924513.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693559|ref|WP_005924516.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693564|ref|WP_005924519.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693570|ref|WP_005924522.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693575|ref|WP_005924525.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492693580|ref|WP_005924528.1|	glycosyl hydrolase [Faecalibacterium prausnitzii] 
gi|492693584|ref|WP_005924531.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693589|ref|WP_005924534.1|	AraC family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492693592|ref|WP_005924536.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693630|ref|WP_005924558.1|	RND transporter [Faecalibacterium prausnitzii] 
gi|492693634|ref|WP_005924561.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693639|ref|WP_005924564.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693643|ref|WP_005924567.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693647|ref|WP_005924570.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693654|ref|WP_005924574.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693658|ref|WP_005924577.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693661|ref|WP_005924579.1|	XRE family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492693664|ref|WP_005924581.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693669|ref|WP_005924584.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693674|ref|WP_005924587.1|	phosphoadenosine phosphosulfate reductase [Faecalibacterium prausnitzii] 
gi|492693680|ref|WP_005924591.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693685|ref|WP_005924594.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693691|ref|WP_005924597.1|	cysteine desulfurase [Faecalibacterium prausnitzii] 
gi|492693696|ref|WP_005924600.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693701|ref|WP_005924603.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693706|ref|WP_005924606.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693710|ref|WP_005924609.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693713|ref|WP_005924611.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693718|ref|WP_005924614.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693725|ref|WP_005924618.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693730|ref|WP_005924621.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693735|ref|WP_005924624.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693740|ref|WP_005924627.1|	relaxase [Faecalibacterium prausnitzii] 
gi|492693745|ref|WP_005924630.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693750|ref|WP_005924633.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693754|ref|WP_005924636.1|	mobilization protein [Faecalibacterium prausnitzii] 
gi|492693757|ref|WP_005924638.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693763|ref|WP_005924641.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693768|ref|WP_005924644.1|	heat-shock protein [Faecalibacterium prausnitzii] 
gi|492693771|ref|WP_005924646.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693776|ref|WP_005924649.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693779|ref|WP_005924651.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693783|ref|WP_005924653.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693788|ref|WP_005924656.1|	sodium:proton antiporter [Faecalibacterium prausnitzii] 
gi|492693792|ref|WP_005924659.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693797|ref|WP_005924662.1|	30S ribosomal protein S12 [Faecalibacterium prausnitzii] 
gi|492693802|ref|WP_005924665.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693807|ref|WP_005924668.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693813|ref|WP_005924671.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693816|ref|WP_005924673.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693820|ref|WP_005924676.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693823|ref|WP_005924678.1|	DNA topoisomerase III [Faecalibacterium prausnitzii] 
gi|492693829|ref|WP_005924681.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492693834|ref|WP_005924684.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492693839|ref|WP_005924687.1|	hypothetical protein [Faecalibacterium prausnitzii] 
