gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472809|ref|WP_006427840.1|	thioredoxin [Dorea longicatena] 
gi|493472810|ref|WP_006427841.1|	hypothetical protein [Dorea longicatena] 
gi|493472811|ref|WP_006427842.1|	hypothetical protein [Dorea longicatena] 
gi|493472812|ref|WP_006427843.1|	hypothetical protein [Dorea longicatena] 
gi|493472813|ref|WP_006427844.1|	hypothetical protein [Dorea longicatena] 
gi|493472814|ref|WP_006427845.1|	hypothetical protein [Dorea longicatena] 
gi|493472815|ref|WP_006427846.1|	alanine dehydrogenase [Dorea longicatena] 
gi|493472816|ref|WP_006427847.1|	sodium:alanine symporter [Dorea longicatena] 
gi|493472818|ref|WP_006427849.1|	hypothetical protein [Dorea longicatena] 
gi|493472817|ref|WP_006427848.1|	hypothetical protein [Dorea longicatena] 
gi|493472819|ref|WP_006427850.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472820|ref|WP_006427851.1|	chromate transporter [Dorea longicatena] 
gi|493472821|ref|WP_006427852.1|	MULTISPECIES: chromate transporter [Dorea] 
gi|493472822|ref|WP_006427853.1|	methionine synthase [Dorea longicatena] 
gi|493472824|ref|WP_006427855.1|	hypothetical protein [Dorea longicatena] 
gi|493472826|ref|WP_006427857.1|	transcription antiterminator BglG [Dorea longicatena] 
gi|493472828|ref|WP_006427859.1|	PTS glucose transporter subunit IIA [Dorea longicatena] 
gi|493472830|ref|WP_006427861.1|	hypothetical protein [Dorea longicatena] 
gi|493472832|ref|WP_006427863.1|	ribose ABC transporter permease [Dorea longicatena] 
gi|493472834|ref|WP_006427865.1|	MULTISPECIES: ribose ABC transporter [Dorea] 
gi|493472836|ref|WP_006427867.1|	branched-chain amino acid ABC transporter permease [Dorea longicatena] 
gi|493472838|ref|WP_006427869.1|	hypothetical protein [Dorea longicatena] 
gi|493472840|ref|WP_006427871.1|	hypothetical protein [Dorea longicatena] 
gi|493472842|ref|WP_006427872.1|	phosphoketolase [Dorea longicatena] 
gi|493472843|ref|WP_006427873.1|	hypothetical protein [Dorea longicatena] 
gi|493472844|ref|WP_006427874.1|	MULTISPECIES: sugar ABC transporter permease [Dorea] 
gi|493472845|ref|WP_006427875.1|	ABC transporter permease [Dorea longicatena] 
gi|493472846|ref|WP_006427876.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493472847|ref|WP_006427877.1|	hypothetical protein [Dorea longicatena] 
gi|493472848|ref|WP_006427878.1|	hypothetical protein [Dorea longicatena] 
gi|493472849|ref|WP_006427879.1|	hypothetical protein [Dorea longicatena] 
gi|493472850|ref|WP_006427880.1|	4-alpha-glucanotransferase [Dorea longicatena] 
gi|493472851|ref|WP_006427881.1|	hypothetical protein [Dorea longicatena] 
gi|493472852|ref|WP_006427882.1|	hypothetical protein [Dorea longicatena] 
gi|493472853|ref|WP_006427883.1|	SAM-dependent methyltransferase [Dorea longicatena] 
gi|493472854|ref|WP_006427884.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472855|ref|WP_006427885.1|	MULTISPECIES: sodium:calcium symporter [Dorea] 
gi|493472856|ref|WP_006427886.1|	hypothetical protein [Dorea longicatena] 
gi|493472857|ref|WP_006427887.1|	MULTISPECIES: ArsR family transcriptional regulator [Dorea] 
gi|493472858|ref|WP_006427888.1|	zinc ABC transporter ATPase [Dorea longicatena] 
gi|493472859|ref|WP_006427889.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472860|ref|WP_006427890.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472861|ref|WP_006427891.1|	hypothetical protein [Dorea longicatena] 
gi|493472862|ref|WP_006427892.1|	MULTISPECIES: heat shock protein Hsp20 [Dorea] 
gi|493472863|ref|WP_006427893.1|	hypothetical protein [Dorea longicatena] 
gi|493472864|ref|WP_006427894.1|	aldo/keto reductase [Dorea longicatena] 
gi|493472865|ref|WP_006427895.1|	hypothetical protein [Dorea longicatena] 
gi|493472866|ref|WP_006427896.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472867|ref|WP_006427897.1|	hypothetical protein [Dorea longicatena] 
gi|493472868|ref|WP_006427898.1|	hypothetical protein [Dorea longicatena] 
gi|493472869|ref|WP_006427899.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472870|ref|WP_006427900.1|	ABC transporter permease [Dorea longicatena] 
gi|493472871|ref|WP_006427901.1|	MULTISPECIES: ABC transporter ATP-binding protein [Dorea] 
gi|493472872|ref|WP_006427902.1|	histidine kinase [Dorea longicatena] 
gi|493472873|ref|WP_006427903.1|	chemotaxis protein CheY [Dorea longicatena] 
gi|493472874|ref|WP_006427904.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472875|ref|WP_006427905.1|	hypothetical protein [Dorea longicatena] 
gi|493472876|ref|WP_006427906.1|	aspartate aminotransferase [Dorea longicatena] 
gi|493472877|ref|WP_006427907.1|	hypothetical protein [Dorea longicatena] 
gi|493472878|ref|WP_006427908.1|	hypothetical protein [Dorea longicatena] 
gi|493472879|ref|WP_006427909.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472880|ref|WP_006427910.1|	peptidase [Dorea longicatena] 
gi|493472881|ref|WP_006427911.1|	cytidylate kinase [Dorea longicatena] 
gi|493472882|ref|WP_006427912.1|	hypothetical protein [Dorea longicatena] 
gi|493472883|ref|WP_006427913.1|	MULTISPECIES: ATPase AAA [Dorea] 
gi|493472884|ref|WP_006427914.1|	DNA ligase [Dorea longicatena] 
gi|493472885|ref|WP_006427915.1|	MULTISPECIES: pseudouridylate synthase [Dorea] 
gi|493472886|ref|WP_006427916.1|	hypothetical protein [Dorea longicatena] 
gi|493472887|ref|WP_006427917.1|	MULTISPECIES: alginate regulatory protein [Dorea] 
gi|493472888|ref|WP_006427918.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472889|ref|WP_006427919.1|	hypothetical protein [Dorea longicatena] 
gi|493472890|ref|WP_006427920.1|	hypothetical protein [Dorea longicatena] 
gi|493472891|ref|WP_006427921.1|	hypothetical protein [Dorea longicatena] 
gi|493472892|ref|WP_006427922.1|	heat shock protein Hsp90 [Dorea longicatena] 
gi|493472893|ref|WP_006427923.1|	cell division protein FtsX [Dorea longicatena] 
gi|493472894|ref|WP_006427924.1|	macrolide ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493472897|ref|WP_006427926.1|	hypothetical protein [Dorea longicatena] 
gi|493472896|ref|WP_006427925.1|	hypothetical protein [Dorea longicatena] 
gi|493472898|ref|WP_006427927.1|	histidine phosphatase [Dorea longicatena] 
gi|493472899|ref|WP_006427928.1|	MULTISPECIES: S-ribosylhomocysteinase [Dorea] 
gi|493472900|ref|WP_006427929.1|	MULTISPECIES: 50S ribosomal protein L20 [Dorea] 
gi|493472901|ref|WP_006427930.1|	MULTISPECIES: 50S ribosomal protein L35 [Dorea] 
gi|493472902|ref|WP_006427931.1|	MULTISPECIES: translation initiation factor IF-3 [Dorea] 
gi|493472903|ref|WP_006427932.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472904|ref|WP_006427933.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472905|ref|WP_006427934.1|	stage V sporulation protein AF [Dorea longicatena] 
gi|493472906|ref|WP_006427935.1|	MULTISPECIES: deoxyuridine 5'-triphosphate nucleotidohydrolase [Dorea] 
gi|493472907|ref|WP_006427936.1|	hypothetical protein [Dorea longicatena] 
gi|493472908|ref|WP_006427937.1|	ABC transporter [Dorea longicatena] 
gi|493472909|ref|WP_006427938.1|	ABC transporter [Dorea longicatena] 
gi|493472910|ref|WP_006427939.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493472911|ref|WP_006427940.1|	hypothetical protein [Dorea longicatena] 
gi|493472912|ref|WP_006427941.1|	homoserine O-succinyltransferase [Dorea longicatena] 
gi|493472913|ref|WP_006427942.1|	membrane protein [Dorea longicatena] 
gi|493472914|ref|WP_006427943.1|	hypothetical protein [Dorea longicatena] 
gi|493472915|ref|WP_006427944.1|	threonyl-tRNA synthetase [Dorea longicatena] 
gi|493472916|ref|WP_006427945.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472917|ref|WP_006427946.1|	MULTISPECIES: preprotein translocase SecA [Dorea] 
gi|493472918|ref|WP_006427947.1|	hypothetical protein [Dorea longicatena] 
gi|493472919|ref|WP_006427948.1|	hypothetical protein [Dorea longicatena] 
gi|493472920|ref|WP_006427949.1|	hypothetical protein [Dorea longicatena] 
gi|493472921|ref|WP_006427950.1|	adenylosuccinate synthetase [Dorea longicatena] 
gi|493472922|ref|WP_006427951.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472923|ref|WP_006427952.1|	hypothetical protein [Dorea longicatena] 
gi|493472924|ref|WP_006427953.1|	MULTISPECIES: DeoR family transcriptional regulator [Dorea] 
gi|493472925|ref|WP_006427954.1|	glutaminyl-tRNA synthetase [Dorea longicatena] 
gi|493472926|ref|WP_006427955.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493472927|ref|WP_006427956.1|	hypothetical protein [Dorea longicatena] 
gi|493472928|ref|WP_006427957.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472929|ref|WP_006427958.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472930|ref|WP_006427959.1|	hypothetical protein [Dorea longicatena] 
gi|493472931|ref|WP_006427960.1|	MULTISPECIES: sugar:sodium symporter [Dorea] 
gi|493472932|ref|WP_006427961.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472933|ref|WP_006427962.1|	RNA polymerase sigma 70 [Dorea longicatena] 
gi|493472934|ref|WP_006427963.1|	MULTISPECIES: RNA methyltransferase [Dorea] 
gi|493472935|ref|WP_006427964.1|	MULTISPECIES: ribonuclease III [Dorea] 
gi|493472936|ref|WP_006427965.1|	cysteinyl-tRNA synthetase [Dorea longicatena] 
gi|493472937|ref|WP_006427966.1|	serine O-acetyltransferase [Dorea longicatena] 
gi|493472938|ref|WP_006427967.1|	hypothetical protein [Dorea longicatena] 
gi|493472939|ref|WP_006427968.1|	hypothetical protein [Dorea longicatena] 
gi|493472940|ref|WP_006427969.1|	PhoB family transcriptional regulator [Dorea longicatena] 
gi|493472941|ref|WP_006427970.1|	hypothetical protein [Dorea longicatena] 
gi|493472942|ref|WP_006427971.1|	MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Dorea] 
gi|493472943|ref|WP_006427972.1|	hypothetical protein [Dorea longicatena] 
gi|493472944|ref|WP_006427973.1|	glutamate dehydrogenase [Dorea longicatena] 
gi|493472945|ref|WP_006427974.1|	hypothetical protein [Dorea longicatena] 
gi|493472946|ref|WP_006427975.1|	phosphoribosylformylglycinamidine synthase [Dorea longicatena] 
gi|493472947|ref|WP_006427976.1|	membrane protein [Dorea longicatena] 
gi|493472948|ref|WP_006427977.1|	LysR family transcriptional regulator [Dorea longicatena] 
gi|493472949|ref|WP_006427978.1|	helicase [Dorea longicatena] 
gi|493472950|ref|WP_006427979.1|	transcriptional regulator [Dorea longicatena] 
gi|493472951|ref|WP_006427980.1|	1,4-alpha-glucan branching protein [Dorea longicatena] 
gi|493472952|ref|WP_006427981.1|	hypothetical protein [Dorea longicatena] 
gi|493472953|ref|WP_006427982.1|	hypothetical protein [Dorea longicatena] 
gi|493472954|ref|WP_006427983.1|	methylcobalamin:coenzyme M methyltransferase [Dorea longicatena] 
gi|493472955|ref|WP_006427984.1|	ferredoxin [Dorea longicatena] 
gi|493472956|ref|WP_006427985.1|	methylcobamide:CoM methyltransferase [Dorea longicatena] 
gi|493472957|ref|WP_006427986.1|	cobalamin-binding protein [Dorea longicatena] 
gi|493472958|ref|WP_006427987.1|	MFS transporter [Dorea longicatena] 
gi|493472959|ref|WP_006427988.1|	MULTISPECIES: DNA repair protein RadA [Dorea] 
gi|493472960|ref|WP_006427989.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472961|ref|WP_006427990.1|	ATP-dependent Clp protease ATP-binding protein [Dorea longicatena] 
gi|493472962|ref|WP_006427991.1|	MULTISPECIES: GntR family transcriptional regulator [Dorea] 
gi|493472963|ref|WP_006427992.1|	phosphoribosylamine--glycine ligase [Dorea longicatena] 
gi|493472964|ref|WP_006427993.1|	phosphoribosylglycinamide formyltransferase [Dorea longicatena] 
gi|493472965|ref|WP_006427994.1|	phosphoribosylaminoimidazole synthetase [Dorea longicatena] 
gi|493472966|ref|WP_006427995.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Dorea longicatena] 
gi|493472967|ref|WP_006427996.1|	hypothetical protein [Dorea longicatena] 
gi|493472968|ref|WP_006427997.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472969|ref|WP_006427998.1|	hypothetical protein [Dorea longicatena] 
gi|493472970|ref|WP_006427999.1|	MULTISPECIES: cytochrome C biosynthesis protein [Dorea] 
gi|493472971|ref|WP_006428000.1|	orotate phosphoribosyltransferase [Dorea longicatena] 
gi|493472972|ref|WP_006428001.1|	membrane protein [Dorea longicatena] 
gi|493472973|ref|WP_006428002.1|	membrane protein [Dorea longicatena] 
gi|493472974|ref|WP_006428003.1|	diguanylate cyclase [Dorea longicatena] 
gi|493472975|ref|WP_006428004.1|	dihydroorotate dehydrogenase [Dorea longicatena] 
gi|493472976|ref|WP_006428005.1|	orotidine 5'-phosphate decarboxylase [Dorea longicatena] 
gi|493472977|ref|WP_006428006.1|	hypothetical protein [Dorea longicatena] 
gi|493472978|ref|WP_006428007.1|	peptidase M23 [Dorea longicatena] 
gi|493472979|ref|WP_006428008.1|	MULTISPECIES: cell division protein FtsX [Dorea] 
gi|493472980|ref|WP_006428009.1|	MULTISPECIES: cell division protein FtsE [Dorea] 
gi|493472981|ref|WP_006428010.1|	CdaR family transcriptional regulator [Dorea longicatena] 
gi|493472982|ref|WP_006428011.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472983|ref|WP_006428012.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472984|ref|WP_006428013.1|	hypothetical protein partial [Dorea longicatena] 
gi|493472985|ref|WP_006428014.1|	4-hydroxythreonine-4-phosphate dehydrogenase [Dorea longicatena] 
gi|493472986|ref|WP_006428015.1|	HPr kinase [Dorea longicatena] 
gi|493472987|ref|WP_006428016.1|	gluconate permease [Dorea longicatena] 
gi|493472988|ref|WP_006428017.1|	hypothetical protein [Dorea longicatena] 
gi|493472989|ref|WP_006428018.1|	tartronate semialdehyde reductase [Dorea longicatena] 
gi|493472990|ref|WP_006428019.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493472991|ref|WP_006428020.1|	hypothetical protein [Dorea longicatena] 
gi|493472992|ref|WP_006428021.1|	hypothetical protein [Dorea longicatena] 
gi|493472993|ref|WP_006428022.1|	heme ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493472999|ref|WP_006428027.1|	hypothetical protein partial [Dorea longicatena] 
gi|493473000|ref|WP_006428028.1|	aspartyl-tRNA synthetase [Dorea longicatena] 
gi|493473001|ref|WP_006428029.1|	hypothetical protein [Dorea longicatena] 
gi|493473002|ref|WP_006428030.1|	MULTISPECIES: aspartyl/glutamyl-tRNA amidotransferase subunit C [Dorea] 
gi|493473003|ref|WP_006428031.1|	glutamyl-tRNA(Gln) amidotransferase [Dorea longicatena] 
gi|493473004|ref|WP_006428032.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [Dorea longicatena] 
gi|493473005|ref|WP_006428033.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Dorea longicatena] 
gi|493473006|ref|WP_006428034.1|	hypothetical protein [Dorea longicatena] 
gi|493473007|ref|WP_006428035.1|	MULTISPECIES: O-sialoglycoprotein endopeptidase [Dorea] 
gi|493473008|ref|WP_006428036.1|	MULTISPECIES: ribonuclease Z [Dorea] 
gi|493473009|ref|WP_006428037.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473010|ref|WP_006428038.1|	alanine acetyltransferase [Dorea longicatena] 
gi|493473011|ref|WP_006428039.1|	amino acid lyase [Dorea longicatena] 
gi|493473012|ref|WP_006428040.1|	O-sialoglycoprotein endopeptidase [Dorea longicatena] 
gi|493473013|ref|WP_006428041.1|	ATP-binding protein [Dorea longicatena] 
gi|493473014|ref|WP_006428042.1|	MULTISPECIES: lactoylglutathione lyase [Dorea] 
gi|493473015|ref|WP_006428043.1|	glucose-6-phosphate isomerase [Dorea longicatena] 
gi|493473016|ref|WP_006428044.1|	tetrahydrofolate synthase [Dorea longicatena] 
gi|493473017|ref|WP_006428045.1|	GTP cyclohydrolase I [Dorea longicatena] 
gi|493473018|ref|WP_006428046.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473019|ref|WP_006428047.1|	dihydropteroate synthase [Dorea longicatena] 
gi|493473020|ref|WP_006428048.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Dorea longicatena] 
gi|493473021|ref|WP_006428049.1|	MULTISPECIES: membrane protein [Dorea] 
gi|493473022|ref|WP_006428050.1|	sodium transporter [Dorea longicatena] 
gi|493473023|ref|WP_006428051.1|	ankyrin [Dorea longicatena] 
gi|493473024|ref|WP_006428052.1|	hypothetical protein [Dorea longicatena] 
gi|493473025|ref|WP_006428053.1|	O-acetylhomoserine aminocarboxypropyltransferase [Dorea longicatena] 
gi|493473026|ref|WP_006428054.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493473027|ref|WP_006428055.1|	phosphate ABC transporter permease [Dorea longicatena] 
gi|493473028|ref|WP_006428056.1|	hypothetical protein [Dorea longicatena] 
gi|493473029|ref|WP_006428057.1|	phosphate ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493473030|ref|WP_006428058.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473031|ref|WP_006428059.1|	sodium-dependent tryptophan transporter [Dorea longicatena] 
gi|493473032|ref|WP_006428060.1|	sodium:proton antiporter [Dorea longicatena] 
gi|493473033|ref|WP_006428061.1|	hypothetical protein [Dorea longicatena] 
gi|493473034|ref|WP_006428062.1|	peptidase M24 [Dorea longicatena] 
gi|493473035|ref|WP_006428063.1|	hypothetical protein [Dorea longicatena] 
gi|493473036|ref|WP_006428064.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473037|ref|WP_006428065.1|	hypothetical protein [Dorea longicatena] 
gi|493473038|ref|WP_006428066.1|	cytosine permease [Dorea longicatena] 
gi|493473039|ref|WP_006428067.1|	haloacid dehalogenase [Dorea longicatena] 
gi|493473040|ref|WP_006428068.1|	autotransporter [Dorea longicatena] 
gi|493473041|ref|WP_006428069.1|	Crp/Fnr family transcriptional regulator [Dorea longicatena] 
gi|493473042|ref|WP_006428070.1|	DNA-binding protein [Dorea longicatena] 
gi|493473043|ref|WP_006428071.1|	hypothetical protein [Dorea longicatena] 
gi|493473044|ref|WP_006428072.1|	hypothetical protein [Dorea longicatena] 
gi|493473045|ref|WP_006428073.1|	membrane protein [Dorea longicatena] 
gi|493473046|ref|WP_006428074.1|	MULTISPECIES: radical SAM protein [Dorea] 
gi|493473047|ref|WP_006428075.1|	hypothetical protein [Dorea longicatena] 
gi|493473048|ref|WP_006428076.1|	hypothetical protein [Dorea longicatena] 
gi|493473049|ref|WP_006428077.1|	MULTISPECIES: inosine monophosphate cyclohydrolase [Dorea] 
gi|493473050|ref|WP_006428078.1|	MULTISPECIES: 5-aminoimidazole-4-carboxamide ribonucleotide transformylase [Dorea] 
gi|493473051|ref|WP_006428079.1|	hypothetical protein [Dorea longicatena] 
gi|493473052|ref|WP_006428080.1|	hypothetical protein [Dorea longicatena] 
gi|493473053|ref|WP_006428081.1|	MULTISPECIES: membrane protein [Dorea] 
gi|493473054|ref|WP_006428082.1|	4-hydroxybutyrate dehydrogenase [Dorea longicatena] 
gi|493473055|ref|WP_006428083.1|	enolase [Dorea longicatena] 
gi|493473056|ref|WP_006428084.1|	preprotein translocase subunit SecG [Dorea longicatena] 
gi|493473057|ref|WP_006428085.1|	ribonuclease R [Dorea longicatena] 
gi|493473058|ref|WP_006428086.1|	MULTISPECIES: single-stranded DNA-binding protein [Dorea] 
gi|493473059|ref|WP_006428087.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473060|ref|WP_006428088.1|	adenylate cyclase [Dorea longicatena] 
gi|493473061|ref|WP_006428089.1|	hypothetical protein [Dorea longicatena] 
gi|493473062|ref|WP_006428090.1|	hypothetical protein [Dorea longicatena] 
