gi|493770745|ref|WP_006719278.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772788|ref|WP_006721302.1|	hypothetical protein [Collinsella stercoris] 
gi|493772789|ref|WP_006721303.1|	hypothetical protein [Collinsella stercoris] 
gi|493772790|ref|WP_006721304.1|	hypothetical protein [Collinsella stercoris] 
gi|493772791|ref|WP_006721305.1|	hypothetical protein [Collinsella stercoris] 
gi|493772792|ref|WP_006721306.1|	hypothetical protein [Collinsella stercoris] 
gi|493772793|ref|WP_006721307.1|	hypothetical protein [Collinsella stercoris] 
gi|493772794|ref|WP_006721308.1|	hypothetical protein [Collinsella stercoris] 
gi|493772795|ref|WP_006721309.1|	hypothetical protein [Collinsella stercoris] 
gi|493772796|ref|WP_006721310.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772797|ref|WP_006721311.1|	hypothetical protein [Collinsella stercoris] 
gi|493772798|ref|WP_006721312.1|	phosphomethylpyrimidine synthase [Collinsella stercoris] 
gi|493772799|ref|WP_006721313.1|	hypothetical protein [Collinsella stercoris] 
gi|493772800|ref|WP_006721314.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772801|ref|WP_006721315.1|	hypothetical protein [Collinsella stercoris] 
gi|493772802|ref|WP_006721316.1|	hypothetical protein [Collinsella stercoris] 
gi|493772803|ref|WP_006721317.1|	hypothetical protein [Collinsella stercoris] 
gi|493772804|ref|WP_006721318.1|	glutamyl-tRNA synthetase [Collinsella stercoris] 
gi|493772805|ref|WP_006721319.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772806|ref|WP_006721320.1|	serine dehydratase [Collinsella stercoris] 
gi|493772807|ref|WP_006721321.1|	hypothetical protein [Collinsella stercoris] 
gi|493772808|ref|WP_006721322.1|	hypothetical protein [Collinsella stercoris] 
gi|493772809|ref|WP_006721323.1|	transcriptional regulator [Collinsella stercoris] 
gi|493772810|ref|WP_006721324.1|	hypothetical protein [Collinsella stercoris] 
gi|493772811|ref|WP_006721325.1|	hypothetical protein [Collinsella stercoris] 
gi|493772812|ref|WP_006721326.1|	peptide ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772813|ref|WP_006721327.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772814|ref|WP_006721328.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772815|ref|WP_006721329.1|	hypothetical protein [Collinsella stercoris] 
gi|493772816|ref|WP_006721330.1|	hypothetical protein [Collinsella stercoris] 
gi|493772817|ref|WP_006721331.1|	hypothetical protein [Collinsella stercoris] 
gi|493772818|ref|WP_006721332.1|	hypothetical protein [Collinsella stercoris] 
gi|493772819|ref|WP_006721333.1|	hypothetical protein [Collinsella stercoris] 
gi|493772820|ref|WP_006721334.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772821|ref|WP_006721335.1|	hypothetical protein [Collinsella stercoris] 
gi|493772822|ref|WP_006721336.1|	hypothetical protein [Collinsella stercoris] 
gi|493772823|ref|WP_006721337.1|	hypothetical protein [Collinsella stercoris] 
gi|493772824|ref|WP_006721338.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772825|ref|WP_006721339.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772826|ref|WP_006721340.1|	peptide ABC transporter permease [Collinsella stercoris] 
gi|493772827|ref|WP_006721341.1|	ABC transporter permease [Collinsella stercoris] 
gi|493772828|ref|WP_006721342.1|	ABC transporter substrate-binding protein [Collinsella stercoris] 
gi|493772829|ref|WP_006721343.1|	hypothetical protein [Collinsella stercoris] 
gi|493772830|ref|WP_006721344.1|	aminopeptidase C [Collinsella stercoris] 
gi|493772831|ref|WP_006721345.1|	1-phosphofructokinase [Collinsella stercoris] 
gi|493772832|ref|WP_006721346.1|	phosphoenolpyruvate-protein phosphotransferase [Collinsella stercoris] 
gi|493772833|ref|WP_006721347.1|	PTS glucose transporter subunit IIABC [Collinsella stercoris] 
gi|493772834|ref|WP_006721348.1|	hypothetical protein [Collinsella stercoris] 
gi|493772835|ref|WP_006721349.1|	glycosyl transferase family 2 [Collinsella stercoris] 
gi|493772836|ref|WP_006721350.1|	hypothetical protein [Collinsella stercoris] 
gi|493772837|ref|WP_006721351.1|	glycosyl transferase family 2 [Collinsella stercoris] 
gi|493772838|ref|WP_006721352.1|	hypothetical protein [Collinsella stercoris] 
gi|493772839|ref|WP_006721353.1|	hypothetical protein [Collinsella stercoris] 
gi|493772840|ref|WP_006721354.1|	hypothetical protein [Collinsella stercoris] 
gi|493772841|ref|WP_006721355.1|	hypothetical protein [Collinsella stercoris] 
gi|493772842|ref|WP_006721356.1|	hypothetical protein [Collinsella stercoris] 
gi|493772843|ref|WP_006721357.1|	glycosyl transferase family 2 [Collinsella stercoris] 
gi|493772844|ref|WP_006721358.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772845|ref|WP_006721359.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772846|ref|WP_006721360.1|	dTDP-glucose 4,6-dehydratase [Collinsella stercoris] 
gi|493772847|ref|WP_006721361.1|	hypothetical protein [Collinsella stercoris] 
gi|493772848|ref|WP_006721362.1|	hypothetical protein [Collinsella stercoris] 
gi|493772849|ref|WP_006721363.1|	hypothetical protein [Collinsella stercoris] 
gi|493772850|ref|WP_006721364.1|	hypothetical protein [Collinsella stercoris] 
gi|493772852|ref|WP_006721366.1|	glucose-1-phosphate thymidylyltransferase [Collinsella stercoris] 
gi|493772853|ref|WP_006721367.1|	hypothetical protein [Collinsella stercoris] 
gi|493772854|ref|WP_006721368.1|	glycosyl transferase family 2 [Collinsella stercoris] 
gi|493772855|ref|WP_006721369.1|	hypothetical protein [Collinsella stercoris] 
gi|493772856|ref|WP_006721370.1|	hypothetical protein [Collinsella stercoris] 
gi|493772857|ref|WP_006721371.1|	hypothetical protein [Collinsella stercoris] 
gi|493772858|ref|WP_006721372.1|	hypothetical protein [Collinsella stercoris] 
gi|493772859|ref|WP_006721373.1|	teichoic acid ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772860|ref|WP_006721374.1|	hypothetical protein [Collinsella stercoris] 
gi|493772861|ref|WP_006721375.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772862|ref|WP_006721376.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772863|ref|WP_006721377.1|	hypothetical protein [Collinsella stercoris] 
gi|493772865|ref|WP_006721379.1|	hypothetical protein [Collinsella stercoris] 
gi|493772866|ref|WP_006721380.1|	hypothetical protein [Collinsella stercoris] 
gi|493772867|ref|WP_006721381.1|	hypothetical protein [Collinsella stercoris] 
gi|493772868|ref|WP_006721382.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772869|ref|WP_006721383.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772870|ref|WP_006721384.1|	hypothetical protein [Collinsella stercoris] 
gi|493772871|ref|WP_006721385.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772872|ref|WP_006721386.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772873|ref|WP_006721387.1|	hypothetical protein [Collinsella stercoris] 
gi|493772874|ref|WP_006721388.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772875|ref|WP_006721389.1|	MarR family transcriptional regulator [Collinsella stercoris] 
gi|493772876|ref|WP_006721390.1|	membrane protein [Collinsella stercoris] 
gi|493772877|ref|WP_006721391.1|	hypothetical protein [Collinsella stercoris] 
gi|493772878|ref|WP_006721392.1|	hypothetical protein [Collinsella stercoris] 
gi|493772879|ref|WP_006721393.1|	hypothetical protein [Collinsella stercoris] 
gi|493772880|ref|WP_006721394.1|	hypothetical protein [Collinsella stercoris] 
gi|493772882|ref|WP_006721396.1|	hypothetical protein [Collinsella stercoris] 
gi|493772883|ref|WP_006721397.1|	hypothetical protein [Collinsella stercoris] 
gi|493772884|ref|WP_006721398.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772885|ref|WP_006721399.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772886|ref|WP_006721400.1|	dTDP-glucose 4,6-dehydratase [Collinsella stercoris] 
gi|493772887|ref|WP_006721401.1|	glucose-1-phosphate thymidylyltransferase [Collinsella stercoris] 
gi|493772888|ref|WP_006721402.1|	hypothetical protein [Collinsella stercoris] 
gi|493772889|ref|WP_006721403.1|	hypothetical protein [Collinsella stercoris] 
gi|493772890|ref|WP_006721404.1|	phosphoesterase [Collinsella stercoris] 
gi|493772891|ref|WP_006721405.1|	hypothetical protein [Collinsella stercoris] 
gi|493772892|ref|WP_006721406.1|	lipopolysaccharide biosynthesis protein [Collinsella stercoris] 
gi|493772893|ref|WP_006721407.1|	DNA repair protein RecO [Collinsella stercoris] 
gi|493772894|ref|WP_006721408.1|	hypothetical protein [Collinsella stercoris] 
gi|493772895|ref|WP_006721409.1|	GTP-binding protein Era [Collinsella stercoris] 
gi|493772896|ref|WP_006721410.1|	diacylglycerol kinase [Collinsella stercoris] 
gi|493772897|ref|WP_006721411.1|	hypothetical protein [Collinsella stercoris] 
gi|493772898|ref|WP_006721412.1|	phosphate starvation protein PhoH [Collinsella stercoris] 
gi|493772899|ref|WP_006721413.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772900|ref|WP_006721414.1|	molecular chaperone DnaJ [Collinsella stercoris] 
gi|493772901|ref|WP_006721415.1|	cytidine deaminase [Collinsella stercoris] 
gi|493772902|ref|WP_006721416.1|	hypothetical protein [Collinsella stercoris] 
gi|493772903|ref|WP_006721417.1|	hypothetical protein [Collinsella stercoris] 
gi|493772904|ref|WP_006721418.1|	hypothetical protein [Collinsella stercoris] 
gi|493772905|ref|WP_006721419.1|	hypothetical protein [Collinsella stercoris] 
gi|493772906|ref|WP_006721420.1|	GTP-binding protein LepA [Collinsella stercoris] 
gi|493772907|ref|WP_006721421.1|	DNA repair protein RecN [Collinsella stercoris] 
gi|493772908|ref|WP_006721422.1|	ATP-NAD kinase [Collinsella stercoris] 
gi|493772909|ref|WP_006721423.1|	hemolysin [Collinsella stercoris] 
gi|493772910|ref|WP_006721424.1|	hypothetical protein [Collinsella stercoris] 
gi|493772911|ref|WP_006721425.1|	hypothetical protein [Collinsella stercoris] 
gi|493772912|ref|WP_006721426.1|	hypothetical protein [Collinsella stercoris] 
gi|493772913|ref|WP_006721427.1|	elongation factor P [Collinsella stercoris] 
gi|493772914|ref|WP_006721428.1|	hypothetical protein [Collinsella stercoris] 
gi|493772915|ref|WP_006721429.1|	hypothetical protein [Collinsella stercoris] 
gi|493772916|ref|WP_006721430.1|	hypothetical protein [Collinsella stercoris] 
gi|493772917|ref|WP_006721431.1|	hypothetical protein [Collinsella stercoris] 
gi|493772918|ref|WP_006721432.1|	peptidase M24 [Collinsella stercoris] 
gi|493772919|ref|WP_006721433.1|	hypothetical protein [Collinsella stercoris] 
gi|493772920|ref|WP_006721434.1|	shikimate kinase [Collinsella stercoris] 
gi|493772922|ref|WP_006721436.1|	haloacid dehalogenase [Collinsella stercoris] 
gi|493772923|ref|WP_006721437.1|	hypothetical protein [Collinsella stercoris] 
gi|493772924|ref|WP_006721438.1|	Holliday junction resolvase [Collinsella stercoris] 
gi|493772925|ref|WP_006721439.1|	alanyl-tRNA synthetase [Collinsella stercoris] 
gi|493772926|ref|WP_006721440.1|	hypothetical protein [Collinsella stercoris] 
gi|493772927|ref|WP_006721441.1|	hypothetical protein [Collinsella stercoris] 
gi|493772928|ref|WP_006721442.1|	hypothetical protein [Collinsella stercoris] 
gi|493772929|ref|WP_006721443.1|	hypothetical protein [Collinsella stercoris] 
gi|493772930|ref|WP_006721444.1|	ATPase AAA [Collinsella stercoris] 
gi|493772931|ref|WP_006721445.1|	phosphohydrolase [Collinsella stercoris] 
gi|493772932|ref|WP_006721446.1|	hypothetical protein [Collinsella stercoris] 
gi|493772933|ref|WP_006721447.1|	hypothetical protein [Collinsella stercoris] 
gi|493772934|ref|WP_006721448.1|	glycosyl transferase [Collinsella stercoris] 
gi|493772935|ref|WP_006721449.1|	hypothetical protein [Collinsella stercoris] 
gi|493772936|ref|WP_006721450.1|	pseudouridine synthase [Collinsella stercoris] 
gi|493772937|ref|WP_006721451.1|	hypothetical protein [Collinsella stercoris] 
gi|493772938|ref|WP_006721452.1|	isoleucyl-tRNA synthetase [Collinsella stercoris] 
gi|493772939|ref|WP_006721453.1|	hypothetical protein [Collinsella stercoris] 
gi|493772940|ref|WP_006721454.1|	hypothetical protein [Collinsella stercoris] 
gi|493772941|ref|WP_006721455.1|	hypothetical protein [Collinsella stercoris] 
gi|493772942|ref|WP_006721456.1|	hypothetical protein [Collinsella stercoris] 
gi|493772943|ref|WP_006721457.1|	glycerol dehydrogenase [Collinsella stercoris] 
gi|493772944|ref|WP_006721458.1|	hypothetical protein [Collinsella stercoris] 
gi|493772945|ref|WP_006721459.1|	hypothetical protein [Collinsella stercoris] 
gi|493772946|ref|WP_006721460.1|	30S ribosomal protein S20 [Collinsella stercoris] 
gi|493772947|ref|WP_006721461.1|	hypothetical protein [Collinsella stercoris] 
gi|493772948|ref|WP_006721462.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772949|ref|WP_006721463.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772950|ref|WP_006721464.1|	hypothetical protein [Collinsella stercoris] 
gi|493772951|ref|WP_006721465.1|	hypothetical protein [Collinsella stercoris] 
gi|493772952|ref|WP_006721466.1|	thiamine biosynthesis protein ThiI [Collinsella stercoris] 
gi|493772953|ref|WP_006721467.1|	DNA-directed RNA polymerase subunit omega [Collinsella stercoris] 
gi|493772954|ref|WP_006721468.1|	guanylate kinase [Collinsella stercoris] 
gi|493772955|ref|WP_006721469.1|	hypothetical protein [Collinsella stercoris] 
gi|493772956|ref|WP_006721470.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772957|ref|WP_006721471.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772958|ref|WP_006721472.1|	diguanylate cyclase [Collinsella stercoris] 
gi|493772959|ref|WP_006721473.1|	oxidoreductase [Collinsella stercoris] 
gi|493772960|ref|WP_006721474.1|	dihydroorotase [Collinsella stercoris] 
gi|493772961|ref|WP_006721475.1|	aspartate carbamoyltransferase [Collinsella stercoris] 
gi|493772962|ref|WP_006721476.1|	uracil phosphoribosyltransferase [Collinsella stercoris] 
gi|493772963|ref|WP_006721477.1|	hypothetical protein [Collinsella stercoris] 
gi|493772964|ref|WP_006721478.1|	hypothetical protein [Collinsella stercoris] 
gi|493772966|ref|WP_006721479.1|	hypothetical protein [Collinsella stercoris] 
gi|493772967|ref|WP_006721480.1|	multidrug ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493772968|ref|WP_006721481.1|	hypothetical protein [Collinsella stercoris] 
gi|493772969|ref|WP_006721482.1|	hypothetical protein [Collinsella stercoris] 
gi|493772970|ref|WP_006721483.1|	hypothetical protein [Collinsella stercoris] 
gi|493772971|ref|WP_006721484.1|	hypothetical protein [Collinsella stercoris] 
gi|493772972|ref|WP_006721485.1|	hypothetical protein [Collinsella stercoris] 
gi|493772973|ref|WP_006721486.1|	RNA polymerase sigma70 factor [Collinsella stercoris] 
gi|493772974|ref|WP_006721487.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772975|ref|WP_006721488.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772976|ref|WP_006721489.1|	hypothetical protein [Collinsella stercoris] 
gi|493772977|ref|WP_006721490.1|	hypothetical protein [Collinsella stercoris] 
gi|493772978|ref|WP_006721491.1|	phosphoesterase RecJ [Collinsella stercoris] 
gi|493772979|ref|WP_006721492.1|	ribosome-binding factor A [Collinsella stercoris] 
gi|493772980|ref|WP_006721493.1|	hypothetical protein [Collinsella stercoris] 
gi|493772981|ref|WP_006721494.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772982|ref|WP_006721495.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772983|ref|WP_006721496.1|	antitermination factor NusA [Collinsella stercoris] 
gi|493772984|ref|WP_006721497.1|	hypothetical protein [Collinsella stercoris] 
gi|493772985|ref|WP_006721498.1|	leucyl-tRNA synthetase [Collinsella stercoris] 
gi|493772986|ref|WP_006721499.1|	hypothetical protein [Collinsella stercoris] 
gi|493772987|ref|WP_006721500.1|	hypothetical protein [Collinsella stercoris] 
gi|493772988|ref|WP_006721501.1|	inosine 5'-monophosphate dehydrogenase [Collinsella stercoris] 
gi|493772989|ref|WP_006721502.1|	hypothetical protein [Collinsella stercoris] 
gi|493772990|ref|WP_006721503.1|	hypothetical protein [Collinsella stercoris] 
gi|493772991|ref|WP_006721504.1|	hypothetical protein [Collinsella stercoris] 
gi|493772992|ref|WP_006721505.1|	membrane protein [Collinsella stercoris] 
gi|493772993|ref|WP_006721506.1|	hypothetical protein [Collinsella stercoris] 
gi|493772994|ref|WP_006721507.1|	hypothetical protein [Collinsella stercoris] 
gi|493772995|ref|WP_006721508.1|	hypothetical protein [Collinsella stercoris] 
gi|493772996|ref|WP_006721509.1|	threonyl-tRNA synthetase [Collinsella stercoris] 
gi|493772997|ref|WP_006721510.1|	hypothetical protein [Collinsella stercoris] 
gi|493772998|ref|WP_006721511.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493772999|ref|WP_006721512.1|	hypothetical protein [Collinsella stercoris] 
gi|493773000|ref|WP_006721513.1|	hypothetical protein [Collinsella stercoris] 
gi|493773002|ref|WP_006721514.1|	hypothetical protein [Collinsella stercoris] 
gi|493773003|ref|WP_006721515.1|	hypothetical protein [Collinsella stercoris] 
gi|493773004|ref|WP_006721516.1|	hypothetical protein [Collinsella stercoris] 
gi|493773005|ref|WP_006721517.1|	hypothetical protein [Collinsella stercoris] 
gi|493773006|ref|WP_006721518.1|	hypothetical protein [Collinsella stercoris] 
gi|493773007|ref|WP_006721519.1|	pyridine nucleotide-disulfide oxidoreductase [Collinsella stercoris] 
gi|493773008|ref|WP_006721520.1|	hypothetical protein [Collinsella stercoris] 
gi|493773009|ref|WP_006721521.1|	hypothetical protein [Collinsella stercoris] 
gi|493773010|ref|WP_006721522.1|	hypothetical protein [Collinsella stercoris] 
gi|493773011|ref|WP_006721523.1|	hypothetical protein [Collinsella stercoris] 
