gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490381596|ref|WP_004261112.1|	signal peptide protein [Providencia rettgeri] 
gi|490381598|ref|WP_004261114.1|	membrane protein [Providencia rettgeri] 
gi|490381600|ref|WP_004261116.1|	cyclase [Providencia rettgeri] 
gi|490381603|ref|WP_004261119.1|	flavin reductase [Providencia rettgeri] 
gi|490381606|ref|WP_004261122.1|	alanine-phosphoribitol ligase [Providencia rettgeri] 
gi|490381607|ref|WP_004261123.1|	short-chain dehydrogenase [Providencia rettgeri] 
gi|490381610|ref|WP_004261125.1|	transcriptional regulator [Providencia rettgeri] 
gi|490381612|ref|WP_004261127.1|	DoxX family protein [Providencia rettgeri] 
gi|490381614|ref|WP_004261129.1|	RND transporter MFP subunit [Providencia rettgeri] 
gi|490381616|ref|WP_004261131.1|	acriflavine resistance protein B [Providencia rettgeri] 
gi|490381619|ref|WP_004261134.1|	hypothetical protein [Providencia rettgeri] 
gi|490381621|ref|WP_004261136.1|	4-amino-4-deoxy-L-arabinose transferase [Providencia rettgeri] 
gi|490381623|ref|WP_004261138.1|	O-acetylhomoserine aminocarboxypropyltransferase [Providencia rettgeri] 
gi|490381628|ref|WP_004261143.1|	benzoate-specific porin [Providencia rettgeri] 
gi|490381631|ref|WP_004261146.1|	Chondro-6-sulfatase [Providencia rettgeri] 
gi|490381635|ref|WP_004261150.1|	purine nucleoside phosphorylase [Providencia rettgeri] 
gi|490381639|ref|WP_004261154.1|	transporter [Providencia rettgeri] 
gi|490381642|ref|WP_004261157.1|	5'-nucleotidase [Providencia rettgeri] 
gi|490381645|ref|WP_004261160.1|	putative cytoplasmic protein [Providencia rettgeri] 
gi|490381649|ref|WP_004261164.1|	putative arylsulfatase A [Providencia rettgeri] 
gi|490381652|ref|WP_004261167.1|	septum formation initiator [Providencia rettgeri] 
gi|490381655|ref|WP_004261170.1|	C4-dicarboxylate ABC transporter [Providencia rettgeri] 
gi|490381658|ref|WP_004261173.1|	glycoporin [Providencia rettgeri] 
gi|490381660|ref|WP_004261175.1|	regulatory protein RecX [Providencia rettgeri] 
gi|490381662|ref|WP_004261177.1|	hypothetical protein [Providencia rettgeri] 
gi|490381664|ref|WP_004261179.1|	hypothetical protein [Providencia rettgeri] 
gi|490381666|ref|WP_004261181.1|	hypothetical protein [Providencia rettgeri] 
gi|490381668|ref|WP_004261183.1|	membrane protein [Providencia rettgeri] 
gi|490381670|ref|WP_004261185.1|	hypothetical protein [Providencia rettgeri] 
gi|490381672|ref|WP_004261187.1|	protein bax [Providencia rettgeri] 
gi|490381676|ref|WP_004261191.1|	peptidoglycan O-acetyltransferase PacA [Providencia rettgeri] 
gi|490381682|ref|WP_004261197.1|	hypothetical protein [Providencia rettgeri] 
gi|490381685|ref|WP_004261200.1|	hypothetical protein [Providencia rettgeri] 
gi|490381687|ref|WP_004261202.1|	transcriptional regulator [Providencia rettgeri] 
gi|490381689|ref|WP_004261204.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381691|ref|WP_004261206.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381694|ref|WP_004261209.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381695|ref|WP_004261210.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381697|ref|WP_004261212.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381699|ref|WP_004261214.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381701|ref|WP_004261216.1|	hypothetical protein [Providencia rettgeri] 
gi|490381703|ref|WP_004261218.1|	hypothetical protein [Providencia rettgeri] 
gi|490381712|ref|WP_004261227.1|	hypothetical protein [Providencia rettgeri] 
gi|490381714|ref|WP_004261229.1|	hemolysin secretion protein D [Providencia rettgeri] 
gi|490381716|ref|WP_004261231.1|	hypothetical protein [Providencia rettgeri] 
gi|490381718|ref|WP_004261233.1|	ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490381720|ref|WP_004261235.1|	gluconate transporter [Providencia rettgeri] 
gi|490381723|ref|WP_004261238.1|	gluconate kinase 1 [Providencia rettgeri] 
gi|490381725|ref|WP_004261240.1|	transcriptional regulator [Providencia rettgeri] 
gi|490381729|ref|WP_004261244.1|	ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490381731|ref|WP_004261246.1|	peptide ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490381734|ref|WP_004261249.1|	iron ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490381737|ref|WP_004261252.1|	methyltransferase [Providencia rettgeri] 
gi|490381741|ref|WP_004261256.1|	molybdenum transporter [Providencia rettgeri] 
gi|490381743|ref|WP_004261258.1|	TonB-dependent receptor [Providencia rettgeri] 
gi|490381746|ref|WP_004261261.1|	putative transcriptional regulator with C- effector domain of the bipartite response regulator [Providencia rettgeri] 
gi|490381749|ref|WP_004261264.1|	hypothetical protein [Providencia rettgeri] 
gi|490381752|ref|WP_004261267.1|	asparaginase [Providencia rettgeri] 
gi|490381758|ref|WP_004261273.1|	Auf fimbiral chaperone 1 [Providencia rettgeri] 
gi|490381763|ref|WP_004261278.1|	hypothetical protein [Providencia rettgeri] 
gi|490381766|ref|WP_004261281.1|	fimbrial biogenesis outer membrane usher protein [Providencia rettgeri] 
gi|490381769|ref|WP_004261284.1|	putative chaperone protein CssC [Providencia rettgeri] 
gi|490381771|ref|WP_004261286.1|	fimbrial protein [Providencia rettgeri] 
gi|490381786|ref|WP_004261301.1|	hypothetical protein [Providencia rettgeri] 
gi|490381789|ref|WP_004261304.1|	pilus protein [Providencia rettgeri] 
gi|490381793|ref|WP_004261308.1|	major fimbrial subunit [Providencia rettgeri] 
gi|490381795|ref|WP_004261310.1|	transcriptional regulator [Providencia rettgeri] 
gi|490381799|ref|WP_004261314.1|	LexA repressor [Providencia rettgeri] 
gi|490381802|ref|WP_004261317.1|	diacylglycerol kinase [Providencia rettgeri] 
gi|490381804|ref|WP_004261319.1|	glycerol-3-phosphate acyltransferase [Providencia rettgeri] 
gi|490381806|ref|WP_004261321.1|	4-hydroxybenzoate polyprenyltransferase [Providencia rettgeri] 
gi|490381808|ref|WP_004261323.1|	chorismate--pyruvate lyase [Providencia rettgeri] 
gi|490381810|ref|WP_004261325.1|	glucose-6-phosphate isomerase [Providencia rettgeri] 
gi|490381811|ref|WP_004261326.1|	aspartate kinase [Providencia rettgeri] 
gi|490381812|ref|WP_004261327.1|	hypothetical protein [Providencia rettgeri] 
gi|490381813|ref|WP_004261328.1|	hypothetical protein [Providencia rettgeri] 
gi|490381814|ref|WP_004261329.1|	B12-dependent methionine synthase [Providencia rettgeri] 
gi|490381815|ref|WP_004261330.1|	IclR family transcriptional regulator [Providencia rettgeri] 
gi|490381817|ref|WP_004261332.1|	N-acetylmuramoyl-L-alanine amidase [Providencia rettgeri] 
gi|490381819|ref|WP_004261334.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490381821|ref|WP_004261336.1|	hypothetical protein [Providencia rettgeri] 
gi|490381823|ref|WP_004261338.1|	phosphogluconate dehydratase [Providencia rettgeri] 
gi|490381826|ref|WP_004261341.1|	ketohydroxyglutarate aldolase [Providencia rettgeri] 
gi|490381828|ref|WP_004261343.1|	bifunctional isocitrate dehydrogenase kinase/phosphatase [Providencia rettgeri] 
gi|490381831|ref|WP_004261346.1|	isocitrate lyase [Providencia rettgeri] 
gi|490381834|ref|WP_004261349.1|	malate synthase [Providencia rettgeri] 
gi|490381837|ref|WP_004261352.1|	homoserine O-succinyltransferase [Providencia rettgeri] 
gi|490381840|ref|WP_004261355.1|	hypothetical protein [Providencia rettgeri] 
gi|490381842|ref|WP_004261357.1|	hypothetical protein [Providencia rettgeri] 
gi|490381879|ref|WP_004261393.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381882|ref|WP_004261396.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381886|ref|WP_004261400.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381888|ref|WP_004261402.1|	oxidoreductase [Providencia rettgeri] 
gi|490381891|ref|WP_004261405.1|	hypothetical protein [Providencia rettgeri] 
gi|490381893|ref|WP_004261407.1|	hypothetical protein [Providencia rettgeri] 
gi|490381896|ref|WP_004261410.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490381898|ref|WP_004261412.1|	hypothetical protein [Providencia rettgeri] 
gi|490381901|ref|WP_004261415.1|	putative lipoprotein [Providencia rettgeri] 
gi|490381903|ref|WP_004261417.1|	antirestriction protein KlcA [Providencia rettgeri] 
gi|490381906|ref|WP_004261420.1|	hypothetical protein [Providencia rettgeri] 
gi|490381909|ref|WP_004261423.1|	putative antirestriction protein [Providencia rettgeri] 
gi|490381912|ref|WP_004261426.1|	protein 32 protein of plasmid [Providencia rettgeri] 
gi|490381915|ref|WP_004261429.1|	transposase [Providencia rettgeri] 
gi|490381918|ref|WP_004261432.1|	putative protein 32 protein of plasmid [Providencia rettgeri] 
gi|490381921|ref|WP_004261435.1|	putative protein 32 protein of plasmid partial [Providencia rettgeri] 
gi|490381924|ref|WP_004261438.1|	integrase [Providencia rettgeri] 
gi|490381926|ref|WP_004261440.1|	integrase [Providencia rettgeri] 
gi|490381934|ref|WP_004261448.1|	MULTISPECIES: integrase [Providencia] 
gi|490381937|ref|WP_004261451.1|	hypothetical protein [Providencia rettgeri] 
gi|490381942|ref|WP_004261456.1|	hypothetical protein [Providencia rettgeri] 
gi|490381945|ref|WP_004261459.1|	hypothetical protein [Providencia rettgeri] 
gi|490381948|ref|WP_004261462.1|	hypothetical protein [Providencia rettgeri] 
gi|490381951|ref|WP_004261465.1|	hypothetical protein [Providencia rettgeri] 
gi|490381953|ref|WP_004261467.1|	hypothetical protein [Providencia rettgeri] 
gi|490381955|ref|WP_004261469.1|	membrane protein [Providencia rettgeri] 
gi|490381957|ref|WP_004261471.1|	hypothetical protein [Providencia rettgeri] 
gi|490381959|ref|WP_004261473.1|	hypothetical protein [Providencia rettgeri] 
gi|490381961|ref|WP_004261475.1|	bifunctional glutathionylspermidine amidase/glutathionylspermidine synthetase [Providencia rettgeri] 
gi|490381963|ref|WP_004261477.1|	hypothetical protein [Providencia rettgeri] 
gi|490381966|ref|WP_004261480.1|	lysozyme [Providencia rettgeri] 
gi|490381970|ref|WP_004261484.1|	thiamine biosynthesis lipoprotein ApbE [Providencia rettgeri] 
gi|490381975|ref|WP_004261489.1|	hypothetical protein [Providencia rettgeri] 
gi|490381976|ref|WP_004261490.1|	membrane protein [Providencia rettgeri] 
gi|490381980|ref|WP_004261494.1|	protein HdeA [Providencia rettgeri] 
gi|490381983|ref|WP_004261497.1|	hypothetical protein [Providencia rettgeri] 
gi|490381985|ref|WP_004261499.1|	membrane protein [Providencia rettgeri] 
gi|490381989|ref|WP_004261503.1|	antitermination protein Q [Providencia rettgeri] 
gi|490381994|ref|WP_004261508.1|	hypothetical protein [Providencia rettgeri] 
gi|490381996|ref|WP_004261510.1|	antitermination protein Q [Providencia rettgeri] 
gi|490381999|ref|WP_004261513.1|	replication protein O [Providencia rettgeri] 
gi|490382001|ref|WP_004261515.1|	hypothetical protein [Providencia rettgeri] 
gi|490382003|ref|WP_004261517.1|	glycerate kinase [Providencia rettgeri] 
gi|490382004|ref|WP_004261518.1|	allantoin permease [Providencia rettgeri] 
gi|490382008|ref|WP_004261522.1|	allantoinase [Providencia rettgeri] 
gi|490382011|ref|WP_004261525.1|	purine permease [Providencia rettgeri] 
gi|490382014|ref|WP_004261528.1|	tartronate semialdehyde reductase [Providencia rettgeri] 
gi|490382018|ref|WP_004261532.1|	hydroxypyruvate isomerase [Providencia rettgeri] 
gi|490382021|ref|WP_004261535.1|	glyoxylate carboligase [Providencia rettgeri] 
gi|490382024|ref|WP_004261538.1|	IclR family transcriptional regulator [Providencia rettgeri] 
gi|490382027|ref|WP_004261541.1|	ureidoglycolate hydrolase [Providencia rettgeri] 
gi|490382031|ref|WP_004261545.1|	MULTISPECIES: LysR family transcriptional regulator [Providencia] 
gi|490382033|ref|WP_004261547.1|	aldo/keto reductase [Providencia rettgeri] 
gi|490382035|ref|WP_004261549.1|	carbamate kinase [Providencia rettgeri] 
gi|490382037|ref|WP_004261551.1|	putative cytoplasmic protein [Providencia rettgeri] 
gi|490382039|ref|WP_004261553.1|	hypothetical protein [Providencia rettgeri] 
gi|490382041|ref|WP_004261555.1|	membrane protein [Providencia rettgeri] 
gi|490382043|ref|WP_004261557.1|	hypothetical protein [Providencia rettgeri] 
gi|490382045|ref|WP_004261559.1|	ureidoglycolate dehydrogenase [Providencia rettgeri] 
gi|490382048|ref|WP_004261562.1|	allantoate amidohydrolase [Providencia rettgeri] 
gi|490382051|ref|WP_004261565.1|	hypothetical protein [Providencia rettgeri] 
gi|490382054|ref|WP_004261568.1|	OHCU decarboxylase [Providencia rettgeri] 
gi|490382058|ref|WP_004261572.1|	putative hydantoin racemase [Providencia rettgeri] 
gi|490382060|ref|WP_004261574.1|	hypothetical protein [Providencia rettgeri] 
gi|490382064|ref|WP_004261578.1|	putative integrase [Providencia rettgeri] 
gi|490382067|ref|WP_004261581.1|	sodium:solute symporter [Providencia rettgeri] 
gi|490382071|ref|WP_004261585.1|	hypothetical protein [Providencia rettgeri] 
gi|490382075|ref|WP_004261589.1|	hypothetical protein [Providencia rettgeri] 
gi|490382078|ref|WP_004261592.1|	hypothetical protein [Providencia rettgeri] 
gi|490382081|ref|WP_004261595.1|	inner membrane protein [Providencia rettgeri] 
gi|490382084|ref|WP_004261598.1|	hypothetical protein [Providencia rettgeri] 
gi|490382087|ref|WP_004261601.1|	hypothetical protein [Providencia rettgeri] 
gi|490382090|ref|WP_004261604.1|	Na+-type flagellar protein contains TPR repeat [Providencia rettgeri] 
gi|490382094|ref|WP_004261608.1|	hypothetical protein [Providencia rettgeri] 
gi|490382097|ref|WP_004261611.1|	hypothetical protein [Providencia rettgeri] 
gi|490382101|ref|WP_004261615.1|	transcriptional regulator [Providencia rettgeri] 
gi|490382103|ref|WP_004261617.1|	transposase [Providencia rettgeri] 
gi|490382107|ref|WP_004261621.1|	putative beta1,4-galactosyltransferase [Providencia rettgeri] 
gi|490382110|ref|WP_004261624.1|	lipopolysaccharide 1,3-galactosyltransferase [Providencia rettgeri] 
gi|490382115|ref|WP_004261629.1|	hypothetical protein [Providencia rettgeri] 
gi|490382118|ref|WP_004261632.1|	hypothetical protein [Providencia rettgeri] 
gi|490382121|ref|WP_004261635.1|	hypothetical protein [Providencia rettgeri] 
gi|490382124|ref|WP_004261638.1|	peptidase [Providencia rettgeri] 
gi|490382130|ref|WP_004261644.1|	multidrug DMT transporter [Providencia rettgeri] 
gi|490382135|ref|WP_004261649.1|	oxidoreductase [Providencia rettgeri] 
gi|490382138|ref|WP_004261652.1|	AP endonuclease [Providencia rettgeri] 
gi|490382142|ref|WP_004261656.1|	oxidoreductase [Providencia rettgeri] 
gi|490382144|ref|WP_004261658.1|	major facilitator transporter [Providencia rettgeri] 
gi|490382147|ref|WP_004261661.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490382149|ref|WP_004261663.1|	cytochrome C peroxidase [Providencia rettgeri] 
gi|490382153|ref|WP_004261666.1|	Fe3+-siderophore ABC transporter permease [Providencia rettgeri] 
gi|490382155|ref|WP_004261668.1|	iron-hydroxamate ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490382157|ref|WP_004261670.1|	ABC transporter [Providencia rettgeri] 
gi|490382159|ref|WP_004261672.1|	ligand-gated channel [Providencia rettgeri] 
gi|490382161|ref|WP_004261674.1|	sodium/glucose cotransporter partial [Providencia rettgeri] 
gi|490382164|ref|WP_004261677.1|	transcriptional regulator [Providencia rettgeri] 
gi|490382168|ref|WP_004261681.1|	aldose 1-epimerase [Providencia rettgeri] 
gi|490382170|ref|WP_004261683.1|	galactokinase [Providencia rettgeri] 
gi|490382172|ref|WP_004261685.1|	galactose-1-phosphate uridylyltransferase [Providencia rettgeri] 
gi|490382174|ref|WP_004261687.1|	UDP-galactose-4-epimerase [Providencia rettgeri] 
gi|490382176|ref|WP_004261689.1|	putative regulatory protein IclR [Providencia rettgeri] 
gi|490382177|ref|WP_004261690.1|	membrane protein [Providencia rettgeri] 
gi|490382178|ref|WP_004261691.1|	cysteine desulfurase [Providencia rettgeri] 
gi|490382179|ref|WP_004261692.1|	peptidase E [Providencia rettgeri] 
gi|490382180|ref|WP_004261693.1|	hypothetical protein [Providencia rettgeri] 
gi|490382181|ref|WP_004261694.1|	NAD-dependent dehydratase [Providencia rettgeri] 
gi|490382182|ref|WP_004261695.1|	hemin uptake protein HemP [Providencia rettgeri] 
gi|490382184|ref|WP_004261697.1|	ligand-gated channel protein [Providencia rettgeri] 
gi|490382186|ref|WP_004261699.1|	hemin transporter [Providencia rettgeri] 
gi|490382189|ref|WP_004261702.1|	hemin ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490382192|ref|WP_004261705.1|	iron ABC transporter [Providencia rettgeri] 
gi|490382195|ref|WP_004261708.1|	hemin ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490382205|ref|WP_004261718.1|	hypothetical protein [Providencia rettgeri] 
gi|490382207|ref|WP_004261720.1|	hypothetical protein [Providencia rettgeri] 
gi|490382210|ref|WP_004261723.1|	S-formylglutathione hydrolase [Providencia rettgeri] 
gi|490382213|ref|WP_004261726.1|	S-(hydroxymethyl)glutathione dehydrogenase [Providencia rettgeri] 
gi|490382216|ref|WP_004261729.1|	regulator [Providencia rettgeri] 
gi|490382219|ref|WP_004261732.1|	hypothetical protein [Providencia rettgeri] 
gi|490382222|ref|WP_004261735.1|	putative protein YqjC [Providencia rettgeri] 
gi|490382225|ref|WP_004261738.1|	linoleoyl-CoA desaturase [Providencia rettgeri] 
gi|490382228|ref|WP_004261741.1|	glycosyltransferase [Providencia rettgeri] 
gi|490382230|ref|WP_004261743.1|	MFS transporter [Providencia rettgeri] 
gi|490382233|ref|WP_004261746.1|	propionate catabolism operon regulatory protein PrpR [Providencia rettgeri] 
gi|490382237|ref|WP_004261750.1|	2-methylisocitrate lyase [Providencia rettgeri] 
gi|490382240|ref|WP_004261753.1|	methylcitrate synthase [Providencia rettgeri] 
gi|490382243|ref|WP_004261756.1|	2-methylcitrate dehydratase [Providencia rettgeri] 
gi|490382246|ref|WP_004261759.1|	aldose 1-epimerase [Providencia rettgeri] 
gi|490382249|ref|WP_004261762.1|	hypothetical protein [Providencia rettgeri] 
gi|490382252|ref|WP_004261765.1|	cobalt transporter [Providencia rettgeri] 
gi|490382254|ref|WP_004261767.1|	universal stress protein [Providencia rettgeri] 
gi|490382257|ref|WP_004261770.1|	ecotin [Providencia rettgeri] 
gi|490382261|ref|WP_004261774.1|	hypothetical protein [Providencia rettgeri] 
gi|490382267|ref|WP_004261780.1|	hypothetical protein [Providencia rettgeri] 
gi|490382271|ref|WP_004261784.1|	hypothetical protein [Providencia rettgeri] 
gi|490382275|ref|WP_004261788.1|	AraC family transcriptional regulator [Providencia rettgeri] 
gi|490382279|ref|WP_004261792.1|	surface antigen repeat family protein [Providencia rettgeri] 
