gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490458633|ref|WP_004329316.1|	MULTISPECIES: chemotaxis protein CheY [Alistipes] 
gi|490458634|ref|WP_004329317.1|	sensor histidine kinase [Alistipes putredinis] 
gi|490458635|ref|WP_004329318.1|	RNA helicase [Alistipes putredinis] 
gi|490458636|ref|WP_004329319.1|	hypothetical protein [Alistipes putredinis] 
gi|490458637|ref|WP_004329320.1|	MULTISPECIES: NADH dehydrogenase [Alistipes] 
gi|490458638|ref|WP_004329321.1|	NADH:ubiquinone oxidoreductase [Alistipes putredinis] 
gi|490458639|ref|WP_004329322.1|	NADH dehydrogenase [Alistipes putredinis] 
gi|490458640|ref|WP_004329323.1|	NADP oxidoreductase [Alistipes putredinis] 
gi|490458641|ref|WP_004329324.1|	hypothetical protein [Alistipes putredinis] 
gi|490458642|ref|WP_004329325.1|	hypothetical protein [Alistipes putredinis] 
gi|490458643|ref|WP_004329326.1|	hypothetical protein [Alistipes putredinis] 
gi|490458644|ref|WP_004329327.1|	hypothetical protein [Alistipes putredinis] 
gi|490458645|ref|WP_004329328.1|	membrane protein [Alistipes putredinis] 
gi|490458646|ref|WP_004329329.1|	hypothetical protein [Alistipes putredinis] 
gi|490458647|ref|WP_004329330.1|	hypothetical protein [Alistipes putredinis] 
gi|490458648|ref|WP_004329331.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458649|ref|WP_004329332.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458650|ref|WP_004329333.1|	ATPase AAA [Alistipes putredinis] 
gi|490458651|ref|WP_004329334.1|	RNA helicase [Alistipes putredinis] 
gi|490458652|ref|WP_004329335.1|	endonuclease III [Alistipes putredinis] 
gi|490458653|ref|WP_004329336.1|	hypothetical protein [Alistipes putredinis] 
gi|490458654|ref|WP_004329337.1|	exopolyphosphatase [Alistipes putredinis] 
gi|490458655|ref|WP_004329338.1|	transcriptional regulator [Alistipes putredinis] 
gi|490458656|ref|WP_004329339.1|	GNAT family acetyltransferase [Alistipes putredinis] 
gi|490458657|ref|WP_004329340.1|	membrane protein [Alistipes putredinis] 
gi|490458658|ref|WP_004329341.1|	peptidase [Alistipes putredinis] 
gi|490458659|ref|WP_004329342.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458660|ref|WP_004329343.1|	hypothetical protein [Alistipes putredinis] 
gi|490458661|ref|WP_004329344.1|	MULTISPECIES: peptidase S46 [Alistipes] 
gi|490458662|ref|WP_004329345.1|	MULTISPECIES: septum formation protein Maf [Alistipes] 
gi|490458663|ref|WP_004329346.1|	hypothetical protein [Alistipes putredinis] 
gi|490458664|ref|WP_004329347.1|	MULTISPECIES: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [Alistipes] 
gi|490458665|ref|WP_004329348.1|	hypothetical protein [Alistipes putredinis] 
gi|490458666|ref|WP_004329349.1|	hypothetical protein [Alistipes putredinis] 
gi|490458667|ref|WP_004329350.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458668|ref|WP_004329351.1|	MULTISPECIES: tRNA (guanine-N1)-methyltransferase [Alistipes] 
gi|490458669|ref|WP_004329352.1|	hypothetical protein [Alistipes putredinis] 
gi|490458670|ref|WP_004329353.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458671|ref|WP_004329354.1|	hypothetical protein [Alistipes putredinis] 
gi|490458672|ref|WP_004329355.1|	hypothetical protein [Alistipes putredinis] 
gi|490458673|ref|WP_004329356.1|	RNA methyltransferase [Alistipes putredinis] 
gi|490458674|ref|WP_004329357.1|	hypothetical protein [Alistipes putredinis] 
gi|490458675|ref|WP_004329358.1|	cytidine deaminase [Alistipes putredinis] 
gi|490458676|ref|WP_004329359.1|	hypothetical protein [Alistipes putredinis] 
gi|490458677|ref|WP_004329360.1|	MULTISPECIES: D-tyrosyl-tRNA(Tyr) deacylase [Alistipes] 
gi|490458678|ref|WP_004329361.1|	hypothetical protein [Alistipes putredinis] 
gi|490458679|ref|WP_004329362.1|	hypothetical protein [Alistipes putredinis] 
gi|490458680|ref|WP_004329363.1|	radical SAM protein [Alistipes putredinis] 
gi|490458681|ref|WP_004329364.1|	hypothetical protein [Alistipes putredinis] 
gi|490458683|ref|WP_004329365.1|	hypothetical protein [Alistipes putredinis] 
gi|490458684|ref|WP_004329366.1|	hypothetical protein [Alistipes putredinis] 
gi|490458685|ref|WP_004329367.1|	hypothetical protein [Alistipes putredinis] 
gi|490458686|ref|WP_004329368.1|	hypothetical protein [Alistipes putredinis] 
gi|490458687|ref|WP_004329369.1|	membrane protein [Alistipes putredinis] 
gi|490458688|ref|WP_004329370.1|	MULTISPECIES: replicative DNA helicase [Alistipes] 
gi|490458689|ref|WP_004329371.1|	magnesium chelatase [Alistipes putredinis] 
gi|490458690|ref|WP_004329372.1|	hypothetical protein [Alistipes putredinis] 
gi|490458691|ref|WP_004329373.1|	UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase [Alistipes putredinis] 
gi|490458692|ref|WP_004329374.1|	UDP-N-acetylmuramate--alanine ligase [Alistipes putredinis] 
gi|490458693|ref|WP_004329375.1|	hypothetical protein [Alistipes putredinis] 
gi|490458694|ref|WP_004329376.1|	cell division protein FtsA [Alistipes putredinis] 
gi|490458695|ref|WP_004329377.1|	cell division protein FtsZ [Alistipes putredinis] 
gi|490458696|ref|WP_004329378.1|	hypothetical protein [Alistipes putredinis] 
gi|490458697|ref|WP_004329379.1|	hypothetical protein [Alistipes putredinis] 
gi|490458698|ref|WP_004329380.1|	multidrug transporter MatE [Alistipes putredinis] 
gi|490458699|ref|WP_004329381.1|	aminopeptidase [Alistipes putredinis] 
gi|490458700|ref|WP_004329382.1|	DNA topoisomerase I [Alistipes putredinis] 
gi|490458701|ref|WP_004329383.1|	hypothetical protein [Alistipes putredinis] 
gi|490458702|ref|WP_004329384.1|	glycogen synthase [Alistipes putredinis] 
gi|490458703|ref|WP_004329385.1|	S-adenosylmethionine tRNA ribosyltransferase [Alistipes putredinis] 
gi|490458704|ref|WP_004329386.1|	tRNA pseudouridine synthase B [Alistipes putredinis] 
gi|490458705|ref|WP_004329387.1|	UDP-diphosphatase [Alistipes putredinis] 
gi|490458706|ref|WP_004329388.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458707|ref|WP_004329389.1|	cell division protein [Alistipes putredinis] 
gi|490458708|ref|WP_004329390.1|	membrane protein [Alistipes putredinis] 
gi|490458709|ref|WP_004329391.1|	hypothetical protein [Alistipes putredinis] 
gi|490458710|ref|WP_004329392.1|	hypothetical protein [Alistipes putredinis] 
gi|490458711|ref|WP_004329393.1|	hypothetical protein [Alistipes putredinis] 
gi|490458712|ref|WP_004329394.1|	hypothetical protein [Alistipes putredinis] 
gi|490458713|ref|WP_004329395.1|	MULTISPECIES: hemolysin III [Alistipes] 
gi|490458714|ref|WP_004329396.1|	acetyltransferase [Alistipes putredinis] 
gi|490458715|ref|WP_004329397.1|	alpha/beta hydrolase [Alistipes putredinis] 
gi|490458716|ref|WP_004329398.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458717|ref|WP_004329399.1|	diaminopimelate epimerase [Alistipes putredinis] 
gi|490458719|ref|WP_004329401.1|	MULTISPECIES: oxidoreductase [Alistipes] 
gi|490458721|ref|WP_004329403.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458723|ref|WP_004329404.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458724|ref|WP_004329405.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458725|ref|WP_004329406.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458726|ref|WP_004329407.1|	UDP pyrophosphate synthase [Alistipes putredinis] 
gi|490458727|ref|WP_004329408.1|	hypothetical protein [Alistipes putredinis] 
gi|490458728|ref|WP_004329409.1|	pyridoxamine 5'-phosphate oxidase [Alistipes putredinis] 
gi|490458729|ref|WP_004329410.1|	tRNA nucleotidyltransferase [Alistipes putredinis] 
gi|490458730|ref|WP_004329411.1|	membrane protein [Alistipes putredinis] 
gi|490458731|ref|WP_004329412.1|	hypothetical protein [Alistipes putredinis] 
gi|490458732|ref|WP_004329413.1|	multidrug transporter [Alistipes putredinis] 
gi|490458733|ref|WP_004329414.1|	translation factor Sua5 [Alistipes putredinis] 
gi|490458734|ref|WP_004329415.1|	lactoylglutathione lyase [Alistipes putredinis] 
gi|490458735|ref|WP_004329416.1|	hypothetical protein [Alistipes putredinis] 
gi|490458736|ref|WP_004329417.1|	MULTISPECIES: transcriptional regulator [Alistipes] 
gi|490458737|ref|WP_004329418.1|	glycosyltransferase [Alistipes putredinis] 
gi|490458738|ref|WP_004329419.1|	hypothetical protein [Alistipes putredinis] 
gi|490458739|ref|WP_004329420.1|	acyltransferase [Alistipes putredinis] 
gi|490458740|ref|WP_004329421.1|	hypothetical protein [Alistipes putredinis] 
gi|490458741|ref|WP_004329422.1|	translation initiation factor IF-3 [Alistipes putredinis] 
gi|490458742|ref|WP_004329423.1|	MULTISPECIES: threonyl-tRNA synthetase [Alistipes] 
gi|490458743|ref|WP_004329424.1|	hypothetical protein [Alistipes putredinis] 
gi|490458745|ref|WP_004329425.1|	4-hydroxythreonine-4-phosphate dehydrogenase [Alistipes putredinis] 
gi|490458746|ref|WP_004329426.1|	hypothetical protein [Alistipes putredinis] 
gi|490458747|ref|WP_004329427.1|	transglutaminase [Alistipes putredinis] 
gi|490458748|ref|WP_004329428.1|	rRNA methyltransferase [Alistipes putredinis] 
gi|490458749|ref|WP_004329429.1|	MULTISPECIES: ribonuclease Z [Alistipes] 
gi|490458750|ref|WP_004329430.1|	hypothetical protein [Alistipes putredinis] 
gi|490458751|ref|WP_004329431.1|	hypothetical protein [Alistipes putredinis] 
gi|490458752|ref|WP_004329432.1|	thioredoxin reductase [Alistipes putredinis] 
gi|490458753|ref|WP_004329433.1|	hypothetical protein [Alistipes putredinis] 
gi|490458754|ref|WP_004329434.1|	hypothetical protein [Alistipes putredinis] 
gi|490458755|ref|WP_004329435.1|	hypothetical protein [Alistipes putredinis] 
gi|490458756|ref|WP_004329436.1|	hypothetical protein [Alistipes putredinis] 
gi|490458757|ref|WP_004329437.1|	hypothetical protein [Alistipes putredinis] 
gi|490458758|ref|WP_004329438.1|	MULTISPECIES: peptidylprolyl isomerase [Alistipes] 
gi|490458759|ref|WP_004329439.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458760|ref|WP_004329440.1|	glycine dehydrogenase [Alistipes putredinis] 
gi|490458761|ref|WP_004329441.1|	ATPase AAA [Alistipes putredinis] 
gi|490458762|ref|WP_004329442.1|	hypothetical protein [Alistipes putredinis] 
gi|490458763|ref|WP_004329443.1|	multidrug transporter [Alistipes putredinis] 
gi|490458764|ref|WP_004329444.1|	30S ribosomal protein S1 [Alistipes putredinis] 
gi|490458765|ref|WP_004329445.1|	3,4-dihydroxy-2-butanone 4-phosphate synthase [Alistipes putredinis] 
gi|490458766|ref|WP_004329446.1|	hypothetical protein [Alistipes putredinis] 
gi|490458767|ref|WP_004329447.1|	methylase [Alistipes putredinis] 
gi|490458768|ref|WP_004329448.1|	MULTISPECIES: exodeoxyribonuclease VII [Alistipes] 
gi|490458769|ref|WP_004329449.1|	exodeoxyribonuclease VII [Alistipes putredinis] 
gi|490458770|ref|WP_004329450.1|	hypothetical protein [Alistipes putredinis] 
gi|490458771|ref|WP_004329451.1|	1,4-dihydroxy-2-naphthoate prenyltransferase [Alistipes putredinis] 
gi|490458772|ref|WP_004329452.1|	TonB-dependent receptor [Alistipes putredinis] 
gi|490458773|ref|WP_004329453.1|	methylated-DNA--protein-cysteine methyltransferase [Alistipes putredinis] 
gi|490458774|ref|WP_004329454.1|	peptide chain release factor 1 [Alistipes putredinis] 
gi|490458775|ref|WP_004329455.1|	flavodoxin [Alistipes putredinis] 
gi|490458776|ref|WP_004329456.1|	hypothetical protein [Alistipes putredinis] 
gi|490458777|ref|WP_004329457.1|	leucyl-tRNA synthetase [Alistipes putredinis] 
gi|490458778|ref|WP_004329458.1|	hypothetical protein [Alistipes putredinis] 
gi|490458779|ref|WP_004329459.1|	hypothetical protein [Alistipes putredinis] 
gi|490458780|ref|WP_004329460.1|	MULTISPECIES: 30S ribosomal protein S12 [Alistipes] 
gi|490458781|ref|WP_004329461.1|	MULTISPECIES: 30S ribosomal protein S7 [Alistipes] 
gi|490458782|ref|WP_004329462.1|	elongation factor G [Alistipes putredinis] 
gi|490458784|ref|WP_004329464.1|	MULTISPECIES: 30S ribosomal protein S10 [Alistipes] 
gi|490458786|ref|WP_004329466.1|	MULTISPECIES: 50S ribosomal protein L3 [Alistipes] 
gi|490458788|ref|WP_004329467.1|	MULTISPECIES: 50S ribosomal protein L4 [Alistipes] 
gi|490458789|ref|WP_004329468.1|	50S ribosomal protein L23 [Alistipes putredinis] 
gi|490458790|ref|WP_004329469.1|	MULTISPECIES: 50S ribosomal protein L2 [Alistipes] 
gi|490458791|ref|WP_004329470.1|	MULTISPECIES: 30S ribosomal protein S19 [Alistipes] 
gi|490458792|ref|WP_004329471.1|	50S ribosomal protein L22 [Alistipes putredinis] 
gi|490458793|ref|WP_004329472.1|	30S ribosomal protein S3 [Alistipes putredinis] 
gi|490458794|ref|WP_004329473.1|	MULTISPECIES: 50S ribosomal protein L16 [Alistipes] 
gi|490458795|ref|WP_004329474.1|	MULTISPECIES: 50S ribosomal protein L29 [Alistipes] 
gi|490458796|ref|WP_004329475.1|	30S ribosomal protein S17 [Alistipes putredinis] 
gi|490458797|ref|WP_004329476.1|	MULTISPECIES: 50S ribosomal protein L14 [Alistipes] 
gi|490458798|ref|WP_004329477.1|	MULTISPECIES: 50S ribosomal protein L24 [Alistipes] 
gi|490458799|ref|WP_004329478.1|	MULTISPECIES: 50S ribosomal protein L5 [Alistipes] 
gi|490458800|ref|WP_004329479.1|	30S ribosomal protein S14 [Alistipes putredinis] 
gi|490458801|ref|WP_004329480.1|	hypothetical protein [Alistipes putredinis] 
gi|490458802|ref|WP_004329481.1|	MULTISPECIES: 30S ribosomal protein S8 [Alistipes] 
gi|490458803|ref|WP_004329482.1|	MULTISPECIES: 50S ribosomal protein L6 [Alistipes] 
gi|490458804|ref|WP_004329483.1|	MULTISPECIES: 50S ribosomal protein L18 [Alistipes] 
gi|490458805|ref|WP_004329484.1|	MULTISPECIES: 30S ribosomal protein S5 [Alistipes] 
gi|490458806|ref|WP_004329485.1|	MULTISPECIES: 50S ribosomal protein L30 [Alistipes] 
gi|490458808|ref|WP_004329486.1|	MULTISPECIES: 50S ribosomal protein L15 [Alistipes] 
gi|490458809|ref|WP_004329487.1|	preprotein translocase subunit SecY [Alistipes putredinis] 
gi|490458810|ref|WP_004329488.1|	MULTISPECIES: methionine aminopeptidase [Alistipes] 
gi|490458811|ref|WP_004329489.1|	MULTISPECIES: translation initiation factor IF-1 [Bacteroidales] 
gi|490458812|ref|WP_004329490.1|	MULTISPECIES: 30S ribosomal protein S13 [Alistipes] 
gi|490458813|ref|WP_004329491.1|	MULTISPECIES: 30S ribosomal protein S11 [Alistipes] 
gi|490458814|ref|WP_004329492.1|	MULTISPECIES: 30S ribosomal protein S4 [Alistipes] 
gi|490458815|ref|WP_004329493.1|	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Alistipes] 
gi|490458816|ref|WP_004329494.1|	MULTISPECIES: 50S ribosomal protein L17 [Alistipes] 
gi|490458817|ref|WP_004329495.1|	tryptophan synthase subunit beta [Alistipes putredinis] 
gi|490458818|ref|WP_004329496.1|	hypothetical protein [Alistipes putredinis] 
gi|490458819|ref|WP_004329497.1|	hypothetical protein [Alistipes putredinis] 
gi|490458820|ref|WP_004329498.1|	MULTISPECIES: lysyl-tRNA synthetase [Alistipes] 
gi|490458821|ref|WP_004329499.1|	hypothetical protein [Alistipes putredinis] 
gi|490458822|ref|WP_004329500.1|	hypothetical protein [Alistipes putredinis] 
gi|490458823|ref|WP_004329501.1|	arabinose transporter [Alistipes putredinis] 
gi|490458824|ref|WP_004329502.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458825|ref|WP_004329503.1|	MULTISPECIES: alginate O-acetyltransferase [Alistipes] 
gi|490458826|ref|WP_004329504.1|	hypothetical protein [Alistipes putredinis] 
gi|490458827|ref|WP_004329505.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458828|ref|WP_004329506.1|	short-chain dehydrogenase [Alistipes putredinis] 
gi|490458829|ref|WP_004329507.1|	ABC transporter permease [Alistipes putredinis] 
gi|490458830|ref|WP_004329508.1|	ubiquinone/menaquinone biosynthesis methyltransferase [Alistipes putredinis] 
gi|490458831|ref|WP_004329509.1|	hypothetical protein [Alistipes putredinis] 
gi|490458832|ref|WP_004329510.1|	hypothetical protein [Alistipes putredinis] 
gi|490458833|ref|WP_004329511.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458834|ref|WP_004329512.1|	multidrug transporter MatE [Alistipes putredinis] 
gi|490458835|ref|WP_004329513.1|	hypothetical protein [Alistipes putredinis] 
gi|490458836|ref|WP_004329514.1|	hypothetical protein [Alistipes putredinis] 
gi|490458837|ref|WP_004329515.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458838|ref|WP_004329516.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458839|ref|WP_004329517.1|	integrase [Alistipes putredinis] 
gi|490458841|ref|WP_004329519.1|	hypothetical protein [Alistipes putredinis] 
gi|490458843|ref|WP_004329521.1|	hypothetical protein [Alistipes putredinis] 
gi|490458845|ref|WP_004329523.1|	hypothetical protein [Alistipes putredinis] 
gi|490458847|ref|WP_004329525.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490458849|ref|WP_004329526.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456916|ref|WP_004327672.1|	hypothetical protein [Alistipes putredinis] 
gi|490456917|ref|WP_004327673.1|	hypothetical protein [Alistipes putredinis] 
gi|490458850|ref|WP_004329527.1|	hypothetical protein [Alistipes putredinis] 
gi|490458851|ref|WP_004329528.1|	hypothetical protein [Alistipes putredinis] 
gi|490458852|ref|WP_004329529.1|	hypothetical protein [Alistipes putredinis] 
gi|490458853|ref|WP_004329530.1|	hypothetical protein [Alistipes putredinis] 
gi|490458854|ref|WP_004329531.1|	hypothetical protein [Alistipes putredinis] 
gi|490458855|ref|WP_004329532.1|	hypothetical protein [Alistipes putredinis] 
gi|490458856|ref|WP_004329533.1|	hypothetical protein [Alistipes putredinis] 
gi|490458857|ref|WP_004329534.1|	hypothetical protein [Alistipes putredinis] 
gi|490458858|ref|WP_004329535.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458859|ref|WP_004329536.1|	hypothetical protein [Alistipes putredinis] 
gi|490458860|ref|WP_004329537.1|	hypothetical protein [Alistipes putredinis] 
gi|490458861|ref|WP_004329538.1|	hypothetical protein [Alistipes putredinis] 
gi|490458862|ref|WP_004329539.1|	hypothetical protein [Alistipes putredinis] 
gi|490458864|ref|WP_004329541.1|	hypothetical protein [Alistipes putredinis] 
gi|490458866|ref|WP_004329543.1|	hypothetical protein [Alistipes putredinis] 
gi|490458868|ref|WP_004329544.1|	hypothetical protein [Alistipes putredinis] 
gi|490458869|ref|WP_004329545.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490458870|ref|WP_004329546.1|	MULTISPECIES: 3-deoxy-D-manno-octulosonic-acid transferase [Alistipes] 
gi|490458872|ref|WP_004329547.1|	hypothetical protein [Alistipes putredinis] 
gi|490458873|ref|WP_004329548.1|	hypothetical protein [Alistipes putredinis] 
gi|490458874|ref|WP_004329549.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458875|ref|WP_004329550.1|	MULTISPECIES: (alpha)-aspartyl dipeptidase [Alistipes] 
gi|490458876|ref|WP_004329551.1|	MULTISPECIES: acyl carrier protein [Alistipes] 
gi|490458877|ref|WP_004329552.1|	MULTISPECIES: 3-oxoacyl-ACP synthase [Alistipes] 
gi|490458878|ref|WP_004329553.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490458879|ref|WP_004329554.1|	MULTISPECIES: hypothetical protein [Alistipes] 
