gi|495106006|ref|WP_007830829.1|	hypothetical protein [Bacteroides dorei] 
gi|495110306|ref|WP_007835127.1|	4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Bacteroides dorei] 
gi|495110307|ref|WP_007835128.1|	hypothetical protein [Bacteroides dorei] 
gi|495110308|ref|WP_007835129.1|	ATP-dependent helicase [Bacteroides dorei] 
gi|495110310|ref|WP_007835131.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|495110312|ref|WP_007835133.1|	ATPase AAA [Bacteroides dorei] 
gi|495110315|ref|WP_007835136.1|	glutathione peroxidase [Bacteroides dorei] 
gi|495110317|ref|WP_007835138.1|	hypothetical protein [Bacteroides dorei] 
gi|495110319|ref|WP_007835140.1|	transcriptional regulator [Bacteroides dorei] 
gi|495110320|ref|WP_007835141.1|	hypothetical protein [Bacteroides dorei] 
gi|495110321|ref|WP_007835142.1|	hypothetical protein [Bacteroides dorei] 
gi|495110322|ref|WP_007835143.1|	hypothetical protein [Bacteroides dorei] 
gi|495110325|ref|WP_007835146.1|	hypothetical protein [Bacteroides dorei] 
gi|495110327|ref|WP_007835148.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495110329|ref|WP_007835150.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110330|ref|WP_007835151.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495110333|ref|WP_007835154.1|	MULTISPECIES: acetyl transferase [Bacteroides] 
gi|495110334|ref|WP_007835155.1|	glycosyl transferase [Bacteroides dorei] 
gi|495110335|ref|WP_007835156.1|	glycosyl transferase [Bacteroides dorei] 
gi|495110338|ref|WP_007835159.1|	glycosyl transferase [Bacteroides dorei] 
gi|495110339|ref|WP_007835160.1|	glycosyl transferase [Bacteroides dorei] 
gi|495110340|ref|WP_007835161.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110343|ref|WP_007835164.1|	hypothetical protein [Bacteroides dorei] 
gi|495110344|ref|WP_007835165.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110345|ref|WP_007835166.1|	peptidase M3 [Bacteroides dorei] 
gi|495110346|ref|WP_007835167.1|	MULTISPECIES: ABC transporter substrate-binding protein [Bacteroides] 
gi|495110348|ref|WP_007835169.1|	MULTISPECIES: phosphonate ABC transporter ATP-binding protein [Bacteroides] 
gi|495110350|ref|WP_007835171.1|	MULTISPECIES: multidrug ABC transporter substrate-binding protein [Bacteroides] 
gi|495110352|ref|WP_007835173.1|	hypothetical protein [Bacteroides dorei] 
gi|495110353|ref|WP_007835174.1|	glutamine amidotransferase [Bacteroides dorei] 
gi|495110354|ref|WP_007835175.1|	XRE family transcriptional regulator [Bacteroides dorei] 
gi|495110356|ref|WP_007835177.1|	hypothetical protein [Bacteroides dorei] 
gi|492341699|ref|WP_005815676.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110359|ref|WP_007835180.1|	DNA primase [Bacteroides dorei] 
gi|492341693|ref|WP_005815670.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|495110361|ref|WP_007835182.1|	hypothetical protein [Bacteroides dorei] 
gi|495110362|ref|WP_007835183.1|	hypothetical protein [Bacteroides dorei] 
gi|495110363|ref|WP_007835184.1|	hypothetical protein [Bacteroides dorei] 
gi|495110364|ref|WP_007835185.1|	hypothetical protein [Bacteroides dorei] 
gi|495110365|ref|WP_007835186.1|	hypothetical protein [Bacteroides dorei] 
gi|495110366|ref|WP_007835187.1|	ribonucleotide-diphosphate reductase subunit alpha [Bacteroides dorei] 
gi|495110367|ref|WP_007835188.1|	hypothetical protein [Bacteroides dorei] 
gi|495110368|ref|WP_007835189.1|	DNA-binding protein [Bacteroides dorei] 
gi|495110369|ref|WP_007835190.1|	hypothetical protein [Bacteroides dorei] 
gi|495110370|ref|WP_007835191.1|	hypothetical protein [Bacteroides dorei] 
gi|495110371|ref|WP_007835192.1|	hypothetical protein [Bacteroides dorei] 
gi|495110372|ref|WP_007835193.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|495110373|ref|WP_007835194.1|	DNA-cytosine methyltransferase [Bacteroides dorei] 
gi|495110374|ref|WP_007835195.1|	ATPase [Bacteroides dorei] 
gi|495110376|ref|WP_007835197.1|	hypothetical protein [Bacteroides dorei] 
gi|495110378|ref|WP_007835199.1|	hypothetical protein [Bacteroides dorei] 
gi|495110381|ref|WP_007835202.1|	hypothetical protein [Bacteroides dorei] 
gi|495110383|ref|WP_007835204.1|	hypothetical protein [Bacteroides dorei] 
gi|495110384|ref|WP_007835205.1|	hypothetical protein [Bacteroides dorei] 
gi|495110386|ref|WP_007835207.1|	hypothetical protein [Bacteroides dorei] 
gi|495110388|ref|WP_007835209.1|	hypothetical protein [Bacteroides dorei] 
gi|495110395|ref|WP_007835216.1|	DNA topoisomerase I [Bacteroides dorei] 
gi|495110398|ref|WP_007835219.1|	hypothetical protein [Bacteroides dorei] 
gi|495110399|ref|WP_007835220.1|	hypothetical protein [Bacteroides dorei] 
gi|495110401|ref|WP_007835222.1|	DNA primase [Bacteroides dorei] 
gi|495110403|ref|WP_007835224.1|	hypothetical protein [Bacteroides dorei] 
gi|495110405|ref|WP_007835226.1|	DNA mismatch repair protein MutS [Bacteroides dorei] 
gi|495110407|ref|WP_007835228.1|	hypothetical protein [Bacteroides dorei] 
gi|495110409|ref|WP_007835230.1|	hypothetical protein [Bacteroides dorei] 
gi|495110411|ref|WP_007835232.1|	hypothetical protein [Bacteroides dorei] 
gi|495110412|ref|WP_007835233.1|	hypothetical protein [Bacteroides dorei] 
gi|495110414|ref|WP_007835235.1|	conjugal transfer protein TraX [Bacteroides dorei] 
gi|495110416|ref|WP_007835237.1|	mobilization protein [Bacteroides dorei] 
gi|495110418|ref|WP_007835239.1|	hypothetical protein [Bacteroides dorei] 
gi|495110427|ref|WP_007835248.1|	conjugal transfer protein TraN [Bacteroides dorei] 
gi|495110429|ref|WP_007835250.1|	conjugal transfer protein TraM [Bacteroides dorei] 
gi|495110439|ref|WP_007835260.1|	hypothetical protein [Bacteroides dorei] 
gi|491880262|ref|WP_005649285.1|	MULTISPECIES: conjugal transfer protein TraK [Bacteroidales] 
gi|495110441|ref|WP_007835262.1|	membrane protein [Bacteroides dorei] 
gi|495110443|ref|WP_007835264.1|	hypothetical protein [Bacteroides dorei] 
gi|495110445|ref|WP_007835266.1|	hypothetical protein [Bacteroides dorei] 
gi|495110446|ref|WP_007835267.1|	hypothetical protein [Bacteroides dorei] 
gi|495110447|ref|WP_007835268.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495110449|ref|WP_007835270.1|	hypothetical protein partial [Bacteroides dorei] 
gi|491880272|ref|WP_005649295.1|	MULTISPECIES: plasmid transfer protein [Bacteroidales] 
gi|495110451|ref|WP_007835272.1|	transposase [Bacteroides dorei] 
gi|495110453|ref|WP_007835274.1|	hypothetical protein [Bacteroides dorei] 
gi|495110455|ref|WP_007835276.1|	hypothetical protein [Bacteroides dorei] 
gi|495110457|ref|WP_007835278.1|	hypothetical protein [Bacteroides dorei] 
gi|495110459|ref|WP_007835280.1|	chromosome partitioning protein ParA [Bacteroides dorei] 
gi|495110460|ref|WP_007835281.1|	hypothetical protein [Bacteroides dorei] 
gi|495110462|ref|WP_007835283.1|	hypothetical protein [Bacteroides dorei] 
gi|495110464|ref|WP_007835285.1|	hypothetical protein [Bacteroides dorei] 
gi|495110465|ref|WP_007835286.1|	hypothetical protein [Bacteroides dorei] 
gi|495110466|ref|WP_007835287.1|	ATPase [Bacteroides dorei] 
gi|495110467|ref|WP_007835288.1|	hypothetical protein [Bacteroides dorei] 
gi|495110468|ref|WP_007835289.1|	mobilization protein [Bacteroides dorei] 
gi|495110469|ref|WP_007835290.1|	hypothetical protein [Bacteroides dorei] 
gi|495110470|ref|WP_007835291.1|	hypothetical protein [Bacteroides dorei] 
gi|495110472|ref|WP_007835293.1|	hypothetical protein [Bacteroides dorei] 
gi|495110473|ref|WP_007835294.1|	transposase [Bacteroides dorei] 
gi|495110474|ref|WP_007835295.1|	pyruvate phosphate dikinase [Bacteroides dorei] 
gi|495110475|ref|WP_007835296.1|	RNA methyltransferase [Bacteroides dorei] 
gi|495110476|ref|WP_007835297.1|	MULTISPECIES: RNA pseudouridylate synthase [Bacteroides] 
gi|495110477|ref|WP_007835298.1|	peptidase S9 [Bacteroides dorei] 
gi|495110478|ref|WP_007835299.1|	insertase [Bacteroides dorei] 
gi|495110480|ref|WP_007835301.1|	MULTISPECIES: CTP synthetase [Bacteroides] 
gi|495110482|ref|WP_007835303.1|	hypothetical protein [Bacteroides dorei] 
gi|495110484|ref|WP_007835305.1|	MULTISPECIES: UDP-N-acetylglucosamine 2-epimerase [Bacteroides] 
gi|492430642|ref|WP_005841975.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495110489|ref|WP_007835310.1|	RNA polymerase sigma factor [Bacteroides dorei] 
gi|495110491|ref|WP_007835312.1|	MULTISPECIES: oxaloacetate decarboxylase [Bacteroides] 
gi|495110493|ref|WP_007835314.1|	MULTISPECIES: xylanase [Bacteroides] 
gi|495110494|ref|WP_007835315.1|	MULTISPECIES: peptidoglycan transglycosylase [Bacteroides] 
gi|492430661|ref|WP_005841987.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495110495|ref|WP_007835316.1|	MULTISPECIES: multidrug transporter MatE [Bacteroides] 
gi|495110496|ref|WP_007835317.1|	MULTISPECIES: serine hydroxymethyltransferase [Bacteroides] 
gi|495110497|ref|WP_007835318.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110498|ref|WP_007835319.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110499|ref|WP_007835320.1|	MULTISPECIES: flavin reductase [Bacteroides] 
gi|495110502|ref|WP_007835323.1|	MULTISPECIES: aspartate carbamoyltransferase [Bacteroides] 
gi|495110504|ref|WP_007835325.1|	aspartate carbamoyltransferase catalytic subunit [Bacteroides dorei] 
gi|495110506|ref|WP_007835327.1|	penicillin-binding protein 1A [Bacteroides dorei] 
gi|495110508|ref|WP_007835329.1|	hypothetical protein [Bacteroides dorei] 
gi|495110510|ref|WP_007835331.1|	hypothetical protein [Bacteroides dorei] 
gi|495110512|ref|WP_007835333.1|	histidine kinase [Bacteroides dorei] 
gi|495110513|ref|WP_007835334.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|495110516|ref|WP_007835337.1|	hypothetical protein [Bacteroides dorei] 
gi|495110518|ref|WP_007835339.1|	hypothetical protein [Bacteroides dorei] 
gi|495110521|ref|WP_007835342.1|	ABC transporter permease [Bacteroides dorei] 
gi|495110523|ref|WP_007835344.1|	MULTISPECIES: multidrug ABC transporter permease [Bacteroides] 
gi|495110525|ref|WP_007835346.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|495110527|ref|WP_007835348.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495110529|ref|WP_007835350.1|	transporter [Bacteroides dorei] 
gi|495110531|ref|WP_007835352.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110533|ref|WP_007835354.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110536|ref|WP_007835357.1|	hypothetical protein [Bacteroides dorei] 
gi|495110539|ref|WP_007835360.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Bacteroides dorei] 
gi|495110540|ref|WP_007835361.1|	3-deoxy-manno-octulosonate cytidylyltransferase [Bacteroides dorei] 
gi|495110543|ref|WP_007835363.1|	MULTISPECIES: peptidase M16 [Bacteroides] 
gi|495110544|ref|WP_007835364.1|	MULTISPECIES: phosphatidylinositol-4-phosphate 5-kinase [Bacteroides] 
gi|495110545|ref|WP_007835365.1|	inositol monophosphatase [Bacteroides dorei] 
gi|495110546|ref|WP_007835366.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110547|ref|WP_007835367.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110548|ref|WP_007835368.1|	MULTISPECIES: 1,4-alpha-glucan branching protein [Bacteroides] 
gi|495110549|ref|WP_007835369.1|	hypothetical protein [Bacteroides dorei] 
gi|495110550|ref|WP_007835370.1|	MULTISPECIES: prolyl-tRNA synthetase [Bacteroides] 
gi|495110551|ref|WP_007835371.1|	ABC transporter ATP-binding protein [Bacteroides dorei] 
gi|495110552|ref|WP_007835372.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|492430740|ref|WP_005842035.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110553|ref|WP_007835373.1|	hypothetical protein [Bacteroides dorei] 
gi|492430733|ref|WP_005842031.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492430729|ref|WP_005842029.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110554|ref|WP_007835374.1|	MULTISPECIES: AMP nucleosidase [Bacteroides] 
gi|495110555|ref|WP_007835375.1|	MULTISPECIES: DNA polymerase III subunit delta [Bacteroides] 
gi|495110556|ref|WP_007835376.1|	hypothetical protein [Bacteroides dorei] 
gi|495110557|ref|WP_007835377.1|	MULTISPECIES: XRE family transcriptional regulator [Bacteroides] 
gi|495110558|ref|WP_007835378.1|	MULTISPECIES: diguanylate cyclase [Bacteroides] 
gi|495110559|ref|WP_007835379.1|	MULTISPECIES: diguanylate cyclase [Bacteroides] 
gi|495110560|ref|WP_007835380.1|	MULTISPECIES: tRNA (guanine-N1)-methyltransferase [Bacteroides] 
gi|495110561|ref|WP_007835381.1|	DNA ligase [Bacteroides dorei] 
gi|495110564|ref|WP_007835384.1|	MULTISPECIES: dihydrodipicolinate synthase [Bacteroides] 
gi|495110570|ref|WP_007835390.1|	patatin [Bacteroides dorei] 
gi|495110571|ref|WP_007835391.1|	MULTISPECIES: heat shock protein Hsp90 [Bacteroides] 
gi|495110572|ref|WP_007835392.1|	ATP-dependent Clp protease ClpC [Bacteroides dorei] 
gi|495110573|ref|WP_007835393.1|	DNA gyrase subunit A [Bacteroides dorei] 
gi|495110574|ref|WP_007835394.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110576|ref|WP_007835396.1|	MULTISPECIES: universal stress protein [Bacteroides] 
gi|495110578|ref|WP_007835398.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110580|ref|WP_007835400.1|	phospholipid phosphatase [Bacteroides dorei] 
gi|492427644|ref|WP_005841327.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110582|ref|WP_007835402.1|	hypothetical protein [Bacteroides dorei] 
gi|495110584|ref|WP_007835404.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110586|ref|WP_007835406.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495110588|ref|WP_007835408.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110591|ref|WP_007835411.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110593|ref|WP_007835413.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110600|ref|WP_007835420.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492427620|ref|WP_005841303.1|	MULTISPECIES: ATPase AAA [Bacteroidales] 
gi|495110602|ref|WP_007835422.1|	integration host factor [Bacteroides dorei] 
gi|495110605|ref|WP_007835425.1|	DNA-binding protein [Bacteroides dorei] 
gi|495110606|ref|WP_007835426.1|	ribosomal protein S12 methylthiotransferase [Bacteroides dorei] 
gi|495110609|ref|WP_007835429.1|	MULTISPECIES: cell division protein FtsY [Bacteroides] 
gi|492427610|ref|WP_005841293.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492427608|ref|WP_005841291.1|	MULTISPECIES: 50S ribosomal protein L33 [Bacteroidales] 
gi|492427601|ref|WP_005841284.1|	MULTISPECIES: 50S ribosomal protein L28 [Bacteroidales] 
gi|495110611|ref|WP_007835431.1|	MULTISPECIES: competence protein [Bacteroides] 
gi|495110612|ref|WP_007835432.1|	O-sialoglycoprotein endopeptidase [Bacteroides dorei] 
gi|495110613|ref|WP_007835433.1|	MULTISPECIES: methionine aminopeptidase [Bacteroides] 
gi|492427581|ref|WP_005841264.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492427578|ref|WP_005841261.1|	MULTISPECIES: maltose O-acetyltransferase [Bacteroides] 
gi|495110614|ref|WP_007835434.1|	membrane protein [Bacteroides dorei] 
gi|495110616|ref|WP_007835436.1|	MULTISPECIES: glycine/betaine ABC transporter [Bacteroides] 
gi|495110622|ref|WP_007835442.1|	MULTISPECIES: glycine/betaine ABC transporter permease [Bacteroides] 
gi|495110624|ref|WP_007835444.1|	ABC transporter ATP-binding protein [Bacteroides dorei] 
gi|495110625|ref|WP_007835445.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|495110628|ref|WP_007835448.1|	RNase III inhibitor [Bacteroides dorei] 
gi|495110629|ref|WP_007835449.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110635|ref|WP_007835455.1|	MULTISPECIES: potassium-transporting ATPase subunit A [Bacteroides] 
gi|495110637|ref|WP_007835457.1|	MULTISPECIES: potassium-transporting ATPase subunit B [Bacteroides] 
gi|495110639|ref|WP_007835459.1|	MULTISPECIES: potassium transporter KtrB [Bacteroides] 
gi|495110641|ref|WP_007835461.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110643|ref|WP_007835463.1|	MULTISPECIES: HAD hydrolase [Bacteroides] 
gi|495110644|ref|WP_007835464.1|	MULTISPECIES: chloramphenicol acetyltransferase [Bacteroides] 
gi|495110645|ref|WP_007835465.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110646|ref|WP_007835466.1|	MULTISPECIES: transcriptional antiterminator [Bacteroides] 
gi|495110648|ref|WP_007835468.1|	MULTISPECIES: glycoside hydrolase [Bacteroides] 
gi|495110650|ref|WP_007835470.1|	hypothetical protein [Bacteroides dorei] 
gi|495110651|ref|WP_007835471.1|	beta-N-acetylhexosaminidase [Bacteroides dorei] 
gi|495110652|ref|WP_007835472.1|	MULTISPECIES: RNA-binding protein [Bacteroides] 
gi|495110653|ref|WP_007835473.1|	MULTISPECIES: ferredoxin [Bacteroides] 
gi|495110654|ref|WP_007835474.1|	MULTISPECIES: HAD family hydrolase [Bacteroides] 
gi|495110655|ref|WP_007835475.1|	MULTISPECIES: DNA recombination protein RmuC [Bacteroides] 
gi|495110656|ref|WP_007835476.1|	MULTISPECIES: methyltransferase [Bacteroides] 
gi|495110657|ref|WP_007835477.1|	MULTISPECIES: histidine kinase [Bacteroides] 
gi|495110658|ref|WP_007835478.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110659|ref|WP_007835479.1|	hypothetical protein [Bacteroides dorei] 
gi|495110660|ref|WP_007835480.1|	MULTISPECIES: NUDIX hydrolase [Bacteroides] 
gi|495110661|ref|WP_007835481.1|	MULTISPECIES: arginase [Bacteroides] 
gi|495110662|ref|WP_007835482.1|	transcriptional regulator [Bacteroides dorei] 
gi|495110663|ref|WP_007835483.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495110664|ref|WP_007835484.1|	MULTISPECIES: methyltransferase type 11 [Bacteroides] 
gi|495110665|ref|WP_007835485.1|	MULTISPECIES: GNAT family acetyltransferase [Bacteroides] 
gi|495110666|ref|WP_007835486.1|	beta-lactamase [Bacteroides dorei] 
gi|495110667|ref|WP_007835487.1|	hypothetical protein [Bacteroides dorei] 
gi|495110668|ref|WP_007835488.1|	membrane protein [Bacteroides dorei] 
gi|495110669|ref|WP_007835489.1|	hypothetical protein [Bacteroides dorei] 
gi|495110670|ref|WP_007835490.1|	MULTISPECIES: 3-phosphoglycerate dehydrogenase [Bacteroides] 
gi|495110671|ref|WP_007835491.1|	MFS transporter [Bacteroides dorei] 
gi|495110672|ref|WP_007835492.1|	helicase [Bacteroides dorei] 
gi|495110673|ref|WP_007835493.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit F [Bacteroides] 
gi|495110674|ref|WP_007835494.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit E [Bacteroides] 
gi|492436277|ref|WP_005843523.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit D [Bacteroides] 
gi|495110675|ref|WP_007835495.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit C [Bacteroides] 
gi|492436271|ref|WP_005843519.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit B [Bacteroides] 
gi|495110676|ref|WP_007835496.1|	Na(+)-translocating NADH-quinone reductase subunit A [Bacteroides dorei] 
gi|495110677|ref|WP_007835497.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495110678|ref|WP_007835498.1|	hypothetical protein [Bacteroides dorei] 
gi|495110679|ref|WP_007835499.1|	hypothetical protein [Bacteroides dorei] 
gi|495110680|ref|WP_007835500.1|	hypothetical protein [Bacteroides dorei] 
gi|495110681|ref|WP_007835501.1|	hypothetical protein [Bacteroides dorei] 
gi|495110682|ref|WP_007835502.1|	hypothetical protein [Bacteroides dorei] 
gi|495110683|ref|WP_007835503.1|	hypothetical protein [Bacteroides dorei] 
gi|495110684|ref|WP_007835504.1|	isomerase [Bacteroides dorei] 
gi|495110685|ref|WP_007835505.1|	epimerase [Bacteroides dorei] 
gi|495110688|ref|WP_007835508.1|	serine acetyltransferase [Bacteroides dorei] 
gi|495110690|ref|WP_007835510.1|	hypothetical protein [Bacteroides dorei] 
