gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988618|ref|WP_007714638.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988621|ref|WP_007714641.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988623|ref|WP_007714643.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|494988625|ref|WP_007714645.1|	MULTISPECIES: GTPase [Clostridiales] 
gi|494988627|ref|WP_007714647.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988628|ref|WP_007714648.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988629|ref|WP_007714649.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988630|ref|WP_007714650.1|	MULTISPECIES: potassium transporter TrkA [Clostridiales] 
gi|494988633|ref|WP_007714653.1|	potassium transporter TrkH [[Clostridium] asparagiforme] 
gi|494988635|ref|WP_007714655.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494988637|ref|WP_007714657.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494988638|ref|WP_007714658.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988639|ref|WP_007714659.1|	HAD family hydrolase [[Clostridium] asparagiforme] 
gi|494988642|ref|WP_007714662.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988643|ref|WP_007714663.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988644|ref|WP_007714664.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988645|ref|WP_007714665.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988646|ref|WP_007714666.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988649|ref|WP_007714669.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988651|ref|WP_007714671.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988652|ref|WP_007714672.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988653|ref|WP_007714673.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988657|ref|WP_007714677.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988664|ref|WP_007714684.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988665|ref|WP_007714685.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988666|ref|WP_007714686.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988667|ref|WP_007714687.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988669|ref|WP_007714689.1|	homocysteine methyltransferase [[Clostridium] asparagiforme] 
gi|494988672|ref|WP_007714692.1|	MULTISPECIES: amino acid lyase [Clostridiales] 
gi|494988675|ref|WP_007714695.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988676|ref|WP_007714696.1|	5,10-methylenetetrahydrofolate reductase [[Clostridium] asparagiforme] 
gi|494988677|ref|WP_007714697.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988679|ref|WP_007714699.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988680|ref|WP_007714700.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988682|ref|WP_007714702.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988683|ref|WP_007714703.1|	MULTISPECIES: oxidoreductase [Clostridiales] 
gi|494988684|ref|WP_007714704.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988685|ref|WP_007714705.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988688|ref|WP_007714708.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988690|ref|WP_007714710.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988691|ref|WP_007714711.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988694|ref|WP_007714714.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988695|ref|WP_007714715.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988696|ref|WP_007714716.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988697|ref|WP_007714717.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988698|ref|WP_007714718.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988701|ref|WP_007714721.1|	short-chain dehydrogenase [[Clostridium] asparagiforme] 
gi|494988704|ref|WP_007714724.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988707|ref|WP_007714727.1|	demethylmenaquinone methyltransferase [[Clostridium] asparagiforme] 
gi|494988709|ref|WP_007714729.1|	mandelate racemase [[Clostridium] asparagiforme] 
gi|494988711|ref|WP_007714731.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988713|ref|WP_007714733.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988721|ref|WP_007714741.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988722|ref|WP_007714742.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988725|ref|WP_007714745.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988728|ref|WP_007714748.1|	MULTISPECIES: peptide ABC transporter ATPase [Clostridiales] 
gi|494988731|ref|WP_007714751.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988733|ref|WP_007714753.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988735|ref|WP_007714755.1|	MULTISPECIES: diguanylate cyclase [Clostridiales] 
gi|494988737|ref|WP_007714757.1|	MULTISPECIES: peptide ABC transporter permease [Clostridiales] 
gi|494988739|ref|WP_007714759.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988742|ref|WP_007714762.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988744|ref|WP_007714764.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988745|ref|WP_007714765.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988748|ref|WP_007714768.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988750|ref|WP_007714770.1|	flagellar protein FlgA [[Clostridium] asparagiforme] 
gi|494988753|ref|WP_007714773.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988760|ref|WP_007714780.1|	aldolase [[Clostridium] asparagiforme] 
gi|494988763|ref|WP_007714783.1|	amino acid lyase [[Clostridium] asparagiforme] 
gi|494988766|ref|WP_007714786.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|494988769|ref|WP_007714789.1|	MULTISPECIES: acetylhydrolase [Clostridiales] 
gi|494988771|ref|WP_007714791.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988773|ref|WP_007714793.1|	inorganic pyrophosphatase [[Clostridium] asparagiforme] 
gi|494988775|ref|WP_007714795.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988777|ref|WP_007714797.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988778|ref|WP_007714798.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494988780|ref|WP_007714800.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988782|ref|WP_007714802.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988785|ref|WP_007714805.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988788|ref|WP_007714808.1|	DNA methyltransferase [[Clostridium] asparagiforme] 
gi|494988790|ref|WP_007714810.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988792|ref|WP_007714812.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988795|ref|WP_007714815.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988797|ref|WP_007714817.1|	phosphoesterase [[Clostridium] asparagiforme] 
gi|494988799|ref|WP_007714819.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988802|ref|WP_007714822.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988804|ref|WP_007714824.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494988806|ref|WP_007714826.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988809|ref|WP_007714829.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988812|ref|WP_007714832.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988815|ref|WP_007714835.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988818|ref|WP_007714838.1|	monooxygenase [[Clostridium] asparagiforme] 
gi|494988820|ref|WP_007714840.1|	2,5-diketo-D-gluconic acid reductase [[Clostridium] asparagiforme] 
gi|494988823|ref|WP_007714843.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988826|ref|WP_007714846.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988829|ref|WP_007714849.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988832|ref|WP_007714852.1|	phosphohydrolase [[Clostridium] asparagiforme] 
gi|494988834|ref|WP_007714854.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988836|ref|WP_007714856.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988837|ref|WP_007714857.1|	peptidase [[Clostridium] asparagiforme] 
gi|494988839|ref|WP_007714859.1|	aldo/keto reductase [[Clostridium] asparagiforme] 
gi|494988841|ref|WP_007714861.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988843|ref|WP_007714863.1|	50S rRNA methyltransferase [[Clostridium] asparagiforme] 
gi|494988845|ref|WP_007714865.1|	MULTISPECIES: N-acetyltransferase GCN5 [Clostridiales] 
gi|494988863|ref|WP_007714883.1|	MULTISPECIES: PhoP family transcriptional regulator [Clostridiales] 
gi|494988866|ref|WP_007714886.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988867|ref|WP_007714887.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988872|ref|WP_007714892.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988875|ref|WP_007714895.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988877|ref|WP_007714897.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988881|ref|WP_007714901.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988884|ref|WP_007714904.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988886|ref|WP_007714906.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988888|ref|WP_007714908.1|	MULTISPECIES: cold-shock protein [Clostridiales] 
gi|494988893|ref|WP_007714913.1|	molecular chaperone Hsp33 [[Clostridium] asparagiforme] 
gi|494988896|ref|WP_007714916.1|	MULTISPECIES: methyltransferase [Clostridiales] 
gi|494988898|ref|WP_007714918.1|	preprotein translocase SecA [[Clostridium] asparagiforme] 
gi|494988899|ref|WP_007714919.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988901|ref|WP_007714921.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988903|ref|WP_007714923.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988905|ref|WP_007714925.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988907|ref|WP_007714927.1|	glutaredoxin [[Clostridium] asparagiforme] 
gi|494988909|ref|WP_007714929.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988911|ref|WP_007714931.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|494988914|ref|WP_007714934.1|	MULTISPECIES: gluconate 5-dehydrogenase [Clostridiales] 
gi|494988916|ref|WP_007714936.1|	MULTISPECIES: 5-keto-4-deoxyuronate isomerase [Clostridiales] 
gi|494988918|ref|WP_007714938.1|	6-phosphofructokinase [[Clostridium] asparagiforme] 
gi|494988919|ref|WP_007714939.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988921|ref|WP_007714941.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988924|ref|WP_007714944.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988926|ref|WP_007714946.1|	dioxygenase [[Clostridium] asparagiforme] 
gi|494988928|ref|WP_007714948.1|	mannonate dehydratase [[Clostridium] asparagiforme] 
gi|494988930|ref|WP_007714950.1|	AraC family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494988932|ref|WP_007714952.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988934|ref|WP_007714954.1|	MULTISPECIES: oxidoreductase [Clostridiales] 
gi|494988935|ref|WP_007714955.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988937|ref|WP_007714957.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988938|ref|WP_007714958.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988939|ref|WP_007714959.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988940|ref|WP_007714960.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988941|ref|WP_007714961.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988942|ref|WP_007714962.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988943|ref|WP_007714963.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988944|ref|WP_007714964.1|	multidrug transporter MatE [[Clostridium] asparagiforme] 
gi|494988945|ref|WP_007714965.1|	asparagine synthase [[Clostridium] asparagiforme] 
gi|494988946|ref|WP_007714966.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494988947|ref|WP_007714967.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988948|ref|WP_007714968.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988949|ref|WP_007714969.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494988951|ref|WP_007714971.1|	tyrosyl-tRNA synthetase [[Clostridium] asparagiforme] 
gi|494988953|ref|WP_007714973.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988955|ref|WP_007714975.1|	MULTISPECIES: phospho-2-dehydro-3-deoxyheptonate aldolase [Clostridiales] 
gi|494988958|ref|WP_007714978.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988960|ref|WP_007714980.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988962|ref|WP_007714982.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988964|ref|WP_007714984.1|	PadR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494988965|ref|WP_007714985.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988966|ref|WP_007714986.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988967|ref|WP_007714987.1|	glycoside hydrolase [[Clostridium] asparagiforme] 
gi|494988968|ref|WP_007714988.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988969|ref|WP_007714989.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988970|ref|WP_007714990.1|	uracil-DNA glycosylase [[Clostridium] asparagiforme] 
gi|494988971|ref|WP_007714991.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Clostridiales] 
gi|494988972|ref|WP_007714992.1|	imidazole glycerol phosphate synthase [[Clostridium] asparagiforme] 
gi|494988973|ref|WP_007714993.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988974|ref|WP_007714994.1|	peptidase S11 [[Clostridium] asparagiforme] 
gi|494988975|ref|WP_007714995.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988976|ref|WP_007714996.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988977|ref|WP_007714997.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988978|ref|WP_007714998.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988980|ref|WP_007715000.1|	competence protein TfoX [[Clostridium] asparagiforme] 
gi|494988981|ref|WP_007715001.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494988983|ref|WP_007715003.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988985|ref|WP_007715005.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494988987|ref|WP_007715007.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988989|ref|WP_007715009.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494988991|ref|WP_007715011.1|	isopentenyl-diphosphate delta-isomerase [[Clostridium] asparagiforme] 
gi|494988993|ref|WP_007715013.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989008|ref|WP_007715028.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989009|ref|WP_007715029.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989011|ref|WP_007715031.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989014|ref|WP_007715034.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989016|ref|WP_007715036.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989019|ref|WP_007715039.1|	amidohydrolase [[Clostridium] asparagiforme] 
gi|494989020|ref|WP_007715040.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989021|ref|WP_007715041.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989022|ref|WP_007715042.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989023|ref|WP_007715043.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989024|ref|WP_007715044.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494989025|ref|WP_007715045.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989026|ref|WP_007715046.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989027|ref|WP_007715047.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989029|ref|WP_007715049.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494989031|ref|WP_007715051.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494989033|ref|WP_007715053.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989034|ref|WP_007715054.1|	PTS beta-glucoside transporter subunit IIA [[Clostridium] asparagiforme] 
gi|494989036|ref|WP_007715056.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989038|ref|WP_007715058.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989040|ref|WP_007715060.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989042|ref|WP_007715062.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989044|ref|WP_007715064.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989045|ref|WP_007715065.1|	RpiR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494989047|ref|WP_007715067.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989049|ref|WP_007715069.1|	beta-lactamase [[Clostridium] asparagiforme] 
gi|494989051|ref|WP_007715071.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989052|ref|WP_007715072.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989054|ref|WP_007715074.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989056|ref|WP_007715076.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989058|ref|WP_007715078.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989060|ref|WP_007715080.1|	MULTISPECIES: glucoronyl hydrolase [Clostridiales] 
gi|494989062|ref|WP_007715082.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494989064|ref|WP_007715084.1|	sugar ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
