gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493902511|ref|WP_006848263.1|	hypothetical protein [Prevotella copri] 
gi|493902512|ref|WP_006848264.1|	hypothetical protein [Prevotella copri] 
gi|493902513|ref|WP_006848265.1|	hypothetical protein partial [Prevotella copri] 
gi|493902514|ref|WP_006848266.1|	hypothetical protein [Prevotella copri] 
gi|493902515|ref|WP_006848267.1|	replication protein A subunit [Prevotella copri] 
gi|493902516|ref|WP_006848268.1|	thioesterase [Prevotella copri] 
gi|493902517|ref|WP_006848269.1|	porin [Prevotella copri] 
gi|493902518|ref|WP_006848270.1|	membrane protein [Prevotella copri] 
gi|493902519|ref|WP_006848271.1|	hypothetical protein [Prevotella copri] 
gi|493902520|ref|WP_006848272.1|	carboxylesterase [Prevotella copri] 
gi|493902521|ref|WP_006848273.1|	hypothetical protein [Prevotella copri] 
gi|493902522|ref|WP_006848274.1|	hypothetical protein [Prevotella copri] 
gi|493902523|ref|WP_006848275.1|	membrane protein [Prevotella copri] 
gi|493902524|ref|WP_006848276.1|	fucose isomerase [Prevotella copri] 
gi|493902526|ref|WP_006848277.1|	hypothetical protein [Prevotella copri] 
gi|493902527|ref|WP_006848278.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493902528|ref|WP_006848279.1|	ATPase [Prevotella copri] 
gi|493902529|ref|WP_006848280.1|	MULTISPECIES: aspartate-semialdehyde dehydrogenase [Prevotella] 
gi|493902530|ref|WP_006848281.1|	hypothetical protein [Prevotella copri] 
gi|493902531|ref|WP_006848282.1|	hypothetical protein [Prevotella copri] 
gi|493902532|ref|WP_006848283.1|	hypothetical protein [Prevotella copri] 
gi|493902533|ref|WP_006848284.1|	putative outer membrane protein [Prevotella copri] 
gi|493902534|ref|WP_006848285.1|	hypothetical protein [Prevotella copri] 
gi|493902535|ref|WP_006848286.1|	permease [Prevotella copri] 
gi|493902536|ref|WP_006848287.1|	toxin-antitoxin system antitoxin component HicB family [Prevotella copri] 
gi|493902537|ref|WP_006848288.1|	hypothetical protein [Prevotella copri] 
gi|493902538|ref|WP_006848289.1|	protein tyrosine/serine phosphatase [Prevotella copri] 
gi|493902539|ref|WP_006848290.1|	hypothetical protein [Prevotella copri] 
gi|493902540|ref|WP_006848291.1|	ATPase AAA [Prevotella copri] 
gi|493902541|ref|WP_006848292.1|	putative binding-protein-dependent transport system inner membrane component [Prevotella copri] 
gi|493902542|ref|WP_006848293.1|	transporter [Prevotella copri] 
gi|493902543|ref|WP_006848294.1|	sodium:proton antiporter [Prevotella copri] 
gi|493902544|ref|WP_006848295.1|	hypothetical protein [Prevotella copri] 
gi|493902545|ref|WP_006848296.1|	hypothetical protein [Prevotella copri] 
gi|493902546|ref|WP_006848297.1|	transcriptional regulator [Prevotella copri] 
gi|493902547|ref|WP_006848298.1|	rhamnulokinase [Prevotella copri] 
gi|493902548|ref|WP_006848299.1|	rhamnose isomerase [Prevotella copri] 
gi|493902549|ref|WP_006848300.1|	sugar:proton symporter [Prevotella copri] 
gi|493902550|ref|WP_006848301.1|	rhamnulose-1-phosphate aldolase [Prevotella copri] 
gi|493902551|ref|WP_006848302.1|	hypothetical protein [Prevotella copri] 
gi|493902552|ref|WP_006848303.1|	TonB protein [Prevotella copri] 
gi|493902553|ref|WP_006848304.1|	putative transporter [Prevotella copri] 
gi|493902554|ref|WP_006848305.1|	transcriptional regulator [Prevotella copri] 
gi|493902555|ref|WP_006848306.1|	galacturan 1,4-alpha-galacturonidase [Prevotella copri] 
gi|493902556|ref|WP_006848307.1|	ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902557|ref|WP_006848308.1|	GntR family transcriptional regulator [Prevotella copri] 
gi|493902558|ref|WP_006848309.1|	ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902560|ref|WP_006848310.1|	hypothetical protein [Prevotella copri] 
gi|493902561|ref|WP_006848311.1|	hypothetical protein [Prevotella copri] 
gi|493902562|ref|WP_006848312.1|	putative DNA sulfur modification protein DndD [Prevotella copri] 
gi|493902563|ref|WP_006848313.1|	hypothetical protein [Prevotella copri] 
gi|493902564|ref|WP_006848314.1|	type III restriction endonuclease subunit R [Prevotella copri] 
gi|493902565|ref|WP_006848315.1|	methyltransferase [Prevotella copri] 
gi|493902566|ref|WP_006848316.1|	hypothetical protein [Prevotella copri] 
gi|493902567|ref|WP_006848317.1|	toxin-antitoxin system antitoxin component PHD family [Prevotella copri] 
gi|493902568|ref|WP_006848318.1|	putative 50S ribosomal protein L20 [Prevotella copri] 
gi|493902569|ref|WP_006848319.1|	MULTISPECIES: 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [Prevotella] 
gi|493902570|ref|WP_006848320.1|	2-oxoglutarate oxidoreductase [Prevotella copri] 
gi|493902571|ref|WP_006848321.1|	2-ketoisovalerate ferredoxin reductase [Prevotella copri] 
gi|493902572|ref|WP_006848322.1|	ferredoxin [Prevotella copri] 
gi|493902573|ref|WP_006848323.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493902574|ref|WP_006848324.1|	GntR family transcriptional regulator [Prevotella copri] 
gi|493902575|ref|WP_006848325.1|	tryptophanyl-tRNA synthase [Prevotella copri] 
gi|493902576|ref|WP_006848326.1|	membrane protein [Prevotella copri] 
gi|493902577|ref|WP_006848327.1|	hypothetical protein [Prevotella copri] 
gi|493902578|ref|WP_006848328.1|	hypothetical protein [Prevotella copri] 
gi|493902579|ref|WP_006848329.1|	hypothetical protein [Prevotella copri] 
gi|493902580|ref|WP_006848330.1|	hypothetical protein [Prevotella copri] 
gi|493902581|ref|WP_006848331.1|	amino acid ABC transporter permease [Prevotella copri] 
gi|493902582|ref|WP_006848332.1|	hypothetical protein [Prevotella copri] 
gi|493902583|ref|WP_006848333.1|	asparaginyl-tRNA synthetase [Prevotella copri] 
gi|493902584|ref|WP_006848334.1|	ribosomal large subunit pseudouridine synthase B [Prevotella copri] 
gi|493902585|ref|WP_006848335.1|	hypothetical protein [Prevotella copri] 
gi|493902586|ref|WP_006848336.1|	adenylosuccinate lyase [Prevotella copri] 
gi|493902587|ref|WP_006848337.1|	hypothetical protein [Prevotella copri] 
gi|493902588|ref|WP_006848338.1|	putative immunoreactive antigen PG33 [Prevotella copri] 
gi|493902589|ref|WP_006848339.1|	DNA mismatch repair protein MutL [Prevotella copri] 
gi|493902590|ref|WP_006848340.1|	hypothetical protein [Prevotella copri] 
gi|493902591|ref|WP_006848341.1|	peptidylprolyl isomerase [Prevotella copri] 
gi|493902592|ref|WP_006848342.1|	chaperone SurA [Prevotella copri] 
gi|493902593|ref|WP_006848343.1|	inosine 5'-monophosphate dehydrogenase [Prevotella copri] 
gi|493902594|ref|WP_006848344.1|	ATP-dependent DNA helicase RecQ [Prevotella copri] 
gi|493902595|ref|WP_006848345.1|	MULTISPECIES: ATPase AAA [Prevotella] 
gi|493902596|ref|WP_006848346.1|	MULTISPECIES: ATP-dependent Clp protease ClpP [Prevotella] 
gi|493902597|ref|WP_006848347.1|	hypothetical protein [Prevotella copri] 
gi|493902599|ref|WP_006848348.1|	peptidyl-prolyl cis-trans isomerase [Prevotella copri] 
gi|493902600|ref|WP_006848349.1|	ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902601|ref|WP_006848350.1|	MULTISPECIES: ABC transporter permease [Prevotella] 
gi|493902602|ref|WP_006848351.1|	phosphonate ABC transporter ATP-binding protein [Prevotella copri] 
gi|493902603|ref|WP_006848352.1|	hypothetical protein [Prevotella copri] 
gi|493902604|ref|WP_006848353.1|	GTP-binding protein Der [Prevotella copri] 
gi|493902605|ref|WP_006848354.1|	MULTISPECIES: GTPase Era [Prevotella] 
gi|493902606|ref|WP_006848355.1|	3-oxoacyl-ACP synthase [Prevotella copri] 
gi|493902607|ref|WP_006848356.1|	MULTISPECIES: 50S ribosomal protein L32 [Prevotella] 
gi|493902608|ref|WP_006848357.1|	hypothetical protein [Prevotella copri] 
gi|493902609|ref|WP_006848358.1|	sensor histidine kinase [Prevotella copri] 
gi|493902610|ref|WP_006848359.1|	hypothetical protein [Prevotella copri] 
gi|493902611|ref|WP_006848360.1|	hypothetical protein [Prevotella copri] 
gi|493902612|ref|WP_006848361.1|	dihydropyrimidine dehydrogenase subunit A [Prevotella copri] 
gi|493902613|ref|WP_006848362.1|	glutamate synthase [Prevotella copri] 
gi|493902614|ref|WP_006848363.1|	asparagine synthetase B [Prevotella copri] 
gi|493902615|ref|WP_006848364.1|	hypothetical protein [Prevotella copri] 
gi|493902616|ref|WP_006848365.1|	ammonium transporter [Prevotella copri] 
gi|493902617|ref|WP_006848366.1|	nitrogen regulatory protein P-II [Prevotella copri] 
gi|493902618|ref|WP_006848367.1|	glucosamine-6-phosphate deaminase [Prevotella copri] 
gi|493902619|ref|WP_006848368.1|	sodium:proton antiporter [Prevotella copri] 
gi|493902620|ref|WP_006848369.1|	hypothetical protein [Prevotella copri] 
gi|493902621|ref|WP_006848370.1|	putative haloacid dehalogenase-type hydrolase [Prevotella copri] 
gi|493902622|ref|WP_006848371.1|	membrane protein [Prevotella copri] 
gi|493902623|ref|WP_006848372.1|	ATPase [Prevotella copri] 
gi|493902624|ref|WP_006848373.1|	hypothetical protein [Prevotella copri] 
gi|493902625|ref|WP_006848374.1|	type I restriction-modification system S subunit partial [Prevotella copri] 
gi|493902626|ref|WP_006848375.1|	putative type I restriction enzyme EcoAI specificity protein [Prevotella copri] 
gi|493902627|ref|WP_006848376.1|	integrase [Prevotella copri] 
gi|493902628|ref|WP_006848377.1|	type I restriction-modification enzyme S subunit [Prevotella copri] 
gi|493902629|ref|WP_006848378.1|	hypothetical protein [Prevotella copri] 
gi|493902631|ref|WP_006848379.1|	type I restriction endonuclease subunit M [Prevotella copri] 
gi|493902632|ref|WP_006848380.1|	DEAD/DEAH box helicase [Prevotella copri] 
gi|493902633|ref|WP_006848381.1|	hypothetical protein [Prevotella copri] 
gi|493902634|ref|WP_006848382.1|	hypothetical protein [Prevotella copri] 
gi|493902635|ref|WP_006848383.1|	helicase [Prevotella copri] 
gi|493902636|ref|WP_006848384.1|	transcriptional regulator [Prevotella copri] 
gi|493902637|ref|WP_006848385.1|	hypothetical protein [Prevotella copri] 
gi|493902638|ref|WP_006848386.1|	hypothetical protein partial [Prevotella copri] 
gi|493902639|ref|WP_006848387.1|	phage Gp37Gp68 protein [Prevotella copri] 
gi|493902640|ref|WP_006848388.1|	hypothetical protein [Prevotella copri] 
gi|493902641|ref|WP_006848389.1|	hypothetical protein [Prevotella copri] 
gi|493902642|ref|WP_006848390.1|	hypothetical protein [Prevotella copri] 
gi|493902643|ref|WP_006848391.1|	TonB-dependent receptor [Prevotella copri] 
gi|493902644|ref|WP_006848392.1|	hypothetical protein [Prevotella copri] 
gi|493902645|ref|WP_006848393.1|	hypothetical protein [Prevotella copri] 
gi|493902646|ref|WP_006848394.1|	hypothetical protein [Prevotella copri] 
gi|493902647|ref|WP_006848395.1|	membrane protein [Prevotella copri] 
gi|493902648|ref|WP_006848396.1|	membrane protein [Prevotella copri] 
gi|493902649|ref|WP_006848397.1|	protoporphyrin IX magnesium chelatase [Prevotella copri] 
gi|493902650|ref|WP_006848398.1|	hypothetical protein [Prevotella copri] 
gi|493902651|ref|WP_006848399.1|	flavodoxin [Prevotella copri] 
gi|493902652|ref|WP_006848400.1|	ATPase [Prevotella copri] 
gi|493902653|ref|WP_006848401.1|	exonuclease [Prevotella copri] 
gi|493902654|ref|WP_006848402.1|	ATPase AAA [Prevotella copri] 
gi|493902655|ref|WP_006848403.1|	hypothetical protein [Prevotella copri] 
gi|493902656|ref|WP_006848404.1|	putative ADP-ribosylglycohydrolase [Prevotella copri] 
gi|493902657|ref|WP_006848405.1|	crystallin [Prevotella copri] 
gi|493902658|ref|WP_006848406.1|	phosphatidylglycerophosphatase [Prevotella copri] 
gi|493902659|ref|WP_006848407.1|	hypothetical protein [Prevotella copri] 
gi|493902660|ref|WP_006848408.1|	haloacid dehalogenase [Prevotella copri] 
gi|493902661|ref|WP_006848409.1|	hypothetical protein [Prevotella copri] 
gi|493902662|ref|WP_006848410.1|	putative N-acetylmuramoyl-L-alanine amidase [Prevotella copri] 
gi|493902663|ref|WP_006848411.1|	tellurium resistance protein [Prevotella copri] 
gi|493902665|ref|WP_006848412.1|	tellurium resistance protein [Prevotella copri] 
gi|493902666|ref|WP_006848413.1|	ATPase [Prevotella copri] 
gi|493902667|ref|WP_006848414.1|	hypothetical protein [Prevotella copri] 
gi|493902668|ref|WP_006848415.1|	hypothetical protein [Prevotella copri] 
gi|493902669|ref|WP_006848416.1|	hypothetical protein [Prevotella copri] 
gi|493902670|ref|WP_006848417.1|	hypothetical protein [Prevotella copri] 
gi|493902671|ref|WP_006848418.1|	hypothetical protein [Prevotella copri] 
gi|493902672|ref|WP_006848419.1|	hypothetical protein [Prevotella copri] 
gi|493902673|ref|WP_006848420.1|	helicase [Prevotella copri] 
gi|493902674|ref|WP_006848421.1|	sodium:proton antiporter [Prevotella copri] 
gi|493902675|ref|WP_006848422.1|	ATPase [Prevotella copri] 
gi|493902676|ref|WP_006848423.1|	hypothetical protein [Prevotella copri] 
gi|493902677|ref|WP_006848424.1|	hypothetical protein [Prevotella copri] 
gi|493902678|ref|WP_006848425.1|	transposase [Prevotella copri] 
gi|493902679|ref|WP_006848426.1|	hypothetical protein [Prevotella copri] 
gi|493902680|ref|WP_006848427.1|	hypothetical protein [Prevotella copri] 
gi|493902681|ref|WP_006848428.1|	hypothetical protein [Prevotella copri] 
gi|493902682|ref|WP_006848429.1|	hypothetical protein [Prevotella copri] 
gi|493902683|ref|WP_006848430.1|	hypothetical protein [Prevotella copri] 
gi|493902684|ref|WP_006848431.1|	RNA polymerase sigma-70 factor [Prevotella copri] 
gi|493902685|ref|WP_006848432.1|	hypothetical protein [Prevotella copri] 
gi|493902686|ref|WP_006848433.1|	hypothetical protein [Prevotella copri] 
gi|493902687|ref|WP_006848434.1|	hypothetical protein [Prevotella copri] 
gi|493902688|ref|WP_006848435.1|	hypothetical protein [Prevotella copri] 
gi|493902689|ref|WP_006848436.1|	hypothetical protein [Prevotella copri] 
gi|493902690|ref|WP_006848437.1|	transcriptional regulator [Prevotella copri] 
gi|493902691|ref|WP_006848438.1|	ATPase AAA [Prevotella copri] 
gi|493902692|ref|WP_006848439.1|	hypothetical protein [Prevotella copri] 
gi|493902693|ref|WP_006848440.1|	hypothetical protein [Prevotella copri] 
gi|493902694|ref|WP_006848441.1|	hypothetical protein [Prevotella copri] 
gi|493902695|ref|WP_006848442.1|	toxin-antitoxin system antitoxin component Xre family [Prevotella copri] 
gi|493902696|ref|WP_006848443.1|	alpha-amylase [Prevotella copri] 
gi|493902697|ref|WP_006848444.1|	alpha-glucosidase [Prevotella copri] 
gi|493902698|ref|WP_006848445.1|	membrane protein [Prevotella copri] 
gi|493902699|ref|WP_006848446.1|	membrane protein [Prevotella copri] 
gi|493902700|ref|WP_006848447.1|	putative regulatory protein [Prevotella copri] 
gi|493902116|ref|WP_006847878.1|	hypothetical protein [Prevotella copri] 
gi|493902701|ref|WP_006848448.1|	transposase [Prevotella copri] 
gi|493902702|ref|WP_006848449.1|	hypothetical protein [Prevotella copri] 
gi|493902703|ref|WP_006848450.1|	MULTISPECIES: ATPase [Prevotella] 
gi|493902704|ref|WP_006848451.1|	nitroreductase family protein [Prevotella copri] 
gi|493902705|ref|WP_006848452.1|	putative DNA mismatch repair protein MutS [Prevotella copri] 
gi|493902706|ref|WP_006848453.1|	MULTISPECIES: transcription elongation factor GreA [Prevotella] 
gi|493902707|ref|WP_006848454.1|	hypothetical protein [Prevotella copri] 
gi|493902708|ref|WP_006848455.1|	AsnC family transcriptional regulator [Prevotella copri] 
gi|493902709|ref|WP_006848456.1|	hypothetical protein [Prevotella copri] 
gi|493902710|ref|WP_006848457.1|	hypothetical protein [Prevotella copri] 
gi|493902711|ref|WP_006848458.1|	putative transmembrane zinc-binding protein [Prevotella copri] 
gi|493902712|ref|WP_006848459.1|	transcriptional regulator [Prevotella copri] 
gi|493902713|ref|WP_006848460.1|	hypothetical protein [Prevotella copri] 
gi|493902714|ref|WP_006848461.1|	hypothetical protein [Prevotella copri] 
gi|493902715|ref|WP_006848462.1|	ADP-ribosylglycohydrolase [Prevotella copri] 
gi|493902716|ref|WP_006848463.1|	hypothetical protein [Prevotella copri] 
gi|493902717|ref|WP_006848464.1|	hypothetical protein [Prevotella copri] 
gi|493902718|ref|WP_006848465.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493902720|ref|WP_006848466.1|	hypothetical protein [Prevotella copri] 
gi|493902721|ref|WP_006848467.1|	hypothetical protein [Prevotella copri] 
gi|493902722|ref|WP_006848468.1|	camphor resistance protein CrcB [Prevotella copri] 
gi|493902723|ref|WP_006848469.1|	hypothetical protein [Prevotella copri] 
gi|493902724|ref|WP_006848470.1|	MULTISPECIES: saccharopine dehydrogenase [Prevotella] 
gi|493902725|ref|WP_006848471.1|	recombinase RecA [Prevotella copri] 
gi|493902726|ref|WP_006848472.1|	hypothetical protein [Prevotella copri] 
gi|493902727|ref|WP_006848473.1|	molecular chaperone DnaK [Prevotella copri] 
gi|493902728|ref|WP_006848474.1|	phosphoserine phosphatase [Prevotella copri] 
gi|493902729|ref|WP_006848475.1|	hypothetical protein [Prevotella copri] 
gi|493902730|ref|WP_006848476.1|	peptidyl-prolyl cis-trans isomerase [Prevotella copri] 
gi|493902731|ref|WP_006848477.1|	membrane protein [Prevotella copri] 
gi|493902732|ref|WP_006848478.1|	glycosyl hydrolase family 3 [Prevotella copri] 
gi|493902733|ref|WP_006848479.1|	transcriptional regulator [Prevotella copri] 
gi|493902734|ref|WP_006848480.1|	putative apical membrane antigen 1 [Prevotella copri] 
gi|493902735|ref|WP_006848481.1|	beta-D-glucoside glucohydrolase [Prevotella copri] 
gi|493902736|ref|WP_006848482.1|	hypothetical protein [Prevotella copri] 
gi|493902737|ref|WP_006848483.1|	hypothetical protein [Prevotella copri] 
gi|493902738|ref|WP_006848484.1|	peptidase M16 [Prevotella copri] 
gi|493902739|ref|WP_006848485.1|	hypothetical protein [Prevotella copri] 
gi|493902740|ref|WP_006848486.1|	cation transporter [Prevotella copri] 
gi|493902741|ref|WP_006848487.1|	peptidyl-prolyl cis-trans isomerase FKBP-type domain protein [Prevotella copri] 
gi|493902743|ref|WP_006848488.1|	MULTISPECIES: glycyl-tRNA synthetease [Prevotella] 
gi|493902744|ref|WP_006848489.1|	DNA topoisomerase IV subunit A [Prevotella copri] 
gi|493902745|ref|WP_006848490.1|	hypothetical protein partial [Prevotella copri] 
gi|493902746|ref|WP_006848491.1|	histidine acid phosphatase [Prevotella copri] 
gi|493902747|ref|WP_006848492.1|	putative endoglucanase E [Prevotella copri] 
gi|493902748|ref|WP_006848493.1|	hypothetical protein [Prevotella copri] 
gi|493902749|ref|WP_006848494.1|	hypothetical protein [Prevotella copri] 
gi|493902750|ref|WP_006848495.1|	hypothetical protein partial [Prevotella copri] 
gi|493902751|ref|WP_006848496.1|	hypothetical protein [Prevotella copri] 
gi|493902752|ref|WP_006848497.1|	hypothetical protein [Prevotella copri] 
gi|493902753|ref|WP_006848498.1|	hypothetical protein [Prevotella copri] 
