gi|490935456|ref|WP_004797295.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938077|ref|WP_004799914.1|	16S rRNA methyltransferase [[Eubacterium] dolichum] 
gi|490938079|ref|WP_004799916.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938081|ref|WP_004799918.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938083|ref|WP_004799920.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938085|ref|WP_004799922.1|	peptidylprolyl isomerase [[Eubacterium] dolichum] 
gi|490938086|ref|WP_004799923.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938088|ref|WP_004799925.1|	MULTISPECIES: RNA methyltransferase [Firmicutes] 
gi|490938090|ref|WP_004799927.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938092|ref|WP_004799929.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938093|ref|WP_004799930.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938095|ref|WP_004799932.1|	dehydrogenase [[Eubacterium] dolichum] 
gi|490938097|ref|WP_004799934.1|	PTS sorbose transporter subunit IIB [[Eubacterium] dolichum] 
gi|490938100|ref|WP_004799937.1|	MULTISPECIES: PTS sorbose transporter subunit IIC [Firmicutes] 
gi|490938101|ref|WP_004799938.1|	PTS mannose transporter subunit IID [[Eubacterium] dolichum] 
gi|490938113|ref|WP_004799950.1|	MULTISPECIES: PTS mannose transporter subunit IIA [Firmicutes] 
gi|490938114|ref|WP_004799951.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938116|ref|WP_004799953.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938117|ref|WP_004799954.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938121|ref|WP_004799958.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938127|ref|WP_004799964.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938128|ref|WP_004799965.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938129|ref|WP_004799966.1|	integrase [[Eubacterium] dolichum] 
gi|490938131|ref|WP_004799968.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938134|ref|WP_004799971.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938136|ref|WP_004799973.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938138|ref|WP_004799975.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938140|ref|WP_004799977.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938144|ref|WP_004799981.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938146|ref|WP_004799983.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938148|ref|WP_004799985.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938150|ref|WP_004799987.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938152|ref|WP_004799989.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938153|ref|WP_004799990.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938154|ref|WP_004799991.1|	recombinase [[Eubacterium] dolichum] 
gi|490938155|ref|WP_004799992.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938156|ref|WP_004799993.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938157|ref|WP_004799994.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938159|ref|WP_004799996.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938161|ref|WP_004799998.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938163|ref|WP_004800000.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938165|ref|WP_004800002.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938167|ref|WP_004800004.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938168|ref|WP_004800005.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938170|ref|WP_004800007.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938172|ref|WP_004800009.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938174|ref|WP_004800011.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938176|ref|WP_004800013.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938178|ref|WP_004800015.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938181|ref|WP_004800018.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938184|ref|WP_004800021.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938185|ref|WP_004800022.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938187|ref|WP_004800024.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938189|ref|WP_004800026.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938190|ref|WP_004800027.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938191|ref|WP_004800028.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938192|ref|WP_004800029.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938193|ref|WP_004800030.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938195|ref|WP_004800032.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938198|ref|WP_004800035.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938199|ref|WP_004800036.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938201|ref|WP_004800038.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938203|ref|WP_004800040.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938206|ref|WP_004800043.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938207|ref|WP_004800044.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938209|ref|WP_004800046.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938210|ref|WP_004800047.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938213|ref|WP_004800050.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938216|ref|WP_004800053.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938218|ref|WP_004800055.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938219|ref|WP_004800056.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938221|ref|WP_004800058.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938222|ref|WP_004800059.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938224|ref|WP_004800061.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938226|ref|WP_004800063.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938227|ref|WP_004800064.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938229|ref|WP_004800066.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938231|ref|WP_004800068.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938232|ref|WP_004800069.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938234|ref|WP_004800071.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938236|ref|WP_004800073.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938239|ref|WP_004800076.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938240|ref|WP_004800077.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938242|ref|WP_004800079.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938245|ref|WP_004800082.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938246|ref|WP_004800083.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938248|ref|WP_004800085.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938249|ref|WP_004800086.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938251|ref|WP_004800088.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938252|ref|WP_004800089.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938254|ref|WP_004800091.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938256|ref|WP_004800093.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938259|ref|WP_004800096.1|	holin [[Eubacterium] dolichum] 
gi|490938261|ref|WP_004800098.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938263|ref|WP_004800100.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938264|ref|WP_004800101.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938267|ref|WP_004800104.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938268|ref|WP_004800105.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938270|ref|WP_004800107.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938274|ref|WP_004800111.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938275|ref|WP_004800112.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938277|ref|WP_004800114.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938278|ref|WP_004800115.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938280|ref|WP_004800117.1|	type VII secretion protein [[Eubacterium] dolichum] 
gi|490938282|ref|WP_004800119.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938283|ref|WP_004800120.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938285|ref|WP_004800122.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938286|ref|WP_004800123.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938288|ref|WP_004800125.1|	PTS lactose transporter subunit IIB [[Eubacterium] dolichum] 
gi|490938289|ref|WP_004800126.1|	PTS cellobiose transporter subunit IIC [[Eubacterium] dolichum] 
gi|490938291|ref|WP_004800128.1|	PTS lactose transporter subunit IIA [[Eubacterium] dolichum] 
gi|490938292|ref|WP_004800129.1|	6-phospho-beta-glucosidase [[Eubacterium] dolichum] 
gi|490938293|ref|WP_004800130.1|	MULTISPECIES: nitrogen-fixing protein NifU [Firmicutes] 
gi|490938294|ref|WP_004800131.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938295|ref|WP_004800132.1|	general stress protein [[Eubacterium] dolichum] 
gi|490938296|ref|WP_004800133.1|	glucose-6-phosphate isomerase [[Eubacterium] dolichum] 
gi|490938299|ref|WP_004800136.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938301|ref|WP_004800138.1|	pyruvate phosphate dikinase [[Eubacterium] dolichum] 
gi|490938302|ref|WP_004800139.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938304|ref|WP_004800141.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938305|ref|WP_004800142.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938308|ref|WP_004800145.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938309|ref|WP_004800146.1|	DNA polymerase III subunit alpha [[Eubacterium] dolichum] 
gi|490938312|ref|WP_004800149.1|	MULTISPECIES: cell division protein MraZ [Firmicutes] 
gi|490938314|ref|WP_004800151.1|	16S rRNA methyltransferase [[Eubacterium] dolichum] 
gi|490938316|ref|WP_004800153.1|	cell division protein FtsL [[Eubacterium] dolichum] 
gi|490938317|ref|WP_004800154.1|	penicillin-binding protein [[Eubacterium] dolichum] 
gi|490938319|ref|WP_004800156.1|	stage V sporulation protein D [[Eubacterium] dolichum] 
gi|490938320|ref|WP_004800157.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938322|ref|WP_004800159.1|	MULTISPECIES: phospho-N-acetylmuramoyl-pentapeptide-transferase [Firmicutes] 
gi|490938324|ref|WP_004800161.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [[Eubacterium] dolichum] 
gi|490938327|ref|WP_004800164.1|	MULTISPECIES: UDP pyrophosphate phosphatase [Firmicutes] 
gi|490938329|ref|WP_004800166.1|	GntR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490938330|ref|WP_004800167.1|	ABC transporter [[Eubacterium] dolichum] 
gi|490938332|ref|WP_004800169.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938343|ref|WP_004800180.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938345|ref|WP_004800182.1|	mobilization protein [[Eubacterium] dolichum] 
gi|490938347|ref|WP_004800184.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938349|ref|WP_004800186.1|	P-aminobenzoate synthetase [[Eubacterium] dolichum] 
gi|490938351|ref|WP_004800188.1|	succinate dehydrogenase cytochrome b556 subunit [[Eubacterium] dolichum] 
gi|490938353|ref|WP_004800190.1|	transcriptional regulator [[Eubacterium] dolichum] 
gi|490938355|ref|WP_004800192.1|	relaxase [[Eubacterium] dolichum] 
gi|490938357|ref|WP_004800194.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938359|ref|WP_004800196.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|488639669|ref|WP_002576327.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488639668|ref|WP_002576326.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|490938368|ref|WP_004800205.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488639667|ref|WP_002576325.1|	MULTISPECIES: XRE family transcriptional regulator [Firmicutes] 
gi|490938371|ref|WP_004800208.1|	bacitracin ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490938372|ref|WP_004800209.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|488639664|ref|WP_002576322.1|	MULTISPECIES: UDP pyrophosphate phosphatase [Firmicutes] 
gi|490938375|ref|WP_004800212.1|	RNA polymerase subunit sigma-73 [[Eubacterium] dolichum] 
gi|488639662|ref|WP_002576320.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938377|ref|WP_004800214.1|	integrase [[Eubacterium] dolichum] 
gi|488639660|ref|WP_002576318.1|	MULTISPECIES: integrase [Firmicutes] 
gi|490938380|ref|WP_004800217.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936834|ref|WP_004798671.1|	MULTISPECIES: transposase [Firmicutes] 
gi|490937477|ref|WP_004799314.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938381|ref|WP_004800218.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938384|ref|WP_004800221.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938386|ref|WP_004800223.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938387|ref|WP_004800224.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938390|ref|WP_004800227.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938391|ref|WP_004800228.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938393|ref|WP_004800230.1|	transcription antiterminator [[Eubacterium] dolichum] 
gi|490938396|ref|WP_004800233.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938397|ref|WP_004800234.1|	UDP-phosphate galactose phosphotransferase [[Eubacterium] dolichum] 
gi|490938400|ref|WP_004800237.1|	NAD-dependent epimerase [[Eubacterium] dolichum] 
gi|490938402|ref|WP_004800239.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938404|ref|WP_004800241.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938406|ref|WP_004800243.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938408|ref|WP_004800245.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938409|ref|WP_004800246.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938411|ref|WP_004800248.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938413|ref|WP_004800250.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938415|ref|WP_004800252.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938417|ref|WP_004800254.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938419|ref|WP_004800256.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938420|ref|WP_004800257.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938422|ref|WP_004800259.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938423|ref|WP_004800260.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938425|ref|WP_004800262.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938428|ref|WP_004800265.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938429|ref|WP_004800266.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938432|ref|WP_004800269.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938434|ref|WP_004800271.1|	RNA methyltransferase [[Eubacterium] dolichum] 
gi|490938435|ref|WP_004800272.1|	multidrug ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490938437|ref|WP_004800274.1|	uracil-DNA glycosylase [[Eubacterium] dolichum] 
gi|490938438|ref|WP_004800275.1|	iron transporter [[Eubacterium] dolichum] 
gi|490938439|ref|WP_004800276.1|	pyrroline-5-carboxylate reductase [[Eubacterium] dolichum] 
gi|490938441|ref|WP_004800278.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938442|ref|WP_004800279.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938444|ref|WP_004800281.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938445|ref|WP_004800282.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938450|ref|WP_004800287.1|	membrane protein [[Eubacterium] dolichum] 
gi|490938452|ref|WP_004800289.1|	pantothenate kinase [[Eubacterium] dolichum] 
gi|490938454|ref|WP_004800291.1|	phosphopantothenoylcysteine decarboxylase [[Eubacterium] dolichum] 
gi|490938456|ref|WP_004800293.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938457|ref|WP_004800294.1|	GTP-binding protein [[Eubacterium] dolichum] 
gi|490938459|ref|WP_004800296.1|	cell wall hydrolase [[Eubacterium] dolichum] 
gi|490938463|ref|WP_004800300.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938464|ref|WP_004800301.1|	asparaginase [[Eubacterium] dolichum] 
gi|490938466|ref|WP_004800303.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938467|ref|WP_004800304.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938469|ref|WP_004800306.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938470|ref|WP_004800307.1|	MULTISPECIES: MarR family transcriptional regulator [Firmicutes] 
gi|490938472|ref|WP_004800309.1|	MULTISPECIES: multidrug transporter MatE [Firmicutes] 
gi|490938474|ref|WP_004800311.1|	MULTISPECIES: glutamate racemase [Firmicutes] 
gi|490938476|ref|WP_004800313.1|	aminopeptidase [[Eubacterium] dolichum] 
gi|490938478|ref|WP_004800315.1|	glutamyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490938479|ref|WP_004800316.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938481|ref|WP_004800318.1|	MULTISPECIES: peptidase M24 [Firmicutes] 
gi|490938483|ref|WP_004800320.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938485|ref|WP_004800322.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938487|ref|WP_004800324.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938489|ref|WP_004800326.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938490|ref|WP_004800327.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938491|ref|WP_004800328.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938493|ref|WP_004800330.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938495|ref|WP_004800332.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938496|ref|WP_004800333.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938497|ref|WP_004800334.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938498|ref|WP_004800335.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938501|ref|WP_004800338.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938503|ref|WP_004800340.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938505|ref|WP_004800342.1|	ATPase [[Eubacterium] dolichum] 
gi|490938506|ref|WP_004800343.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938508|ref|WP_004800345.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938509|ref|WP_004800346.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490938511|ref|WP_004800348.1|	ribonucleotide-diphosphate reductase subunit alpha [[Eubacterium] dolichum] 
gi|490938512|ref|WP_004800349.1|	ribonucleotide-diphosphate reductase subunit beta [[Eubacterium] dolichum] 
gi|490938514|ref|WP_004800351.1|	L-lactate dehydrogenase [[Eubacterium] dolichum] 
gi|490938516|ref|WP_004800353.1|	NADH dehydrogenase [[Eubacterium] dolichum] 
gi|490938518|ref|WP_004800355.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938520|ref|WP_004800357.1|	MULTISPECIES: aankyrin [Firmicutes] 
gi|490938522|ref|WP_004800359.1|	elongation factor G [[Eubacterium] dolichum] 
gi|490938524|ref|WP_004800361.1|	peptidase [[Eubacterium] dolichum] 
gi|490938526|ref|WP_004800363.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938528|ref|WP_004800365.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938530|ref|WP_004800367.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490938532|ref|WP_004800369.1|	hypothetical protein [[Eubacterium] dolichum] 
