gi|494094725|ref|WP_007035549.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494096292|ref|WP_007037110.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628363|ref|WP_002565063.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096293|ref|WP_007037111.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096294|ref|WP_007037112.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096295|ref|WP_007037113.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096296|ref|WP_007037114.1|	heat shock protein Hsp20 [[Clostridium] bolteae] 
gi|488628366|ref|WP_002565066.1|	amidohydrolase [[Clostridium] bolteae] 
gi|488628367|ref|WP_002565067.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628368|ref|WP_002565068.1|	multidrug transporter MatE [[Clostridium] bolteae] 
gi|488628369|ref|WP_002565069.1|	oligopeptidase PepB [[Clostridium] bolteae] 
gi|488628370|ref|WP_002565070.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|488628371|ref|WP_002565071.1|	MULTISPECIES: murein hydrolase transporter LrgA [Clostridiales] 
gi|494096297|ref|WP_007037115.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628373|ref|WP_002565073.1|	MULTISPECIES: (p)ppGpp synthetase [Clostridiales] 
gi|488628374|ref|WP_002565074.1|	MULTISPECIES: ATP-binding protein [Clostridiales] 
gi|494096298|ref|WP_007037116.1|	flagellar protein FliB [[Clostridium] bolteae] 
gi|488628376|ref|WP_002565076.1|	phosphohydrolase [[Clostridium] bolteae] 
gi|488628377|ref|WP_002565077.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628378|ref|WP_002565078.1|	MULTISPECIES: (2Fe-2S)-binding protein [Clostridiales] 
gi|488628379|ref|WP_002565079.1|	MULTISPECIES: uracil-xanthine permease [Clostridiales] 
gi|488628380|ref|WP_002565080.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628381|ref|WP_002565081.1|	xanthine dehydrogenase [[Clostridium] bolteae] 
gi|488628382|ref|WP_002565082.1|	MULTISPECIES: (2Fe-2S)-binding protein [Clostridiales] 
gi|488628383|ref|WP_002565083.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488628384|ref|WP_002565084.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096299|ref|WP_007037117.1|	peptidase M20 [[Clostridium] bolteae] 
gi|494096300|ref|WP_007037118.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628387|ref|WP_002565087.1|	MULTISPECIES: diaminopropionate ammonia-lyase [Clostridiales] 
gi|494096301|ref|WP_007037119.1|	(2Fe-2S)-binding protein [[Clostridium] bolteae] 
gi|494096302|ref|WP_007037120.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628390|ref|WP_002565090.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628391|ref|WP_002565091.1|	amidohydrolase [[Clostridium] bolteae] 
gi|488628392|ref|WP_002565092.1|	amidohydrolase [[Clostridium] bolteae] 
gi|494096303|ref|WP_007037121.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628394|ref|WP_002565094.1|	dihydropyrimidinase [[Clostridium] bolteae] 
gi|488628395|ref|WP_002565095.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628396|ref|WP_002565096.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628397|ref|WP_002565097.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628398|ref|WP_002565098.1|	sugar ABC transporter permease [[Clostridium] bolteae] 
gi|488628399|ref|WP_002565099.1|	sugar ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488628400|ref|WP_002565100.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096304|ref|WP_007037122.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096305|ref|WP_007037123.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628402|ref|WP_002565102.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628403|ref|WP_002565103.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628404|ref|WP_002565104.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096306|ref|WP_007037124.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628405|ref|WP_002565105.1|	carbohydrate kinase [[Clostridium] bolteae] 
gi|494096307|ref|WP_007037125.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628407|ref|WP_002565107.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628408|ref|WP_002565108.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096308|ref|WP_007037126.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096309|ref|WP_007037127.1|	sugar ABC transporter permease [[Clostridium] bolteae] 
gi|494096310|ref|WP_007037128.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096311|ref|WP_007037129.1|	transcriptional regulator [[Clostridium] bolteae] 
gi|488628413|ref|WP_002565113.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096312|ref|WP_007037130.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628415|ref|WP_002565115.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096313|ref|WP_007037131.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628417|ref|WP_002565117.1|	alpha-galactosidase [[Clostridium] bolteae] 
gi|488628418|ref|WP_002565118.1|	MULTISPECIES: sugar ABC transporter permease [Lachnoclostridium] 
gi|494096314|ref|WP_007037132.1|	sugar ABC transporter permease [[Clostridium] bolteae] 
gi|488628420|ref|WP_002565120.1|	MULTISPECIES: sugar ABC transporter substrate-binding protein [Clostridiales] 
gi|494096315|ref|WP_007037133.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628421|ref|WP_002565121.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|488628422|ref|WP_002565122.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628423|ref|WP_002565123.1|	RelA/SpoT protein [[Clostridium] bolteae] 
gi|488628424|ref|WP_002565124.1|	membrane protein [[Clostridium] bolteae] 
gi|494096316|ref|WP_007037134.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628425|ref|WP_002565125.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [[Clostridium] bolteae] 
gi|488628426|ref|WP_002565126.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096317|ref|WP_007037135.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096318|ref|WP_007037136.1|	xylulokinase [[Clostridium] bolteae] 
gi|494096319|ref|WP_007037137.1|	fucose isomerase [[Clostridium] bolteae] 
gi|494096320|ref|WP_007037138.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628430|ref|WP_002565130.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|494096321|ref|WP_007037139.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096322|ref|WP_007037140.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628432|ref|WP_002565132.1|	radical SAM protein [[Clostridium] bolteae] 
gi|494096323|ref|WP_007037141.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628434|ref|WP_002565134.1|	citrate transporter [[Clostridium] bolteae] 
gi|488628435|ref|WP_002565135.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096324|ref|WP_007037142.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096325|ref|WP_007037143.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096326|ref|WP_007037144.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628438|ref|WP_002565138.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628439|ref|WP_002565139.1|	3-isopropylmalate dehydratase [[Clostridium] bolteae] 
gi|488628440|ref|WP_002565140.1|	3-isopropylmalate dehydratase large subunit [[Clostridium] bolteae] 
gi|488628441|ref|WP_002565141.1|	mandelate racemase/muconate lactonizing protein [[Clostridium] bolteae] 
gi|488628442|ref|WP_002565142.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096327|ref|WP_007037145.1|	sugar ABC transporter permease [[Clostridium] bolteae] 
gi|494096328|ref|WP_007037146.1|	ABC transporter permease [[Clostridium] bolteae] 
gi|494096329|ref|WP_007037147.1|	glucosidase [[Clostridium] bolteae] 
gi|488628446|ref|WP_002565146.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628447|ref|WP_002565147.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096330|ref|WP_007037148.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628448|ref|WP_002565148.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488641636|ref|WP_002578292.1|	transcriptional regulator [[Clostridium] bolteae] 
gi|488628450|ref|WP_002565150.1|	histidine kinase [[Clostridium] bolteae] 
gi|488628451|ref|WP_002565151.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628452|ref|WP_002565152.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628453|ref|WP_002565153.1|	acriflavin resistance protein [[Clostridium] bolteae] 
gi|488628454|ref|WP_002565154.1|	RND transporter [[Clostridium] bolteae] 
gi|494096331|ref|WP_007037149.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096332|ref|WP_007037150.1|	GNAT family acetyltransferase [[Clostridium] bolteae] 
gi|494096333|ref|WP_007037151.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096334|ref|WP_007037152.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628457|ref|WP_002565157.1|	MULTISPECIES: heme response regulator HssR [Clostridiales] 
gi|488628458|ref|WP_002565158.1|	histidine kinase [[Clostridium] bolteae] 
gi|494096335|ref|WP_007037153.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096336|ref|WP_007037154.1|	MFS transporter [[Clostridium] bolteae] 
gi|494096337|ref|WP_007037155.1|	histidine kinase [[Clostridium] bolteae] 
gi|494096338|ref|WP_007037156.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494096339|ref|WP_007037157.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494096340|ref|WP_007037158.1|	lysozyme [[Clostridium] bolteae] 
gi|494096341|ref|WP_007037159.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488627585|ref|WP_002564285.1|	transposase [[Clostridium] bolteae] 
gi|488631066|ref|WP_002567754.1|	Fe-S ferredoxin [[Clostridium] bolteae] 
gi|494096342|ref|WP_007037160.1|	transcriptional regulator [[Clostridium] bolteae] 
gi|494096343|ref|WP_007037161.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631063|ref|WP_002567751.1|	DNA mismatch repair protein MutT [[Clostridium] bolteae] 
gi|488631062|ref|WP_002567750.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631061|ref|WP_002567749.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631060|ref|WP_002567748.1|	chromosome segregation protein SMC [[Clostridium] bolteae] 
gi|488631059|ref|WP_002567747.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096344|ref|WP_007037162.1|	citrate synthase [[Clostridium] bolteae] 
gi|494096345|ref|WP_007037163.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096346|ref|WP_007037164.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631056|ref|WP_002567744.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096347|ref|WP_007037165.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631054|ref|WP_002567742.1|	MULTISPECIES: signal recognition particle protein Srp54 [Clostridiales] 
gi|488631053|ref|WP_002567741.1|	MULTISPECIES: 30S ribosomal protein S16 [Clostridiales] 
gi|488631052|ref|WP_002567740.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488631051|ref|WP_002567739.1|	16S rRNA-processing protein RimM [[Clostridium] bolteae] 
gi|494096348|ref|WP_007037166.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096349|ref|WP_007037167.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096350|ref|WP_007037168.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631050|ref|WP_002567738.1|	DNA mismatch repair protein MutL [[Clostridium] bolteae] 
gi|488631049|ref|WP_002567737.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [[Clostridium] bolteae] 
gi|488631048|ref|WP_002567736.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488631047|ref|WP_002567735.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488631046|ref|WP_002567734.1|	DNA repair protein RadC [[Clostridium] bolteae] 
gi|488631045|ref|WP_002567733.1|	MULTISPECIES: rod shape-determining protein MreC [Clostridiales] 
gi|488631044|ref|WP_002567732.1|	rod shape-determining protein MreD [[Clostridium] bolteae] 
gi|488631043|ref|WP_002567731.1|	penicillin-binding protein [[Clostridium] bolteae] 
gi|488631042|ref|WP_002567730.1|	MULTISPECIES: septum site-determining protein MinC [Clostridiales] 
gi|488631041|ref|WP_002567729.1|	MULTISPECIES: septum site-determining protein MinD [Clostridiales] 
gi|488631040|ref|WP_002567728.1|	MULTISPECIES: cell division topological specificity factor MinE [Clostridiales] 
gi|488631039|ref|WP_002567727.1|	MULTISPECIES: rod shape-determining protein RodA [Clostridiales] 
gi|488631038|ref|WP_002567726.1|	MULTISPECIES: methylglyoxal synthase [Clostridiales] 
gi|488631037|ref|WP_002567725.1|	MULTISPECIES: peptidase S11 [Lachnoclostridium] 
gi|494096351|ref|WP_007037169.1|	twitching motility protein PilT [[Clostridium] bolteae] 
gi|494096352|ref|WP_007037170.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631035|ref|WP_002567723.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631034|ref|WP_002567722.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631033|ref|WP_002567721.1|	MULTISPECIES: cell division protein SepF [Clostridiales] 
gi|488631032|ref|WP_002567720.1|	3-dehydroquinate synthase [[Clostridium] bolteae] 
gi|488631031|ref|WP_002567719.1|	MULTISPECIES: peptidase A8 [Clostridiales] 
gi|494096353|ref|WP_007037171.1|	RNA pseudouridine synthase [[Clostridium] bolteae] 
gi|494096354|ref|WP_007037172.1|	cytidylate kinase [[Clostridium] bolteae] 
gi|488631028|ref|WP_002567716.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488631027|ref|WP_002567715.1|	MULTISPECIES: glutamine amidotransferase [Clostridiales] 
gi|494096355|ref|WP_007037173.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096356|ref|WP_007037174.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096357|ref|WP_007037175.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631025|ref|WP_002567713.1|	transcriptional regulator [[Clostridium] bolteae] 
gi|488631024|ref|WP_002567712.1|	MULTISPECIES: ATPase [Clostridiales] 
gi|488631023|ref|WP_002567711.1|	PTS cellobiose transporter subunit IIBC [[Clostridium] bolteae] 
gi|488631022|ref|WP_002567710.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631021|ref|WP_002567709.1|	transcription antiterminator BglG [[Clostridium] bolteae] 
gi|488631020|ref|WP_002567708.1|	MULTISPECIES: PTS cellobiose transporter subunit IIA [Clostridiales] 
gi|494096358|ref|WP_007037176.1|	PTS cellobiose transporter subunit IIB [[Clostridium] bolteae] 
gi|488631018|ref|WP_002567706.1|	MULTISPECIES: PTS cellobiose transporter subunit IIC [Clostridiales] 
gi|494096359|ref|WP_007037177.1|	proline reductase [[Clostridium] bolteae] 
gi|488631016|ref|WP_002567704.1|	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase [[Clostridium] bolteae] 
gi|488631015|ref|WP_002567703.1|	peptidase M20 [[Clostridium] bolteae] 
gi|488631014|ref|WP_002567702.1|	copper homeostasis protein CutC [[Clostridium] bolteae] 
gi|488631013|ref|WP_002567701.1|	membrane protein [[Clostridium] bolteae] 
gi|494096360|ref|WP_007037178.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631011|ref|WP_002567699.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096361|ref|WP_007037179.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096362|ref|WP_007037180.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631009|ref|WP_002567697.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631008|ref|WP_002567696.1|	MULTISPECIES: heat shock protein Hsp20 [Clostridiales] 
gi|488631007|ref|WP_002567695.1|	heat shock protein Hsp20 [[Clostridium] bolteae] 
gi|494096363|ref|WP_007037181.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096364|ref|WP_007037182.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096365|ref|WP_007037183.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631003|ref|WP_002567691.1|	membrane protein [[Clostridium] bolteae] 
gi|488631002|ref|WP_002567690.1|	riboflavin biosynthesis protein [[Clostridium] bolteae] 
gi|488631001|ref|WP_002567689.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631000|ref|WP_002567688.1|	ribonucleoside triphosphate reductase [[Clostridium] bolteae] 
gi|494096366|ref|WP_007037184.1|	phenazine biosynthesis protein PhzF [[Clostridium] bolteae] 
gi|494096368|ref|WP_007037185.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096369|ref|WP_007037186.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630995|ref|WP_002567683.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096370|ref|WP_007037187.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630993|ref|WP_002567681.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630992|ref|WP_002567680.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630980|ref|WP_002567668.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630979|ref|WP_002567667.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630978|ref|WP_002567666.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096371|ref|WP_007037188.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630977|ref|WP_002567665.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630976|ref|WP_002567664.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630975|ref|WP_002567663.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488648593|ref|WP_002585212.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630974|ref|WP_002567662.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494096372|ref|WP_007037189.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096373|ref|WP_007037190.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630972|ref|WP_002567660.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630971|ref|WP_002567659.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|494096374|ref|WP_007037191.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630970|ref|WP_002567658.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488630969|ref|WP_002567657.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488630968|ref|WP_002567656.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630967|ref|WP_002567655.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630966|ref|WP_002567654.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|494096375|ref|WP_007037192.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096376|ref|WP_007037193.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096377|ref|WP_007037194.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096378|ref|WP_007037195.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096379|ref|WP_007037196.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630963|ref|WP_002567651.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096380|ref|WP_007037197.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494096381|ref|WP_007037198.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630962|ref|WP_002567650.1|	MULTISPECIES: HxlR family transcriptional regulator [Clostridiales] 
gi|494096382|ref|WP_007037199.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630961|ref|WP_002567649.1|	nitroreductase [[Clostridium] bolteae] 
gi|488630960|ref|WP_002567648.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630959|ref|WP_002567647.1|	glutathionylspermidine synthase [[Clostridium] bolteae] 
