gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489889099|ref|WP_003792549.1|	threonyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489889100|ref|WP_003792550.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489889101|ref|WP_003792551.1|	carboxylate--amine ligase [Actinomyces odontolyticus] 
gi|489889102|ref|WP_003792552.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889103|ref|WP_003792553.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889105|ref|WP_003792555.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889106|ref|WP_003792556.1|	alpha-amylase [Actinomyces odontolyticus] 
gi|489889107|ref|WP_003792557.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889108|ref|WP_003792558.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889109|ref|WP_003792559.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889110|ref|WP_003792560.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889111|ref|WP_003792561.1|	peptidase [Actinomyces odontolyticus] 
gi|489889112|ref|WP_003792562.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889113|ref|WP_003792563.1|	glycogen debranching protein [Actinomyces odontolyticus] 
gi|489889115|ref|WP_003792565.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889116|ref|WP_003792566.1|	3'-5' exonuclease [Actinomyces odontolyticus] 
gi|489889117|ref|WP_003792567.1|	1-deoxy-D-xylulose-5-phosphate synthase [Actinomyces odontolyticus] 
gi|489889118|ref|WP_003792568.1|	peptidase S9 [Actinomyces odontolyticus] 
gi|489889119|ref|WP_003792569.1|	chloride channel protein [Actinomyces odontolyticus] 
gi|489889120|ref|WP_003792570.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889121|ref|WP_003792571.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489889122|ref|WP_003792572.1|	potassium transporter TrkA [Actinomyces odontolyticus] 
gi|489889123|ref|WP_003792573.1|	portal protein [Actinomyces odontolyticus] 
gi|489889124|ref|WP_003792574.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889125|ref|WP_003792575.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489889126|ref|WP_003792576.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889127|ref|WP_003792577.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489889128|ref|WP_003792578.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889129|ref|WP_003792579.1|	nucleotide pyrophosphatase [Actinomyces odontolyticus] 
gi|489889131|ref|WP_003792581.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889132|ref|WP_003792582.1|	DNA topoisomerase IV subunit A [Actinomyces odontolyticus] 
gi|489889133|ref|WP_003792583.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889134|ref|WP_003792584.1|	fructokinase [Actinomyces odontolyticus] 
gi|489889135|ref|WP_003792585.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489889136|ref|WP_003792586.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489889137|ref|WP_003792587.1|	GNAT family acetyltraansferase [Actinomyces odontolyticus] 
gi|489889139|ref|WP_003792589.1|	DNA topoisomerase IV subunit B [Actinomyces odontolyticus] 
gi|489889140|ref|WP_003792590.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889141|ref|WP_003792591.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489889142|ref|WP_003792592.1|	hemin ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889143|ref|WP_003792593.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889144|ref|WP_003792594.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889145|ref|WP_003792595.1|	MULTISPECIES: nucleoside diphosphate kinase [Actinomyces] 
gi|489889146|ref|WP_003792596.1|	dihydroxyacetone kinase [Actinomyces odontolyticus] 
gi|489889147|ref|WP_003792597.1|	dihydroxyacetone kinase [Actinomyces odontolyticus] 
gi|489889148|ref|WP_003792598.1|	dihydroxyacetone kinase [Actinomyces odontolyticus] 
gi|489889149|ref|WP_003792599.1|	tetrahydrofolate synthase [Actinomyces odontolyticus] 
gi|489889151|ref|WP_003792601.1|	ribosomal protein L7/L12 [Actinomyces odontolyticus] 
gi|489889152|ref|WP_003792602.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889153|ref|WP_003792603.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889154|ref|WP_003792604.1|	bis(5'-nucleosyl)-tetraphosphatase [Actinomyces odontolyticus] 
gi|489889155|ref|WP_003792605.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889156|ref|WP_003792606.1|	isoleucyl-tRNA synthase [Actinomyces odontolyticus] 
gi|489889157|ref|WP_003792607.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489889158|ref|WP_003792608.1|	permease [Actinomyces odontolyticus] 
gi|489889159|ref|WP_003792609.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889161|ref|WP_003792611.1|	major facilitator transporter [Actinomyces odontolyticus] 
gi|489889163|ref|WP_003792613.1|	sulfatase [Actinomyces odontolyticus] 
gi|489889164|ref|WP_003792614.1|	tCrp/Fnr family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889165|ref|WP_003792615.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889166|ref|WP_003792616.1|	permease [Actinomyces odontolyticus] 
gi|489889167|ref|WP_003792617.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889168|ref|WP_003792618.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889169|ref|WP_003792619.1|	oxidoreductase [Actinomyces odontolyticus] 
gi|489889170|ref|WP_003792620.1|	sn-glycerol-3-phosphate dehydrogenase subunit C [Actinomyces odontolyticus] 
gi|489889171|ref|WP_003792621.1|	glycerol-3-phosphate dehydrogenase [Actinomyces odontolyticus] 
gi|489889172|ref|WP_003792622.1|	glycerol-3-phosphate dehydrogenase [Actinomyces odontolyticus] 
gi|489889174|ref|WP_003792624.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889175|ref|WP_003792625.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889176|ref|WP_003792626.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889177|ref|WP_003792627.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889178|ref|WP_003792628.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889179|ref|WP_003792629.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889180|ref|WP_003792630.1|	histidine phosphatase [Actinomyces odontolyticus] 
gi|489889181|ref|WP_003792631.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889182|ref|WP_003792632.1|	nicotinic acid mononucleotide adenylyltransferase [Actinomyces odontolyticus] 
gi|489889183|ref|WP_003792633.1|	gamma-glutamyl phosphate reductase [Actinomyces odontolyticus] 
gi|489889184|ref|WP_003792634.1|	gamma-glutamyl kinase [Actinomyces odontolyticus] 
gi|489889185|ref|WP_003792635.1|	GTPase CgtA [Actinomyces odontolyticus] 
gi|489889187|ref|WP_003792637.1|	MULTISPECIES: 50S ribosomal protein L27 [Actinobacteria] 
gi|489889188|ref|WP_003792638.1|	50S ribosomal protein L21 [Actinomyces odontolyticus] 
gi|489889189|ref|WP_003792639.1|	RNA-binding protein [Actinomyces odontolyticus] 
gi|489889190|ref|WP_003792640.1|	cytochrome BD ubiquinol oxidase subunit I [Actinomyces odontolyticus] 
gi|489889191|ref|WP_003792641.1|	cytochrome C oxidase assembly protein [Actinomyces odontolyticus] 
gi|489889192|ref|WP_003792642.1|	cysteine ABC transporter permease [Actinomyces odontolyticus] 
gi|489889194|ref|WP_003792644.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889195|ref|WP_003792645.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489889196|ref|WP_003792646.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889197|ref|WP_003792647.1|	LuxR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889198|ref|WP_003792648.1|	ribonuclease III [Actinomyces odontolyticus] 
gi|489889199|ref|WP_003792649.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889200|ref|WP_003792650.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889201|ref|WP_003792651.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889202|ref|WP_003792652.1|	methyltransferase [Actinomyces odontolyticus] 
gi|489889204|ref|WP_003792654.1|	helicase [Actinomyces odontolyticus] 
gi|489889205|ref|WP_003792655.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889206|ref|WP_003792656.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889207|ref|WP_003792657.1|	MULTISPECIES: 50S ribosomal protein L28 [Actinobacteria] 
gi|489889208|ref|WP_003792658.1|	1-pyrroline-5-carboxylate dehydrogenase [Actinomyces odontolyticus] 
gi|489889209|ref|WP_003792659.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889210|ref|WP_003792660.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889211|ref|WP_003792661.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889212|ref|WP_003792662.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889213|ref|WP_003792663.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889214|ref|WP_003792664.1|	RNA methyltransferase [Actinomyces odontolyticus] 
gi|489889216|ref|WP_003792666.1|	50S ribosomal protein L20 [Actinomyces odontolyticus] 
gi|489889217|ref|WP_003792667.1|	MULTISPECIES: 50S ribosomal protein L35 [Actinomyces] 
gi|489889218|ref|WP_003792668.1|	MULTISPECIES: translation initiation factor IF-3 [Actinobacteria] 
gi|489889219|ref|WP_003792669.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889220|ref|WP_003792670.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Actinomyces odontolyticus] 
gi|489889222|ref|WP_003792672.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889223|ref|WP_003792673.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889224|ref|WP_003792674.1|	DNA polymerase III subunit alpha [Actinomyces odontolyticus] 
gi|489889225|ref|WP_003792675.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889226|ref|WP_003792676.1|	RNA pseudouridine synthase [Actinomyces odontolyticus] 
gi|489889227|ref|WP_003792677.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889228|ref|WP_003792678.1|	cell division protein DivIVA [Actinomyces odontolyticus] 
gi|489889230|ref|WP_003792680.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889231|ref|WP_003792681.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889233|ref|WP_003792683.1|	polyprenyl diphosphate synthase [Actinomyces odontolyticus] 
gi|489889234|ref|WP_003792684.1|	copper oxidase [Actinomyces odontolyticus] 
gi|489889235|ref|WP_003792685.1|	cell division protein FtsZ [Actinomyces odontolyticus] 
gi|489889236|ref|WP_003792686.1|	cell division protein FtsQ [Actinomyces odontolyticus] 
gi|489889237|ref|WP_003792687.1|	UDP-N-acetylmuramate--alanine ligase [Actinomyces odontolyticus] 
gi|489889238|ref|WP_003792688.1|	UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase [Actinomyces odontolyticus] 
gi|489889239|ref|WP_003792689.1|	cell division protein FtsW [Actinomyces odontolyticus] 
gi|489889240|ref|WP_003792690.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889241|ref|WP_003792691.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Actinomyces odontolyticus] 
gi|489889242|ref|WP_003792692.1|	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Actinomyces odontolyticus] 
gi|489889243|ref|WP_003792693.1|	penicillin-binding protein [Actinomyces odontolyticus] 
gi|489889244|ref|WP_003792694.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889245|ref|WP_003792695.1|	16S rRNA methyltransferase [Actinomyces odontolyticus] 
gi|489889246|ref|WP_003792696.1|	cell division protein MraZ [Actinomyces odontolyticus] 
gi|489889247|ref|WP_003792697.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889248|ref|WP_003792698.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889249|ref|WP_003792699.1|	SAM-dependent methyltransferase [Actinomyces odontolyticus] 
gi|489889250|ref|WP_003792700.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889251|ref|WP_003792701.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489889252|ref|WP_003792702.1|	3-phosphoglycerate dehydrogenase [Actinomyces odontolyticus] 
gi|489889253|ref|WP_003792703.1|	long-chain fatty acid--CoA ligase [Actinomyces odontolyticus] 
gi|489889254|ref|WP_003792704.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489889256|ref|WP_003792706.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889257|ref|WP_003792707.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489889258|ref|WP_003792708.1|	ArsR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889259|ref|WP_003792709.1|	lactate dehydrogenase [Actinomyces odontolyticus] 
gi|489889260|ref|WP_003792710.1|	ATP-dependent helicase [Actinomyces odontolyticus] 
gi|489889261|ref|WP_003792711.1|	ATP-binding protein [Actinomyces odontolyticus] 
gi|489889262|ref|WP_003792712.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489889263|ref|WP_003792713.1|	diaminopimelate epimerase [Actinomyces odontolyticus] 
gi|489889264|ref|WP_003792714.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Actinomyces odontolyticus] 
gi|489889266|ref|WP_003792716.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489889267|ref|WP_003792717.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489889268|ref|WP_003792718.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [Actinomyces odontolyticus] 
gi|489889269|ref|WP_003792719.1|	competence protein [Actinomyces odontolyticus] 
gi|489889270|ref|WP_003792720.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889271|ref|WP_003792721.1|	recombinase RecA [Actinomyces odontolyticus] 
gi|489889272|ref|WP_003792722.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889273|ref|WP_003792723.1|	XRE family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889274|ref|WP_003792724.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889275|ref|WP_003792725.1|	cell division protein FtsK [Actinomyces odontolyticus] 
gi|489889276|ref|WP_003792726.1|	carbohydrate kinase [Actinomyces odontolyticus] 
gi|489889278|ref|WP_003792728.1|	ribonuclease [Actinomyces odontolyticus] 
gi|489889279|ref|WP_003792729.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889280|ref|WP_003792730.1|	multidrug ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489889281|ref|WP_003792731.1|	multidrug ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489889282|ref|WP_003792732.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889283|ref|WP_003792733.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889284|ref|WP_003792734.1|	dihydrodipicolinate synthase [Actinomyces odontolyticus] 
gi|489889285|ref|WP_003792735.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489889286|ref|WP_003792736.1|	dihydrodipicolinate reductase [Actinomyces odontolyticus] 
gi|489889287|ref|WP_003792737.1|	zinc protease [Actinomyces odontolyticus] 
gi|489889288|ref|WP_003792738.1|	polynucleotide phosphorylase [Actinomyces odontolyticus] 
gi|489889290|ref|WP_003792740.1|	MULTISPECIES: 30S ribosomal protein S15 [Actinomyces] 
gi|489889291|ref|WP_003792741.1|	riboflavin kinase [Actinomyces odontolyticus] 
gi|489889292|ref|WP_003792742.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889293|ref|WP_003792743.1|	ribosome-binding factor A [Actinomyces odontolyticus] 
gi|489889294|ref|WP_003792744.1|	translation initiation factor IF-2 [Actinomyces odontolyticus] 
gi|489889295|ref|WP_003792745.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889296|ref|WP_003792746.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889297|ref|WP_003792747.1|	transcription elongation factor NusA [Actinomyces odontolyticus] 
gi|489889298|ref|WP_003792748.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889299|ref|WP_003792749.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889300|ref|WP_003792750.1|	nitrate ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889301|ref|WP_003792751.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489889302|ref|WP_003792752.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889303|ref|WP_003792753.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889304|ref|WP_003792754.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889306|ref|WP_003792756.1|	3-isopropylmalate dehydrogenase [Actinomyces odontolyticus] 
gi|489889307|ref|WP_003792757.1|	sialidase [Actinomyces odontolyticus] 
gi|489889308|ref|WP_003792758.1|	ketol-acid reductoisomerase [Actinomyces odontolyticus] 
gi|489889309|ref|WP_003792759.1|	MULTISPECIES: acetolactate synthase [Actinomyces] 
gi|489889310|ref|WP_003792760.1|	acetolactate synthase [Actinomyces odontolyticus] 
gi|489889311|ref|WP_003792761.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889312|ref|WP_003792762.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889313|ref|WP_003792763.1|	transporter [Actinomyces odontolyticus] 
gi|489889314|ref|WP_003792764.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889315|ref|WP_003792765.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889316|ref|WP_003792766.1|	tyrosyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489889317|ref|WP_003792767.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889318|ref|WP_003792768.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889319|ref|WP_003792769.1|	polymerase [Actinomyces odontolyticus] 
gi|489889321|ref|WP_003792771.1|	argininosuccinate synthase [Actinomyces odontolyticus] 
gi|489889322|ref|WP_003792772.1|	arginine repressor [Actinomyces odontolyticus] 
gi|489889323|ref|WP_003792773.1|	flavodoxin [Actinomyces odontolyticus] 
gi|489889324|ref|WP_003792774.1|	phenylalanyl-tRNA synthetase subunit beta [Actinomyces odontolyticus] 
gi|489889325|ref|WP_003792775.1|	phenylalanyl-tRNA synthetase subunit alpha [Actinomyces odontolyticus] 
gi|489889326|ref|WP_003792776.1|	3-methyl-2-oxobutanoate hydroxymethyltransferase [Actinomyces odontolyticus] 
gi|489889327|ref|WP_003792777.1|	methionine aminopeptidase [Actinomyces odontolyticus] 
gi|489889329|ref|WP_003792779.1|	polyphosphate glucokinase [Actinomyces odontolyticus] 
gi|489889330|ref|WP_003792780.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889331|ref|WP_003792781.1|	alpha-L-fucosidase [Actinomyces odontolyticus] 
gi|489889332|ref|WP_003792782.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889333|ref|WP_003792783.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889334|ref|WP_003792784.1|	hypothetical protein [Actinomyces odontolyticus] 
