gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500388|ref|WP_005358082.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500389|ref|WP_005358083.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500390|ref|WP_005358084.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500391|ref|WP_005358085.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500392|ref|WP_005358086.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500399|ref|WP_005358093.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500401|ref|WP_005358095.1|	GTPase [[Eubacterium] siraeum] 
gi|491500403|ref|WP_005358097.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500404|ref|WP_005358098.1|	GntR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491500406|ref|WP_005358100.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491500408|ref|WP_005358102.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500411|ref|WP_005358105.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500412|ref|WP_005358106.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500413|ref|WP_005358107.1|	oxaloacetate decarboxylase [[Eubacterium] siraeum] 
gi|491500414|ref|WP_005358108.1|	acetyl-CoA carboxylase [[Eubacterium] siraeum] 
gi|491500415|ref|WP_005358109.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500416|ref|WP_005358110.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500419|ref|WP_005358113.1|	RNA pseudouridine synthase [[Eubacterium] siraeum] 
gi|491500422|ref|WP_005358116.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500425|ref|WP_005358119.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500428|ref|WP_005358122.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500431|ref|WP_005358125.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500433|ref|WP_005358127.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500435|ref|WP_005358129.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500437|ref|WP_005358131.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500439|ref|WP_005358133.1|	sodium:glutamate symporter [[Eubacterium] siraeum] 
gi|491500441|ref|WP_005358135.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500444|ref|WP_005358138.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500445|ref|WP_005358139.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500446|ref|WP_005358140.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500447|ref|WP_005358141.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500448|ref|WP_005358142.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500449|ref|WP_005358143.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500452|ref|WP_005358146.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500455|ref|WP_005358149.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500458|ref|WP_005358152.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500460|ref|WP_005358154.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500463|ref|WP_005358157.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500466|ref|WP_005358160.1|	radical SAM protein [[Eubacterium] siraeum] 
gi|491500469|ref|WP_005358163.1|	radical SAM protein [[Eubacterium] siraeum] 
gi|491500472|ref|WP_005358166.1|	MarR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491500475|ref|WP_005358169.1|	peptide ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491500478|ref|WP_005358172.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500481|ref|WP_005358175.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500484|ref|WP_005358178.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500486|ref|WP_005358180.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500488|ref|WP_005358182.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500491|ref|WP_005358185.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500493|ref|WP_005358187.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500496|ref|WP_005358190.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500499|ref|WP_005358193.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500500|ref|WP_005358194.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500501|ref|WP_005358195.1|	peptide ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491500503|ref|WP_005358197.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500504|ref|WP_005358198.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500506|ref|WP_005358200.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500507|ref|WP_005358201.1|	NAD synthetase [[Eubacterium] siraeum] 
gi|491500509|ref|WP_005358203.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500511|ref|WP_005358205.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500512|ref|WP_005358206.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500515|ref|WP_005358209.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500521|ref|WP_005358214.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500523|ref|WP_005358216.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500525|ref|WP_005358218.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500526|ref|WP_005358219.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500528|ref|WP_005358221.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500530|ref|WP_005358223.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500531|ref|WP_005358224.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500533|ref|WP_005358226.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500535|ref|WP_005358228.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500537|ref|WP_005358230.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500539|ref|WP_005358232.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500540|ref|WP_005358233.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500541|ref|WP_005358234.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500542|ref|WP_005358235.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500543|ref|WP_005358236.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500544|ref|WP_005358237.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500545|ref|WP_005358238.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500548|ref|WP_005358241.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500549|ref|WP_005358242.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500551|ref|WP_005358244.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500553|ref|WP_005358246.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500554|ref|WP_005358247.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500555|ref|WP_005358248.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500556|ref|WP_005358249.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500558|ref|WP_005358251.1|	anaerobic ribonucleoside-triphosphate reductase [[Eubacterium] siraeum] 
gi|491500559|ref|WP_005358252.1|	sporulation protein [[Eubacterium] siraeum] 
gi|491500560|ref|WP_005358253.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500561|ref|WP_005358254.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500563|ref|WP_005358256.1|	DNA-directed RNA polymerase subunit sigma [[Eubacterium] siraeum] 
gi|491500564|ref|WP_005358257.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500566|ref|WP_005358259.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500567|ref|WP_005358260.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500569|ref|WP_005358262.1|	2-dehydro-3-deoxygluconokinase [[Eubacterium] siraeum] 
gi|491500571|ref|WP_005358264.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500573|ref|WP_005358266.1|	glucose-1-phosphate cytidylyltransferase [[Eubacterium] siraeum] 
gi|491500575|ref|WP_005358268.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500577|ref|WP_005358270.1|	CDP-glucose 4,6-dehydratase [[Eubacterium] siraeum] 
gi|491500579|ref|WP_005358272.1|	epimerase [[Eubacterium] siraeum] 
gi|491500580|ref|WP_005358273.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500582|ref|WP_005358275.1|	UDP-galactopyranose mutase [[Eubacterium] siraeum] 
gi|491500585|ref|WP_005358278.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500587|ref|WP_005358280.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500590|ref|WP_005358283.1|	LuxR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491500592|ref|WP_005358285.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500595|ref|WP_005358288.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500596|ref|WP_005358289.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500599|ref|WP_005358292.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500607|ref|WP_005358300.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500610|ref|WP_005358303.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500613|ref|WP_005358306.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500615|ref|WP_005358308.1|	DNA damage-inducible protein [[Eubacterium] siraeum] 
gi|491500618|ref|WP_005358311.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500620|ref|WP_005358313.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500622|ref|WP_005358315.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500625|ref|WP_005358318.1|	diaminopimelate decarboxylase [[Eubacterium] siraeum] 
gi|491500628|ref|WP_005358321.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500630|ref|WP_005358323.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500633|ref|WP_005358326.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500637|ref|WP_005358330.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500639|ref|WP_005358332.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500642|ref|WP_005358335.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491500644|ref|WP_005358337.1|	multidrug ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491500647|ref|WP_005358340.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500651|ref|WP_005358344.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500654|ref|WP_005358347.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500656|ref|WP_005358349.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500659|ref|WP_005358352.1|	amidohydrolase [[Eubacterium] siraeum] 
gi|491500662|ref|WP_005358355.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500665|ref|WP_005358358.1|	thiamine-phosphate synthase [[Eubacterium] siraeum] 
gi|491500667|ref|WP_005358360.1|	phosphomethylpyrimidine kinase [[Eubacterium] siraeum] 
gi|491500669|ref|WP_005358362.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500671|ref|WP_005358364.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|491500677|ref|WP_005358369.1|	ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491500679|ref|WP_005358371.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500680|ref|WP_005358372.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491500681|ref|WP_005358373.1|	peptide deformylase [[Eubacterium] siraeum] 
gi|491500683|ref|WP_005358375.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655545|ref|WP_026347292.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|518492042|ref|WP_019662249.1|	galactose-1-phosphate uridylyltransferase [[Eubacterium] siraeum] 
gi|491497610|ref|WP_005355320.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497611|ref|WP_005355321.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492043|ref|WP_019662250.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492044|ref|WP_019662251.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497616|ref|WP_005355326.1|	membrane protein [[Eubacterium] siraeum] 
gi|491497618|ref|WP_005355328.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497620|ref|WP_005355330.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491497622|ref|WP_005355332.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497623|ref|WP_005355333.1|	glycosidase [[Eubacterium] siraeum] 
gi|491497624|ref|WP_005355334.1|	50S ribosomal protein L1 [[Eubacterium] siraeum] 
gi|491497625|ref|WP_005355335.1|	MULTISPECIES: 50S ribosomal protein L11 [Clostridiales] 
gi|491497627|ref|WP_005355337.1|	MULTISPECIES: antitermination factor NusG [Clostridiales] 
gi|491497628|ref|WP_005355338.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497630|ref|WP_005355340.1|	MULTISPECIES: 50S ribosomal protein L33 [Clostridiales] 
gi|491497632|ref|WP_005355342.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497635|ref|WP_005355345.1|	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [[Eubacterium] siraeum] 
gi|518492047|ref|WP_019662254.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492048|ref|WP_019662255.1|	peptidase M16 [[Eubacterium] siraeum] 
gi|491497644|ref|WP_005355354.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497647|ref|WP_005355357.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497650|ref|WP_005355360.1|	GTP-binding protein YchF [[Eubacterium] siraeum] 
gi|491497652|ref|WP_005355362.1|	50S ribosomal protein L21 [[Eubacterium] siraeum] 
gi|491497655|ref|WP_005355365.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|518492049|ref|WP_019662256.1|	MULTISPECIES: 50S ribosomal protein L27 [Clostridiales] 
gi|491497661|ref|WP_005355371.1|	MULTISPECIES: GTPase [Clostridiales] 
gi|491497663|ref|WP_005355373.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497665|ref|WP_005355375.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497667|ref|WP_005355377.1|	transcriptional regulator [[Eubacterium] siraeum] 
gi|491497670|ref|WP_005355380.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497672|ref|WP_005355382.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497673|ref|WP_005355383.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492051|ref|WP_019662258.1|	radical SAM protein [[Eubacterium] siraeum] 
gi|491497677|ref|WP_005355387.1|	multidrug ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491497679|ref|WP_005355389.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491497681|ref|WP_005355391.1|	prephenate dehydrogenase [[Eubacterium] siraeum] 
gi|491497682|ref|WP_005355392.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497684|ref|WP_005355394.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492054|ref|WP_019662261.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497689|ref|WP_005355399.1|	MULTISPECIES: 50S ribosomal protein L28 [Clostridiales] 
gi|491497693|ref|WP_005355403.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497694|ref|WP_005355404.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497696|ref|WP_005355406.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492056|ref|WP_019662263.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497699|ref|WP_005355409.1|	MULTISPECIES: fucose isomerase [Clostridiales] 
gi|491497707|ref|WP_005355417.1|	carbohydrate kinase [[Eubacterium] siraeum] 
gi|491497709|ref|WP_005355419.1|	MULTISPECIES: fucose isomerase [Clostridiales] 
gi|491497711|ref|WP_005355421.1|	fuculose phosphate aldolase [[Eubacterium] siraeum] 
gi|491497714|ref|WP_005355424.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497719|ref|WP_005355428.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497721|ref|WP_005355430.1|	30S ribosomal protein S2 [[Eubacterium] siraeum] 
gi|491497723|ref|WP_005355432.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492057|ref|WP_019662264.1|	MULTISPECIES: DtxR family transcriptional regulator [Clostridiales] 
gi|518492058|ref|WP_019662265.1|	amino acid ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491497731|ref|WP_005355440.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|491497733|ref|WP_005355442.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497735|ref|WP_005355444.1|	branched-chain amino acid ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491497737|ref|WP_005355446.1|	MULTISPECIES: amino acid ABC transporter ATPase [Clostridiales] 
gi|491497739|ref|WP_005355448.1|	cytidylate kinase [[Eubacterium] siraeum] 
gi|491497741|ref|WP_005355450.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497742|ref|WP_005355451.1|	phosphohydrolase [[Eubacterium] siraeum] 
gi|491497744|ref|WP_005355453.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497746|ref|WP_005355455.1|	short-chain dehydrogenase [[Eubacterium] siraeum] 
gi|491497747|ref|WP_005355456.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497748|ref|WP_005355457.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497749|ref|WP_005355458.1|	phosphoribosyl-ATP pyrophosphatase [[Eubacterium] siraeum] 
gi|491497750|ref|WP_005355459.1|	MULTISPECIES: phosphoribosyl-AMP cyclohydrolase [Clostridiales] 
gi|491497751|ref|WP_005355460.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Clostridiales] 
gi|491497752|ref|WP_005355461.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497754|ref|WP_005355463.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [[Eubacterium] siraeum] 
gi|491497755|ref|WP_005355464.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491497757|ref|WP_005355466.1|	imidazole glycerol phosphate synthase [[Eubacterium] siraeum] 
gi|491497759|ref|WP_005355468.1|	MULTISPECIES: imidazoleglycerol-phosphate dehydratase [Clostridiales] 
gi|491497762|ref|WP_005355471.1|	histidinol-phosphate aminotransferase [[Eubacterium] siraeum] 
gi|491497771|ref|WP_005355480.1|	histidinol dehydrogenase [[Eubacterium] siraeum] 
gi|491497775|ref|WP_005355484.1|	MULTISPECIES: ATP phosphoribosyltransferase [Clostridiales] 
gi|491497777|ref|WP_005355486.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497785|ref|WP_005355494.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497787|ref|WP_005355496.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497792|ref|WP_005355501.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497796|ref|WP_005355505.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497803|ref|WP_005355512.1|	DNA polymerase III subunit alpha [[Eubacterium] siraeum] 
gi|491497805|ref|WP_005355514.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [[Eubacterium] siraeum] 
gi|491497806|ref|WP_005355515.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655546|ref|WP_026347293.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [[Eubacterium] siraeum] 
gi|491497810|ref|WP_005355519.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655547|ref|WP_026347294.1|	UDP pyrophosphate synthase [[Eubacterium] siraeum] 
gi|491497814|ref|WP_005355523.1|	MULTISPECIES: ribosome recycling factor [Clostridiales] 
gi|491497816|ref|WP_005355525.1|	uridylate kinase [[Eubacterium] siraeum] 
gi|491497818|ref|WP_005355527.1|	homoserine dehydrogenase [[Eubacterium] siraeum] 
gi|491497823|ref|WP_005355532.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496214|ref|WP_005353929.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496217|ref|WP_005353932.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496219|ref|WP_005353934.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491496221|ref|WP_005353936.1|	peptidylprolyl isomerase [[Eubacterium] siraeum] 
gi|491496225|ref|WP_005353940.1|	RNA polymerase sigma 70 [[Eubacterium] siraeum] 
gi|491496229|ref|WP_005353944.1|	hypothetical protein [[Eubacterium] siraeum] 
