gi|493928256|ref|WP_006872959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930526|ref|WP_006875122.1|	single-stranded DNA-binding protein [Anaerotruncus colihominis] 
gi|493930527|ref|WP_006875123.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930528|ref|WP_006875124.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930529|ref|WP_006875125.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930530|ref|WP_006875126.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930531|ref|WP_006875127.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930532|ref|WP_006875128.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930533|ref|WP_006875129.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930534|ref|WP_006875130.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930535|ref|WP_006875131.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930536|ref|WP_006875132.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930537|ref|WP_006875133.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930538|ref|WP_006875134.1|	terminase [Anaerotruncus colihominis] 
gi|493930539|ref|WP_006875135.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930540|ref|WP_006875136.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930541|ref|WP_006875137.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930542|ref|WP_006875138.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930543|ref|WP_006875139.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930544|ref|WP_006875140.1|	phage capsid protein [Anaerotruncus colihominis] 
gi|493930545|ref|WP_006875141.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930546|ref|WP_006875142.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930547|ref|WP_006875143.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930548|ref|WP_006875144.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930549|ref|WP_006875145.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930550|ref|WP_006875146.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930551|ref|WP_006875147.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930552|ref|WP_006875148.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930553|ref|WP_006875149.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930554|ref|WP_006875150.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930555|ref|WP_006875151.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930556|ref|WP_006875152.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930557|ref|WP_006875153.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930558|ref|WP_006875154.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493930559|ref|WP_006875155.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930560|ref|WP_006875156.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930561|ref|WP_006875157.1|	antirepressor [Anaerotruncus colihominis] 
gi|493930562|ref|WP_006875158.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930563|ref|WP_006875159.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930564|ref|WP_006875160.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930565|ref|WP_006875161.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930566|ref|WP_006875162.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930567|ref|WP_006875163.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930568|ref|WP_006875164.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930569|ref|WP_006875165.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930570|ref|WP_006875166.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930571|ref|WP_006875167.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930572|ref|WP_006875168.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930573|ref|WP_006875169.1|	holin [Anaerotruncus colihominis] 
gi|493930574|ref|WP_006875170.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930575|ref|WP_006875171.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930576|ref|WP_006875172.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930577|ref|WP_006875173.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930578|ref|WP_006875174.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930579|ref|WP_006875175.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930580|ref|WP_006875176.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930581|ref|WP_006875177.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930582|ref|WP_006875178.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930583|ref|WP_006875179.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930584|ref|WP_006875180.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930585|ref|WP_006875181.1|	MULTISPECIES: Holliday junction resolvase [Clostridiales] 
gi|493930586|ref|WP_006875182.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930588|ref|WP_006875183.1|	Holliday junction DNA helicase RuvB [Anaerotruncus colihominis] 
gi|493930589|ref|WP_006875184.1|	phosphoglucosamine mutase [Anaerotruncus colihominis] 
gi|493930590|ref|WP_006875185.1|	SAM-dependent methyltransferase [Anaerotruncus colihominis] 
gi|493930591|ref|WP_006875186.1|	MULTISPECIES: cobalt ABC transporter ATP-binding protein [Clostridiales] 
gi|493930592|ref|WP_006875187.1|	MULTISPECIES: cobalt ABC transporter ATP-binding protein [Clostridiales] 
gi|493930593|ref|WP_006875188.1|	MULTISPECIES: transporter [Clostridiales] 
gi|493930594|ref|WP_006875189.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930595|ref|WP_006875190.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930596|ref|WP_006875191.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930597|ref|WP_006875192.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930598|ref|WP_006875193.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930599|ref|WP_006875194.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930600|ref|WP_006875195.1|	endopeptidase [Anaerotruncus colihominis] 
gi|493930601|ref|WP_006875196.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930602|ref|WP_006875197.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930603|ref|WP_006875198.1|	tryptophan synthase subunit beta [Anaerotruncus colihominis] 
gi|493930604|ref|WP_006875199.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930605|ref|WP_006875200.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930606|ref|WP_006875201.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930607|ref|WP_006875202.1|	N-acetylneuraminate lyase [Anaerotruncus colihominis] 
gi|493930608|ref|WP_006875203.1|	MULTISPECIES: short-chain dehydrogenase [Clostridiales] 
gi|493930609|ref|WP_006875204.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930610|ref|WP_006875205.1|	amino acid ABC transporter ATPase [Anaerotruncus colihominis] 
gi|493930611|ref|WP_006875206.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930612|ref|WP_006875207.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930613|ref|WP_006875208.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930614|ref|WP_006875209.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930615|ref|WP_006875210.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930616|ref|WP_006875211.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930617|ref|WP_006875212.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930618|ref|WP_006875213.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930619|ref|WP_006875214.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930620|ref|WP_006875215.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930621|ref|WP_006875216.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930622|ref|WP_006875217.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930623|ref|WP_006875218.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930625|ref|WP_006875220.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930626|ref|WP_006875221.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930627|ref|WP_006875222.1|	MULTISPECIES: amino acid ABC transporter permease [Clostridiales] 
gi|493930628|ref|WP_006875223.1|	MULTISPECIES: arginine ABC transporter ATP-binding protein [Clostridiales] 
gi|493930629|ref|WP_006875224.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930630|ref|WP_006875225.1|	alginate regulatory protein [Anaerotruncus colihominis] 
gi|493930631|ref|WP_006875226.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930632|ref|WP_006875227.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930633|ref|WP_006875228.1|	cell division protein FtsH [Anaerotruncus colihominis] 
gi|493930634|ref|WP_006875229.1|	transporter [Anaerotruncus colihominis] 
gi|493930635|ref|WP_006875230.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930637|ref|WP_006875231.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930638|ref|WP_006875232.1|	MULTISPECIES: 30S ribosomal protein S2 [Clostridiales] 
gi|493930639|ref|WP_006875233.1|	elongation factor Ts [Anaerotruncus colihominis] 
gi|493930640|ref|WP_006875234.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930641|ref|WP_006875235.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930642|ref|WP_006875236.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930643|ref|WP_006875237.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930644|ref|WP_006875238.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930645|ref|WP_006875239.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930646|ref|WP_006875240.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930647|ref|WP_006875241.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930648|ref|WP_006875242.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930649|ref|WP_006875243.1|	formate dehydrogenase [Anaerotruncus colihominis] 
gi|493930650|ref|WP_006875244.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930651|ref|WP_006875245.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930652|ref|WP_006875246.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930653|ref|WP_006875247.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930654|ref|WP_006875248.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930655|ref|WP_006875249.1|	MULTISPECIES: uridylate kinase [Clostridiales] 
gi|493930656|ref|WP_006875250.1|	MULTISPECIES: ribosome recycling factor [Clostridiales] 
gi|493930657|ref|WP_006875251.1|	UDP pyrophosphate synthase [Anaerotruncus colihominis] 
gi|493930658|ref|WP_006875252.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930659|ref|WP_006875253.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Anaerotruncus colihominis] 
gi|493930660|ref|WP_006875254.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930661|ref|WP_006875255.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Anaerotruncus colihominis] 
gi|493930662|ref|WP_006875256.1|	DNA polymerase III subunit alpha [Anaerotruncus colihominis] 
gi|493930663|ref|WP_006875257.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930664|ref|WP_006875258.1|	ATP phosphoribosyltransferase [Anaerotruncus colihominis] 
gi|493930665|ref|WP_006875259.1|	MULTISPECIES: histidinol dehydrogenase [Clostridiales] 
gi|493930666|ref|WP_006875260.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930667|ref|WP_006875261.1|	imidazoleglycerol-phosphate dehydratase [Anaerotruncus colihominis] 
gi|493930668|ref|WP_006875262.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Clostridiales] 
gi|493930669|ref|WP_006875263.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Anaerotruncus colihominis] 
gi|493930670|ref|WP_006875264.1|	imidazole glycerol phosphate synthase [Anaerotruncus colihominis] 
gi|493930671|ref|WP_006875265.1|	phosphoribosyl-AMP cyclohydrolase [Anaerotruncus colihominis] 
gi|493930672|ref|WP_006875266.1|	phosphoribosyl-ATP pyrophosphatase [Anaerotruncus colihominis] 
gi|493930673|ref|WP_006875267.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930674|ref|WP_006875268.1|	dihydrodipicolinate reductase [Anaerotruncus colihominis] 
gi|493930675|ref|WP_006875269.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930676|ref|WP_006875270.1|	MULTISPECIES: dihydrodipicolinate synthase [Clostridiales] 
gi|493930677|ref|WP_006875271.1|	MULTISPECIES: aspartate-semialdehyde dehydrogenase [Clostridiales] 
gi|493930678|ref|WP_006875272.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930679|ref|WP_006875273.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930680|ref|WP_006875274.1|	MULTISPECIES: S-adenosylmethionine tRNA ribosyltransferase [Clostridiales] 
gi|493930681|ref|WP_006875275.1|	MULTISPECIES: queuine tRNA-ribosyltransferase [Clostridiales] 
gi|493930682|ref|WP_006875276.1|	preprotein translocase subunit YajC [Anaerotruncus colihominis] 
gi|493930683|ref|WP_006875277.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930684|ref|WP_006875278.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930685|ref|WP_006875279.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930686|ref|WP_006875280.1|	radical SAM protein [Anaerotruncus colihominis] 
gi|493930687|ref|WP_006875281.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930689|ref|WP_006875282.1|	tyrosine recombinase XerC [Anaerotruncus colihominis] 
gi|493930690|ref|WP_006875283.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930691|ref|WP_006875284.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930692|ref|WP_006875285.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930693|ref|WP_006875286.1|	DNA repair protein RadA [Anaerotruncus colihominis] 
gi|493930694|ref|WP_006875287.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930695|ref|WP_006875288.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|493930696|ref|WP_006875289.1|	N-acetylneuraminate lyase [Anaerotruncus colihominis] 
gi|493930697|ref|WP_006875290.1|	ABC transporter permease [Anaerotruncus colihominis] 
gi|493930698|ref|WP_006875291.1|	acetylneuraminate ABC transporter permease [Anaerotruncus colihominis] 
gi|493930699|ref|WP_006875292.1|	MULTISPECIES: ABC transporter substrate-binding protein [Clostridiales] 
gi|493930700|ref|WP_006875293.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493930701|ref|WP_006875294.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930702|ref|WP_006875295.1|	N-acetylmannosamine-6-phosphate 2-epimerase [Anaerotruncus colihominis] 
gi|493930703|ref|WP_006875296.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930704|ref|WP_006875297.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930705|ref|WP_006875298.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930706|ref|WP_006875299.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930707|ref|WP_006875300.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930708|ref|WP_006875301.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930709|ref|WP_006875302.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930710|ref|WP_006875303.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930711|ref|WP_006875304.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930712|ref|WP_006875305.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930713|ref|WP_006875306.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930714|ref|WP_006875307.1|	MULTISPECIES: isochorismatase hydrolase [Clostridiales] 
gi|493930715|ref|WP_006875308.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930716|ref|WP_006875309.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930717|ref|WP_006875310.1|	GTPase [Anaerotruncus colihominis] 
gi|493930718|ref|WP_006875311.1|	MULTISPECIES: 50S ribosomal protein L27 [Clostridiales] 
gi|493930719|ref|WP_006875312.1|	50S ribosomal protein L21 [Anaerotruncus colihominis] 
gi|493930720|ref|WP_006875313.1|	MULTISPECIES: bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [Clostridiales] 
gi|493930721|ref|WP_006875314.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930722|ref|WP_006875315.1|	peptidase M16 [Anaerotruncus colihominis] 
gi|493930723|ref|WP_006875316.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930724|ref|WP_006875317.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930725|ref|WP_006875318.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930726|ref|WP_006875319.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930727|ref|WP_006875320.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930728|ref|WP_006875321.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930729|ref|WP_006875322.1|	MULTISPECIES: glutathione ABC transporter permease [Clostridiales] 
gi|493930730|ref|WP_006875323.1|	diguanylate cyclase [Anaerotruncus colihominis] 
gi|493930731|ref|WP_006875324.1|	peptide ABC transporter ATPase [Anaerotruncus colihominis] 
gi|493930732|ref|WP_006875325.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|493930733|ref|WP_006875326.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930734|ref|WP_006875327.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930735|ref|WP_006875328.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930736|ref|WP_006875329.1|	precorrin-8X methylmutase [Anaerotruncus colihominis] 
gi|493930737|ref|WP_006875330.1|	cobinamide adenolsyltransferase [Anaerotruncus colihominis] 
gi|493930738|ref|WP_006875331.1|	MULTISPECIES: cobyric acid synthase [Clostridiales] 
gi|493930739|ref|WP_006875332.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493930740|ref|WP_006875333.1|	cobalamin biosynthesis protein CobD [Anaerotruncus colihominis] 
gi|493930741|ref|WP_006875334.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930742|ref|WP_006875335.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493930743|ref|WP_006875336.1|	MULTISPECIES: cobalamin-5-phosphate synthase [Clostridiales] 
